sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;190,10;190,20;191,20;191,30;189,70;190,30;190,552;880489;167778869,3;2470;
2017-08-02;190,90;191,10;192,00;192,40;190,10;190,80;191,355;1230619;235484805,5;3339;
2017-08-01;191,30;191,50;189,70;192,40;189,50;191,50;191,44;755353;144604497,1;2098;
2017-07-31;189,90;190,00;190,40;191,60;189,70;190,10;190,581;961258;183196989,7;2366;
2017-07-28;189,80;190,00;191,00;191,50;189,00;190,30;190,014;1386087;263375449,35;3318;
2017-07-27;191,70;191,80;191,70;193,10;191,30;191,60;191,985;947622;181929512,9;2868;
2017-07-26;191,70;191,90;192,50;193,90;191,40;191,70;192,411;1133666;218130000;3388;
2017-07-25;192,50;192,60;192,70;193,70;191,50;192,50;192,461;1138515;220660536,6;2851;
2017-07-24;192,90;193,00;195,50;196,30;192,70;192,70;194,485;1454776;284350883,3;3304;
2017-07-21;195,90;196,10;199,40;199,60;195,70;196,10;197,602;1806148;356897973,75;5288;
2017-07-20;201,00;201,20;203,00;203,40;200,10;201,40;201,407;3292571;663023217,89;7743;
2017-07-19;208,00;208,10;206,80;208,60;206,40;207,60;207,61;1285232;266827054,7;3519;
2017-07-18;206,10;206,30;207,10;208,60;205,70;206,30;206,829;1202159;248641246;3019;
2017-07-17;208,00;208,20;208,20;209,50;207,50;208,20;208,567;940522;196161967,75;2641;
2017-07-14;207,80;208,00;208,40;208,40;206,40;208,00;207,464;1045259;216853458,7;2660;
2017-07-13;209,00;209,10;212,00;212,00;208,80;208,80;210,58;1221812;257289335,9;3009;
2017-07-12;211,90;212,00;207,90;212,60;207,90;212,00;210,864;1032671;217752971,6;2774;
2017-07-11;207,60;207,80;208,20;209,40;207,20;207,70;207,851;976192;202901815,5;2695;
2017-07-10;207,90;208,00;208,10;209,20;207,70;207,80;208,331;631485;131558159,7;1755;
2017-07-07;207,50;207,70;208,80;209,20;207,40;207,40;207,985;727008;151206870,2;2256;
2017-07-06;208,80;209,00;209,30;210,00;206,60;208,90;208,087;1247869;259616778,6;3428;
2017-07-05;210,00;210,10;209,30;210,30;208,40;210,30;209,58;945532;198164277,5;2720;
2017-07-04;209,90;210,00;210,70;211,10;209,70;209,90;210,304;766962;161295090,9;2381;
2017-07-03;211,20;211,30;209,40;211,70;209,30;211,10;211,12;1193928;252067604,3;3292;
2017-06-30;208,90;209,00;209,50;211,00;208,40;209,20;209,46;3334657;698476232,6;5150;
2017-06-29;209,80;210,00;215,70;215,70;209,80;209,80;212,067;1526320;323656702,1;4174;
2017-06-28;214,60;214,70;218,00;218,00;214,50;214,90;215,398;1158243;249482511,2;2980;
2017-06-27;218,70;218,90;220,90;221,10;218,60;218,60;219,932;923088;203016779,4;2685;
2017-06-26;221,00;221,20;221,30;222,40;220,90;221,20;221,497;836675;185320849,5;2846;
2017-06-22;220,50;220,70;220,80;221,10;219,40;220,70;220,172;873722;192369194,2;2773;
2017-06-21;220,80;221,00;220,40;221,80;218,50;221,20;220,326;1133025;249634710,25;3342;
2017-06-20;221,20;221,40;222,10;222,90;220,90;220,90;221,708;876945;194425817,9;2486;
2017-06-19;221,80;222,00;220,10;222,00;220,10;221,70;221,253;1067375;235504642,35;3248;
2017-06-16;218,50;218,70;219,30;219,50;216,60;219,20;218,476;1313419;286950304,35;3461;
2017-06-15;217,40;217,60;218,30;218,40;215,50;217,20;216,853;1041670;225892104,45;3133;
2017-06-14;218,30;218,50;219,80;221,30;218,30;218,70;219,611;993175;218112480,8;2828;
2017-06-13;219,20;219,40;218,40;220,10;218,20;219,30;219,241;538035;117959045,9;1672;
2017-06-12;218,70;218,90;220,60;220,60;217,90;219,00;218,891;919823;201342969;2933;
2017-06-09;221,00;221,20;220,50;222,10;220,20;221,10;221,169;819956;181348693,7;2069;
2017-06-08;220,20;220,30;219,80;221,30;219,60;220,40;220,195;801001;176376229,7;2695;
2017-06-07;220,50;220,60;221,00;221,60;220,00;220,20;220,837;1371153;302801498,4;2692;
2017-06-05;221,40;221,50;221,00;222,20;220,70;221,20;221,367;453780;100449266,9;1630;
2017-06-02;222,60;222,70;219,20;222,80;218,90;222,60;221,359;1075546;238019870,6;2903;
2017-06-01;218,50;218,60;218,00;220,30;217,80;218,50;219,194;707893;155165735,35;2538;
2017-05-31;219,00;219,10;217,30;219,40;216,00;219,00;218,641;1845579;403519046,7;3054;
2017-05-30;217,30;217,50;217,00;218,10;216,50;217,40;217,544;584758;127210634,8;2117;
2017-05-29;217,20;217,40;216,80;217,70;215,80;217,30;217,063;445865;96780582,75;1438;
2017-05-26;216,80;217,00;216,30;217,20;215,30;216,90;216,379;739223;159952429,4;2524;
2017-05-24;216,00;216,10;214,70;217,50;214,60;216,10;216,268;403457;87254850,8;1295;
2017-05-23;216,60;216,80;216,70;217,00;214,60;216,90;215,813;1326095;286188805,6;3817;
2017-05-22;217,80;218,00;218,50;219,30;217,10;217,90;218,204;1176070;255856985,8;3761;
2017-05-19;217,90;218,10;217,00;218,80;216,60;217,90;217,891;1060586;231091980,8;3784;
2017-05-18;215,80;216,00;216,10;216,80;213,70;215,90;215,193;1686859;363033200,4;4834;
2017-05-17;216,50;216,70;220,00;220,40;216,10;216,90;218,012;1403117;306228969,69;3197;
2017-05-16;220,70;220,90;218,50;221,50;218,10;220,60;219,795;1106709;243246245,45;3591;
2017-05-15;217,90;218,10;218,30;218,90;215,90;218,40;217,752;839935;182898279,95;2669;
2017-05-12;217,70;217,90;218,50;218,80;216,20;218,20;217,515;953809;207468161;2507;
2017-05-11;218,10;218,30;218,90;219,30;217,20;218,20;218,238;892547;194787469,7;2608;
2017-05-10;218,60;218,80;217,70;219,00;216,70;218,70;217,963;1075920;234508668,2;2837;
2017-05-09;218,00;218,20;217,00;219,60;216,70;217,90;218,434;1057376;230966700,9;2808;
2017-05-08;217,10;217,30;217,80;217,80;215,60;217,00;216,728;1097762;237915325,9;2307;
2017-05-05;217,80;218,00;217,60;218,00;216,10;218,00;217,194;843217;183141992,7;2243;
2017-05-04;217,60;217,80;217,00;217,80;216,00;217,80;217,148;1388188;301415239,3;2737;
2017-05-03;216,50;216,70;216,80;217,00;215,80;216,90;216,499;922945;199816191,2;2337;
2017-05-02;217,00;217,10;216,70;217,20;216,00;217,20;216,78;1244773;269842136,8;2784;
2017-04-28;216,70;216,90;216,00;217,70;215,50;216,90;216,753;1585526;343665920,9;3946;
2017-04-27;216,80;216,90;212,70;217,40;211,80;216,60;215,168;2104532;452820998,08;4698;
2017-04-26;214,00;214,10;212,00;214,30;210,60;214,00;212,813;1430319;304390131,1;3181;
2017-04-25;212,30;212,40;211,80;212,40;208,90;212,20;210,871;2203313;464612993,15;4856;
2017-04-24;211,40;211,50;210,00;212,00;209,30;211,30;210,586;2254654;474772579,9;5112;
2017-04-21;209,00;209,30;207,30;209,70;206,80;209,40;208,218;2700178;562226579,8;6424;
2017-04-20;205,00;205,10;202,00;205,10;201,20;204,40;203,357;1484753;301933705,8;3562;
2017-04-19;200,30;200,50;199,40;201,00;198,80;200,60;200,106;1272562;254628551,2;3189;
2017-04-18;204,70;204,90;206,50;207,10;203,40;204,50;204,617;1370344;280395148,85;3193;
2017-04-13;206,30;206,40;205,50;206,70;205,00;206,50;205,92;459586;94623926,06;1187;
2017-04-12;207,10;207,30;207,40;208,20;206,20;207,00;207,046;519773;107617003,5;1394;
2017-04-11;207,60;207,80;207,50;209,00;206,30;207,80;207,378;1134436;235256080;2945;
2017-04-10;209,90;210,00;212,00;212,00;209,80;210,00;210,539;710298;149541690,7;2022;
2017-04-07;211,50;211,70;210,30;211,60;208,40;211,50;210,121;795513;167109016,1;2123;
2017-04-06;210,20;210,30;208,00;210,70;207,00;210,70;209,406;645736;135234255,9;1648;
2017-04-05;208,90;209,20;210,00;210,10;207,40;208,90;208,984;848745;177353079,6;2692;
2017-04-04;209,90;210,10;208,80;210,80;208,60;210,20;209,832;759847;159440428,3;2030;
2017-04-03;207,80;207,90;209,40;209,80;207,50;208,00;208,434;797910;166310558,95;2186;
2017-03-31;208,80;209,00;209,00;209,40;206,50;209,40;207,87;1067175;221834704,5;2420;
2017-03-30;208,80;209,00;206,90;209,00;206,50;208,90;207,642;884721;183705534,4;2065;
2017-03-29;207,00;207,20;207,00;208,10;206,50;207,20;207,313;951394;197236163,9;2374;
2017-03-28;206,70;206,80;205,50;207,00;204,90;206,70;206,057;961975;198221645,3;1844;
2017-03-27;204,40;204,50;204,80;205,10;203,30;204,00;204,083;994477;202956191,8;2571;
2017-03-24;205,70;205,80;206,10;207,10;204,60;206,00;205,72;626731;128977174,7;1461;
2017-03-23;206,60;206,80;203,10;206,80;202,30;206,80;204,551;858008;175506415,1;1873;
2017-03-22;203,70;203,80;203,50;203,90;201,10;203,90;202,54;1532356;310366808,8;3349;
2017-03-21;204,30;204,40;206,00;206,70;203,90;204,40;204,829;1337314;273853390,85;2548;
2017-03-20;205,90;206,10;205,00;206,80;204,80;206,10;206,174;705421;141704311,1;1522;
2017-03-17;205,00;205,20;204,40;205,50;202,80;205,10;204,613;1039599;212715913,05;2667;
2017-03-16;203,80;203,90;204,50;206,30;203,30;204,20;204,715;1323982;271039490,7;2694;
2017-03-15;203,60;203,70;201,70;204,20;201,70;203,80;203,416;834548;169739581,4;1961;
2017-03-14;201,70;201,80;201,70;202,20;200,90;201,90;201,608;748127;150848069,85;2071;
2017-03-13;201,80;201,90;202,40;204,10;201,60;201,60;202,512;1099047;222542405,8;2466;
2017-03-10;202,10;202,20;201,70;203,30;201,30;202,40;202,401;939081;190071027,6;2422;
2017-03-09;201,50;201,60;204,10;204,10;200,50;201,70;201,949;1184392;239128138,6;2285;
2017-03-08;204,30;204,40;203,70;204,50;202,50;204,30;203,544;747229;152094012,65;1736;
2017-03-07;203,00;203,10;202,90;203,70;202,00;203,00;202,981;798735;162127825,2;2236;
2017-03-06;202,90;203,00;204,00;204,10;201,50;203,00;202,545;739678;149818454,5;1683;
2017-03-03;204,40;204,60;205,90;205,90;203,80;204,50;204,536;907550;185627036,2;2201;
2017-03-02;206,00;206,10;207,70;208,30;206,00;206,30;206,847;556653;115142264,05;1549;
2017-03-01;206,60;206,70;204,30;207,10;203,90;206,70;206,02;1060638;218513946,5;3132;
2017-02-28;203,90;204,10;203,50;204,20;203,00;204,20;203,76;708543;144375505,6;1753;
2017-02-27;202,90;203,00;203,40;203,70;201,50;202,80;202,357;1211882;245232826,95;3080;
2017-02-24;202,20;202,40;204,90;205,10;200,60;202,30;202,212;1036527;209597326,4;2609;
2017-02-23;205,00;205,20;205,50;206,20;204,20;205,10;205,064;819660;168082838,3;1934;
2017-02-22;204,80;204,90;206,00;207,40;204,40;204,90;205,528;981398;201703324,6;2465;
2017-02-21;206,20;206,30;203,60;206,50;203,20;206,20;205,039;1052671;215839020,4;2487;
2017-02-20;203,20;203,30;203,20;204,10;202,70;203,30;203,26;826341;167671715,7;1603;
2017-02-17;202,50;202,70;203,50;203,90;201,30;202,30;202,41;688156;139289463,65;1721;
2017-02-16;203,50;203,60;204,00;204,30;202,90;203,50;203,592;568341;115709512,4;1539;
2017-02-15;203,90;204,00;203,60;204,50;202,60;204,00;203,484;685595;139507879,3;1647;
2017-02-14;203,50;203,60;204,80;204,80;203,00;203,50;203,681;769000;156631113,65;1807;
2017-02-13;204,70;204,80;203,90;204,80;203,60;204,70;204,298;519393;106111423,65;1218;
2017-02-10;203,60;203,70;203,00;204,80;201,00;203,80;203,211;1359190;276201582,7;2926;
2017-02-09;202,30;202,50;201,00;203,20;201,00;202,40;202,268;1295642;262066254,95;3095;
2017-02-08;199,90;200,00;203,40;203,60;199,50;200,30;201,412;2703161;544312768,6;5426;
2017-02-07;207,50;207,60;205,80;208,50;205,30;207,50;207,358;749906;155498603,45;1810;
2017-02-06;205,80;205,90;207,30;207,80;205,30;205,90;206,395;667930;137857395,65;1620;
2017-02-03;207,00;207,20;206,50;207,30;205,90;207,10;206,678;577473;119351667,85;1517;
2017-02-02;206,60;206,70;207,00;207,20;204,60;206,60;206,022;973486;200632211,2;2128;
2017-02-01;207,60;207,70;209,30;209,80;207,30;207,60;208,138;631348;131407228;1563;
2017-01-31;207,80;207,90;209,00;210,40;206,90;207,60;208,891;1056399;220671267,2;2172;
2017-01-30;208,60;208,80;210,00;210,90;208,30;208,40;209,258;974725;203959227,6;2088;
2017-01-27;210,00;210,20;209,90;210,50;209,30;210,00;209,979;1093716;229656473;2443;
2017-01-26;210,00;210,20;208,20;211,50;207,70;210,40;209,549;2236879;468736901,2;4779;
2017-01-25;207,10;207,20;203,70;207,80;203,00;207,40;206,112;1864451;384286979,2;3624;
2017-01-24;202,20;202,40;200,60;202,70;200,60;202,20;201,899;1090917;220244801,4;2037;
2017-01-23;200,00;200,20;201,50;202,40;199,80;200,20;201,11;1133234;227730388,95;2272;
2017-01-20;202,50;202,70;201,20;202,90;201,10;202,60;202,262;1488437;301050550,15;3068;
2017-01-19;201,70;201,90;200,00;202,40;199,50;201,80;201,038;1600204;321700101,8;3214;
2017-01-18;199,60;199,80;199,50;200,00;197,80;200,00;198,976;1454437;289397443,25;2464;
2017-01-17;199,30;199,40;198,80;200,00;196,20;199,50;198,095;2130809;422101649,7;3312;
2017-01-16;199,50;199,70;200,00;201,60;196,00;199,30;199,316;2304404;459496843,29;4517;
2017-01-13;200,50;200,60;198,10;200,70;198,10;200,50;199,66;1292409;258044978,05;2728;
2017-01-12;197,90;198,10;200,30;200,60;197,50;197,80;199,099;1186412;236213425,25;2714;
2017-01-11;202,20;202,40;199,70;203,30;199,50;201,70;201,455;1889216;380589034,8;4578;
2017-01-10;197,30;197,40;194,70;197,30;194,30;197,20;196,253;1618783;317690241,65;3097;
2017-01-09;194,70;194,80;194,70;195,80;193,20;194,40;194,442;1200305;233389184,2;2572;
2017-01-05;192,30;192,50;193,70;194,20;192,10;192,40;192,894;364851;70377560,8;837;
2017-01-04;193,60;193,70;193,60;194,30;192,60;193,80;193,454;617423;119443032,5;1088;
2017-01-03;193,50;193,70;193,00;194,70;192,90;193,60;193,666;903020;174884586,15;2124;
2017-01-02;192,50;192,70;191,00;193,50;190,50;192,90;192,675;555231;106979082,6;1027;
2016-12-30;192,30;192,40;192,80;192,90;190,40;191,80;191,704;2007168;384776037,9;2493;
2016-12-29;192,50;192,70;194,30;194,30;191,90;192,50;192,941;629536;121463420,3;1431;
2016-12-28;194,40;194,50;194,00;195,40;193,80;194,60;194,608;822616;160087710,9;2059;
2016-12-27;194,10;194,30;193,70;194,80;193,70;194,50;194,373;563853;109597803,3;1055;
2016-12-23;193,80;193,90;194,50;195,70;193,60;194,00;194,476;681064;132452690,2;1248;
2016-12-22;193,40;193,50;193,40;194,10;192,80;193,80;193,608;618964;119836466,8;1351;
2016-12-21;194,30;194,40;197,00;197,50;193,50;194,40;194,834;1509556;294109268,53;2562;
2016-12-20;197,40;197,50;196,80;198,10;196,60;197,60;197,291;1371050;269249501,5;1814;
2016-12-19;196,80;197,00;196,60;197,70;195,80;196,90;196,876;1657359;325102799;2106;
