sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;185,70;185,90;185,00;186,80;183,90;185,70;185,767;1117613;207615317,1;3729;
2017-08-02;185,20;185,40;185,80;186,30;184,30;185,10;185,219;1194250;221197310,25;4001;
2017-08-01;185,50;185,60;184,90;185,80;183,70;185,30;184,948;1672515;309328576,9;5614;
2017-07-31;180,70;180,80;180,60;181,80;179,80;180,40;180,612;1333882;240915152,3;3444;
2017-07-28;181,10;181,20;183,50;183,70;180,70;181,10;181,482;1202223;218181176,6;3792;
2017-07-27;183,60;183,70;184,50;186,50;182,40;183,80;183,807;1340760;246439865,5;4119;
2017-07-26;185,30;185,40;185,00;186,00;184,40;185,60;185,355;978702;181407598,9;2954;
2017-07-25;184,70;184,90;184,00;186,00;184,00;185,10;185,151;918983;170099808,8;3029;
2017-07-24;184,20;184,40;187,50;187,70;184,10;184,10;185,039;1249412;231049408,9;3826;
2017-07-21;187,30;187,40;188,90;189,70;186,60;187,50;188,185;1616357;304174202,9;5283;
2017-07-20;189,20;189,40;190,00;193,50;188,60;189,60;190,63;1183810;225670445;3623;
2017-07-19;189,90;190,00;190,60;192,80;188,30;190,00;189,865;1399864;265785635,45;4311;
2017-07-18;189,20;189,30;192,00;196,90;188,70;189,50;191,112;2296681;438930073,55;7507;
2017-07-17;190,70;190,90;182,00;192,90;176,90;191,00;187,812;4521150;849222391,4;12816;
2017-07-14;182,70;182,80;181,20;183,80;180,90;182,90;182,832;1375334;251455236,5;3644;
2017-07-13;181,80;181,90;184,20;184,20;181,50;181,50;182,46;1162821;212167706,1;2869;
2017-07-12;184,10;184,30;179,50;185,90;179,20;184,20;183,593;2050072;376311933;5910;
2017-07-11;179,30;179,50;179,50;179,80;178,00;179,20;179,014;1462831;261868182,3;3928;
2017-07-10;178,70;178,90;175,50;184,00;175,50;178,90;178,981;2013161;360318129,25;6438;
2017-07-07;173,80;173,90;173,70;174,40;173,00;173,80;173,646;1482471;257425749,6;3784;
2017-07-06;173,70;173,90;173,20;174,00;171,80;173,80;172,974;1202420;207987748;3506;
2017-07-05;173,30;173,50;173,00;174,80;171,30;173,60;173,574;1234995;214362152,6;3735;
2017-07-04;173,40;173,50;172,40;173,60;170,50;173,40;172,447;1185734;204472042,6;3605;
2017-07-03;173,60;173,80;173,50;174,20;172,10;173,60;173,21;1247994;216164204,25;3553;
2017-06-30;172,10;172,30;173,00;174,40;171,30;172,40;172,731;2605394;450031183,2;6332;
2017-06-29;172,80;173,00;178,10;178,80;172,80;173,10;174,522;1297065;226367740,2;4433;
2017-06-28;177,30;177,50;179,10;179,10;176,40;177,70;177,368;1127705;200019227,45;3200;
2017-06-27;179,40;179,50;181,30;181,80;179,30;179,30;180,043;1228266;221141089,4;3410;
2017-06-26;182,10;182,30;182,70;184,40;181,70;182,10;183,195;1759504;322333151,35;5520;
2017-06-22;181,80;181,90;178,20;182,10;178,20;182,10;180,84;2262166;409088174,3;6238;
2017-06-21;175,10;175,30;175,40;176,00;173,60;175,30;174,929;1176407;205787557,9;3921;
2017-06-20;176,00;176,20;178,80;179,70;175,80;175,90;177,155;1727622;306056367,95;3839;
2017-06-19;178,90;179,00;176,50;179,50;176,50;178,80;178,478;1550543;276670873;4124;
2017-06-16;175,30;175,40;171,70;175,70;171,70;175,70;174,933;1622298;283792981,05;3723;
2017-06-15;171,00;171,20;172,30;172,30;169,70;171,20;170,721;1119344;191093601,15;3317;
2017-06-14;172,60;172,80;173,60;174,40;172,40;172,60;173,165;1312841;227286971,55;3097;
2017-06-13;173,20;173,40;172,40;174,20;172,30;173,30;173,161;3619856;624116852,2;2950;
2017-06-12;172,20;172,40;173,60;173,80;170,70;172,10;171,853;1219334;209545852,1;3837;
2017-06-09;174,30;174,40;172,50;174,50;172,40;174,20;173,596;1614175;280208981,25;4527;
2017-06-08;172,40;172,50;173,10;173,60;170,90;172,40;172,384;1403779;241990128,5;4065;
2017-06-07;173,40;173,50;172,70;173,80;171,70;173,30;173,01;1660753;287327733,7;4586;
2017-06-05;172,80;173,00;174,80;174,80;172,50;172,70;172,984;1033126;178701284,67;2998;
2017-06-02;174,40;174,50;174,90;176,20;174,20;174,50;174,805;1323738;231369517;3798;
2017-06-01;173,80;173,90;175,00;177,20;173,70;174,00;174,80;1421513;248477231,15;4418;
2017-05-31;175,00;175,20;174,70;176,50;174,10;175,00;175,075;2072012;362757354,3;4450;
2017-05-30;174,70;174,90;173,20;175,10;172,60;174,80;174,377;1545176;269435463,05;3196;
2017-05-29;173,70;173,80;174,60;174,90;173,60;173,80;174,083;719830;125309825,6;2387;
2017-05-26;174,20;174,40;174,00;175,20;173,30;174,60;174,363;1207008;210457063,8;3925;
2017-05-24;174,00;174,10;172,60;174,80;172,10;174,40;174,201;1031947;179766075,1;2739;
2017-05-23;173,20;173,40;172,60;173,90;172,30;173,50;173,05;1097298;189887172,25;2818;
2017-05-22;172,50;172,60;173,50;174,00;172,00;172,50;172,805;1010514;174659617,6;3267;
2017-05-19;173,10;173,30;170,90;173,90;170,90;173,40;172,782;1377517;238010606,55;4147;
2017-05-18;171,00;171,10;173,00;174,10;170,10;171,00;171,256;1900030;325391107,45;5116;
2017-05-17;172,80;172,90;176,80;177,80;172,70;173,20;174,999;2003236;350595070,32;5834;
2017-05-16;178,10;178,30;177,90;178,90;177,00;178,40;178,08;1183003;210669034,9;3570;
2017-05-15;177,10;177,20;176,30;177,40;175,20;177,40;176,349;2819793;496924906,35;4088;
2017-05-12;176,20;176,40;179,50;179,50;175,10;176,10;176,431;1740319;307063176,2;4658;
2017-05-11;179,20;179,30;179,40;179,90;177,90;179,40;179,294;1034372;185455327,7;3257;
2017-05-10;179,40;179,60;179,30;179,70;178,30;179,70;179,316;940760;168692938,75;2562;
2017-05-09;179,90;180,00;179,40;180,50;179,20;179,50;179,779;1179343;212020590,8;3463;
2017-05-08;179,30;179,50;180,00;180,00;177,20;179,30;178,88;1490571;266633021,1;4314;
2017-05-05;179,90;180,00;180,90;181,00;178,60;180,00;179,779;1973270;354706177,7;5324;
2017-05-04;180,90;181,00;182,50;182,80;180,80;181,00;181,433;1697913;308058390,85;3479;
2017-05-03;181,20;181,30;183,00;183,00;181,00;181,30;181,43;1446287;262399290,8;3735;
2017-05-02;182,80;182,90;183,30;183,90;181,70;183,30;182,791;1393024;254632396,3;3966;
2017-04-28;181,50;181,70;176,00;181,70;175,80;181,70;180,194;1856617;334552717,75;4575;
2017-04-27;175,70;175,80;176,50;179,10;174,80;176,00;176,743;2231230;393417785,4;5833;
2017-04-26;178,20;178,60;181,70;185,30;173,60;178,50;177,97;4282456;762126522,55;13202;
2017-04-25;180,70;180,90;179,60;181,10;177,30;180,90;179,996;1522005;273954544,95;3949;
2017-04-24;177,90;178,00;178,00;178,40;175,80;178,40;177,357;1544964;271908916,85;3922;
2017-04-21;175,40;175,60;175,70;176,10;174,80;175,70;175,576;1101527;193401785,05;3394;
2017-04-20;174,70;174,90;176,00;177,50;173,90;175,00;175,497;1544596;271058238,5;4741;
2017-04-19;173,00;173,20;173,30;174,50;172,70;173,10;173,392;1391903;241344942,05;4006;
2017-04-18;173,30;173,40;174,30;175,00;172,70;173,60;173,661;1293101;224561021,6;3812;
2017-04-13;173,70;173,80;174,70;174,90;172,90;174,30;173,76;776885;134981363,45;2104;
2017-04-12;175,20;175,30;175,60;177,40;175,20;175,40;175,912;1026664;180602513,7;3216;
2017-04-11;175,40;175,60;175,10;176,00;174,60;175,50;175,343;1039160;182208874,5;2862;
2017-04-10;175,50;175,70;174,60;176,60;174,40;175,50;175,304;1011936;177396066,65;3246;
2017-04-07;174,80;175,00;172,80;175,00;171,60;174,90;173,807;1115805;194055380;2968;
2017-04-06;172,00;172,20;171,80;172,60;170,70;172,00;171,972;1033753;177776969,9;3158;
2017-04-05;172,00;172,20;168,00;174,60;167,90;172,00;171,909;1917678;329664326,95;5303;
2017-04-04;167,40;167,50;167,50;169,00;166,80;167,40;167,727;1321896;221716283,4;3525;
2017-04-03;167,00;167,20;169,50;169,80;167,10;167,40;168,173;1008830;169658333,5;3057;
2017-03-31;169,00;169,10;168,50;169,20;167,40;169,10;168,458;1041326;175419388,8;3038;
2017-03-30;168,00;168,20;167,50;168,50;166,70;168,40;167,835;1063334;178460620,75;3110;
2017-03-29;166,80;166,90;167,00;167,90;166,10;167,20;166,988;1036256;173042066,6;2844;
2017-03-28;166,00;166,10;163,50;166,20;162,80;166,20;164,786;932208;153613744,95;2539;
2017-03-27;163,10;163,20;163,70;164,90;161,90;163,10;162,991;1232803;200935595,7;3079;
2017-03-24;165,90;166,10;165,60;167,00;165,50;166,20;166,242;664457;110458990,4;1784;
2017-03-23;166,20;166,40;163,40;166,40;162,50;166,20;165,22;1091874;180399571,6;2602;
2017-03-22;163,10;163,30;164,00;164,00;161,20;163,10;162,68;1484496;241497968,1;3566;
2017-03-21;164,60;164,70;166,10;166,50;163,80;164,30;164,898;1109412;182939446,45;2945;
2017-03-20;165,40;165,50;165,10;166,50;164,70;165,00;165,565;1012554;166326047,45;2318;
