sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;873,00;874,00;878,00;880,00;869,00;872,00;874,695;174488;152624569,25;2466;
2017-08-02;875,50;876,00;877,00;881,00;873,00;877,00;876,61;193332;169476586,25;2686;
2017-08-01;874,00;874,50;874,50;894,00;870,50;873,50;881,37;442527;389994269,75;5264;
2017-07-31;874,50;875,50;881,50;885,50;874,00;874,50;879,025;146945;129169366,5;2056;
2017-07-28;882,50;883,00;893,50;894,50;880,00;883,00;883,574;256542;226674389,25;3413;
2017-07-27;897,00;898,00;891,00;898,50;886,50;896,50;892,902;195295;174379769,5;2604;
2017-07-26;895,50;896,00;897,00;900,00;889,00;895,00;894,013;270410;241752196,25;3480;
2017-07-25;898,50;899,50;883,00;901,50;876,00;900,00;893,011;542045;484113191,5;6335;
2017-07-24;884,50;885,50;881,00;887,00;871,00;886,00;880,137;453913;400291959,75;5634;
2017-07-21;881,50;882,50;951,00;951,50;869,00;880,00;893,937;1570883;1403868426,25;19206;
2017-07-20;957,50;958,50;972,00;974,00;951,00;956,50;960,993;479452;460742583,5;5741;
2017-07-19;968,00;968,50;971,00;976,00;965,00;966,50;968,566;200024;193736208;2812;
2017-07-18;969,00;970,00;965,50;971,00;955,50;968,50;963,763;360237;347179151,75;4684;
2017-07-17;969,50;970,00;968,00;971,50;965,00;970,50;968,895;187049;181230837;2576;
2017-07-14;965,50;966,00;969,00;972,00;962,50;966,00;966,471;148566;143584450;2503;
2017-07-13;973,00;973,50;975,00;975,00;965,50;972,50;970,353;186191;180671756,5;2393;
2017-07-12;975,00;975,50;970,00;981,00;965,00;975,00;973,443;218958;213157747,5;2765;
2017-07-11;969,00;969,50;970,00;979,00;962,50;968,00;970,19;274169;265999992;3811;
2017-07-10;967,00;967,50;962,00;970,50;961,50;966,50;966,894;178571;172659264;2280;
2017-07-07;958,50;959,50;958,00;960,50;953,50;959,00;957,259;171786;164443106,25;2052;
2017-07-06;957,50;958,00;964,00;968,00;954,50;958,00;960,605;254210;244195123,5;3500;
2017-07-05;962,50;963,00;938,00;969,50;930,00;962,00;954,291;656060;626058046,19;6799;
2017-07-04;939,00;940,00;946,00;949,00;936,00;937,00;942,226;245377;231137282,74;2424;
2017-07-03;945,00;945,50;927,00;947,00;924,50;946,00;939,789;289290;271871268,25;4016;
2017-06-30;922,00;923,00;921,50;931,00;915,00;924,00;923,656;284962;263206623,75;3163;
2017-06-29;921,00;922,00;932,50;933,50;918,50;921,00;924,165;208786;192952710,5;2734;
2017-06-28;928,00;929,00;929,00;930,00;921,00;928,50;925,903;309484;286551223,75;3958;
2017-06-27;934,00;934,50;948,50;948,50;926,00;933,50;936,31;661704;619548567,75;6802;
2017-06-26;947,00;947,50;952,00;956,50;943,00;947,00;948,268;236381;224152454,5;3422;
2017-06-22;949,00;950,00;950,50;952,00;941,00;949,50;947,182;166605;157805324,75;2433;
2017-06-21;949,50;950,50;956,00;956,00;936,00;949,00;944,581;435643;411474523,5;5097;
2017-06-20;959,50;960,00;965,00;969,00;956,50;959,00;962,293;255963;246316013,75;3100;
2017-06-19;961,00;962,00;957,00;962,50;952,00;961,50;957,502;266266;253654911,75;2566;
2017-06-16;950,00;951,00;980,00;986,50;946,00;951,50;965,374;550066;531057450,5;6670;
2017-06-15;969,00;969,50;964,50;970,00;956,50;969,50;965,193;261639;252532229,75;3310;
2017-06-14;963,50;964,00;973,00;978,00;960,50;964,00;968,467;212972;206260996;2782;
2017-06-13;972,00;973,00;978,00;983,00;967,00;973,50;972,711;342680;333317042;4173;
2017-06-12;974,50;975,50;978,00;983,50;969,00;974,50;975,004;267546;260861957,75;3800;
2017-06-09;974,50;975,50;979,00;983,00;971,00;977,00;976,816;420421;410532267,19;4883;
2017-06-08;979,00;980,00;1000,00;1003,00;978,00;979,50;988,085;528925;522623692,25;5940;
2017-06-07;996,50;997,00;994,00;1003,00;987,50;994,50;996,064;359420;358005314,5;4578;
2017-06-05;996,00;996,50;996,00;999,00;991,00;995,50;995,841;226870;225928698;2886;
2017-06-02;991,50;992,50;989,00;993,50;977,00;992,00;986,40;583915;575786004;6220;
2017-06-01;983,00;983,50;967,00;984,50;966,00;984,50;977,329;811664;793005945,25;8258;
2017-05-31;956,50;957,50;957,50;966,00;954,00;958,00;960,135;444657;426942777;4643;
2017-05-30;958,50;959,00;956,50;964,50;953,00;959,00;959,032;327237;313826138,75;3635;
2017-05-29;955,00;956,00;952,50;962,50;951,00;955,00;956,73;325344;311261892,25;3729;
2017-05-26;950,50;951,00;941,50;953,00;938,00;952,50;948,071;423103;401119537,25;4453;
2017-05-24;942,00;942,50;936,00;944,50;933,50;941,50;940,322;248402;233579834;2648;
2017-05-23;936,00;937,00;929,50;943,00;929,50;937,00;938,125;453277;425147485,25;5141;
2017-05-22;928,50;929,50;919,00;930,00;913,50;929,50;923,442;416717;385159323,75;4409;
2017-05-19;917,00;917,50;911,00;919,00;909,00;918,50;915,886;307803;281912021;3278;
2017-05-18;908,00;908,50;896,50;911,00;896,50;907,50;904,054;527973;477311303;6819;
2017-05-17;906,50;907,50;905,00;927,00;904,00;907,50;913,992;576047;526507676,31;7195;
2017-05-16;909,50;910,00;906,00;913,50;904,50;910,00;908,809;345257;313772102,5;4209;
2017-05-15;907,00;908,00;907,50;910,00;900,50;908,50;906,673;219440;198949950;2553;
2017-05-12;909,00;909,50;910,50;913,50;904,50;909,50;908,593;280745;255065368,75;3548;
2017-05-11;913,50;914,00;921,00;922,00;909,50;913,50;914,775;289962;265248659,25;3300;
2017-05-10;920,00;921,00;923,00;928,00;917,50;921,50;921,829;210139;193712281,5;2555;
2017-05-09;915,00;915,50;915,00;924,00;905,50;917,50;914,725;436828;399577844,5;4150;
2017-05-08;908,50;909,50;920,00;920,00;908,00;909,50;913,612;313797;286691726;3845;
2017-05-05;915,00;915,50;908,00;916,50;900,50;915,50;909,479;500583;455269356,4;4255;
2017-05-04;906,00;907,00;890,00;908,50;883,00;905,00;899,231;789271;709679538,45;8519;
2017-05-03;886,00;886,50;874,00;888,50;872,00;886,00;882,584;667045;588720836;7168;
2017-05-02;867,00;868,00;878,00;887,00;864,50;869,50;875,753;915141;801413970,98;9118;
2017-04-28;885,00;885,50;940,00;951,50;880,50;886,50;908,992;1906381;1733354192,5;19366;
2017-04-27;938,00;938,50;922,00;943,50;920,50;938,00;936,827;647376;606474390,47;6311;
2017-04-26;923,50;924,50;908,00;924,50;906,50;924,50;915,441;338085;309507850,25;3892;
2017-04-25;910,50;911,00;910,00;918,00;906,00;911,50;911,629;339368;309377925,75;4122;
2017-04-24;902,00;902,50;909,00;915,00;901,50;904,00;908,959;493391;449146815;5552;
2017-04-21;898,50;899,00;890,50;905,50;887,00;899,00;895,178;503153;450413851,25;4695;
2017-04-20;889,50;890,50;881,00;891,50;877,50;891,00;886,496;408622;362225067,25;3127;
2017-04-19;888,00;888,50;875,00;888,50;874,00;887,50;883,189;258454;228263238,75;3260;
2017-04-18;873,00;874,00;880,00;880,00;865,50;874,00;871,404;263458;229578069,5;2964;
2017-04-13;874,50;875,00;877,00;877,00;870,50;873,00;873,905;133168;116378651,5;1596;
2017-04-12;878,00;878,50;886,50;893,50;877,00;878,50;885,651;307253;272119142;3443;
2017-04-11;879,50;880,00;888,50;890,00;876,00;880,50;883,555;218513;193068369;2561;
2017-04-10;885,50;886,00;876,00;887,00;873,50;886,50;881,316;269017;237099225,25;3460;
2017-04-07;878,00;879,00;871,50;885,50;869,00;880,00;878,342;384987;338180390,5;4313;
2017-04-06;873,00;873,50;869,50;879,50;867,00;873,00;875,052;334290;292520539,75;4084;
2017-04-05;877,00;878,00;877,50;889,00;867,00;876,50;875,881;622904;545532040;6142;
2017-04-04;879,50;880,00;902,00;902,00;876,50;879,50;885,536;536239;474859266,25;5982;
2017-04-03;898,50;899,50;917,00;920,00;898,50;899,50;907,937;349316;317145528,25;3970;
2017-03-31;917,00;918,00;904,00;918,00;900,00;918,00;910,663;346329;315388879;4192;
2017-03-30;897,00;898,00;898,00;901,00;885,50;898,00;892,555;420364;374916664,75;4908;
2017-03-29;902,00;903,00;899,50;906,50;896,00;904,00;901,923;253375;228523850,5;3179;
2017-03-28;892,00;892,50;894,00;897,50;886,50;895,50;891,935;396254;353432274,75;4222;
2017-03-27;891,00;891,50;892,50;894,00;882,00;890,50;888,254;298804;265411760;3764;
2017-03-24;897,50;898,50;894,50;904,00;893,00;899,50;898,983;210466;189208213,5;2790;
2017-03-23;892,00;892,50;894,50;898,00;886,00;892,50;892,052;590211;526496422,5;5932;
2017-03-22;890,50;891,50;892,50;898,50;887,50;892,50;892,559;336127;300014156,5;4082;
2017-03-21;901,00;901,50;915,00;919,00;897,00;900,50;907,204;355275;322014221;3857;
2017-03-20;917,50;918,50;915,00;919,50;908,50;918,00;913,315;289341;264867620,25;3325;
2017-03-17;916,50;917,50;927,50;932,00;914,50;916,50;922,036;239381;220718667,89;3042;
2017-03-16;927,00;928,00;937,00;938,50;925,50;927,50;929,761;248195;230763733,75;3174;
2017-03-15;934,00;935,00;929,00;936,50;925,50;932,50;930,509;282741;263091364,75;3612;
2017-03-14;936,50;937,50;930,00;940,00;928,50;936,00;934,991;376558;352341158,5;4148;
2017-03-13;948,00;948,50;934,00;966,50;929,00;950,00;950,586;621655;590969953;7879;
2017-03-10;935,00;935,50;929,00;940,00;928,00;935,00;935,229;401454;375437055,99;2766;
2017-03-09;923,50;924,50;922,00;926,00;916,00;924,00;921,054;289772;267013834;3036;
2017-03-08;921,00;922,00;920,50;927,00;913,00;921,00;919,006;280195;257468256;3291;
2017-03-07;923,00;924,00;926,50;929,00;918,00;922,50;923,749;252911;233624708,5;3279;
2017-03-06;923,00;923,50;934,50;936,00;922,00;923,00;928,077;230111;213560931;2741;
2017-03-03;936,00;937,00;942,50;944,00;932,50;936,50;937,616;188949;177161675;2289;
2017-03-02;944,50;945,50;953,00;953,00;934,00;943,50;943,153;361883;341310051,5;4676;
2017-03-01;952,50;953,50;948,00;962,00;948,00;954,00;955,591;378066;361270433;5489;
2017-02-28;948,00;948,50;947,00;948,50;943,50;948,00;945,974;275551;260670492,75;3122;
2017-02-27;942,50;943,00;944,00;945,50;933,00;942,50;939,558;277766;260977323,5;3341;
2017-02-24;938,50;939,00;944,50;945,50;933,00;940,00;938,926;250651;235342462,5;3125;
2017-02-23;946,00;946,50;947,50;951,50;941,50;945,50;945,716;241107;228010436,25;2620;
2017-02-22;943,50;944,00;948,00;948,50;938,50;944,50;942,625;302044;284715036,75;3622;
2017-02-21;945,00;945,50;943,00;952,00;938,00;944,50;943,697;412175;388960261,25;4593;
2017-02-20;940,50;941,50;942,50;947,00;938,50;938,50;941,204;237535;224296473;2488;
2017-02-17;937,50;938,00;948,00;951,50;925,00;936,00;933,199;645699;602552307,25;6455;
2017-02-16;947,00;948,00;973,00;973,00;946,50;948,00;954,757;330431;315477465,25;4326;
2017-02-15;962,00;963,00;958,00;963,00;953,00;962,50;958,599;290711;278674977,5;3817;
2017-02-14;951,50;952,50;958,00;958,50;947,50;950,50;952,724;440914;420081294,75;4831;
2017-02-13;954,50;955,00;947,00;956,00;941,50;955,00;950,163;330922;314430074,5;4340;
2017-02-10;937,50;938,50;937,00;944,50;927,50;938,00;936,47;370841;347281359,25;4526;
2017-02-09;938,00;938,50;922,50;939,00;921,00;938,00;929,624;445756;414303836;4191;
2017-02-08;916,00;916,50;916,50;922,00;913,00;917,00;917,435;381295;349813386,25;4114;
2017-02-07;919,50;920,00;912,00;928,00;911,00;920,00;921,368;425498;392115589,88;4404;
2017-02-06;906,50;907,00;905,00;920,00;902,50;908,00;912,726;586469;535317910,25;5905;
2017-02-03;917,50;918,50;931,00;943,00;913,00;920,50;926,955;658243;610174861,5;7001;
2017-02-02;932,00;933,00;1015,00;1015,00;917,00;931,00;948,873;1604428;1522405450,25;15745;
2017-02-01;1009,00;1011,00;1012,00;1022,00;1007,00;1009,00;1013,577;321610;325984780;2694;
2017-01-31;1006,00;1007,00;1001,00;1014,00;992,50;1007,00;1003,584;251590;252472974,25;2914;
2017-01-30;1002,00;1004,00;1011,00;1013,00;1001,00;1002,00;1005,861;176164;177198649,5;1851;
2017-01-27;1013,00;1014,00;1025,00;1033,00;1008,00;1013,00;1018,316;247418;251946565,5;2443;
2017-01-26;1023,00;1025,00;1024,00;1036,00;1022,00;1027,00;1030,244;247590;255076063;2704;
2017-01-25;1017,00;1019,00;1008,00;1024,00;1008,00;1020,00;1018,897;298086;303268319;2218;
2017-01-24;1005,00;1006,00;996,50;1007,00;996,50;1004,00;1003,169;170641;171181778;1819;
2017-01-23;994,00;995,00;1008,00;1013,00;991,50;994,50;1001,724;329102;327585264,5;3180;
2017-01-20;1012,00;1013,00;1009,00;1023,00;1005,00;1012,00;1016,598;199804;202990662,5;2005;
2017-01-19;1012,00;1014,00;1013,00;1018,00;1008,00;1012,00;1012,62;206678;209285703,5;2429;
2017-01-18;1011,00;1012,00;1015,00;1017,00;1008,00;1011,00;1012,897;251701;254947174;2453;
2017-01-17;1009,00;1011,00;1024,00;1026,00;1009,00;1011,00;1016,459;368783;374833564,5;3251;
2017-01-16;1027,00;1028,00;1030,00;1031,00;1022,00;1028,00;1025,986;153627;157578236,94;1610;
2017-01-13;1031,00;1032,00;1019,00;1033,00;1015,00;1033,00;1026,282;297831;305652749;2970;
2017-01-12;1007,00;1008,00;1027,00;1030,00;999,00;1007,00;1015,061;362995;367940254,5;3696;
2017-01-11;1034,00;1035,00;1025,00;1040,00;1022,00;1034,00;1032,393;239621;247338020,46;2380;
2017-01-10;1020,00;1021,00;1013,00;1022,00;1006,00;1019,00;1013,42;262259;265778378;2980;
2017-01-09;1013,00;1014,00;1030,00;1034,00;1008,00;1014,00;1015,359;521297;529307475;4395;
2017-01-05;1036,00;1038,00;1034,00;1041,00;1034,00;1037,00;1036,418;93267;96663291;937;
2017-01-04;1034,00;1035,00;1044,00;1049,00;1030,00;1035,00;1038,265;279860;290568914,5;2804;
2017-01-03;1046,00;1047,00;1057,00;1064,00;1043,00;1048,00;1053,934;377949;398325333;3635;
2017-01-02;1054,00;1055,00;1030,00;1056,00;1027,00;1056,00;1046,59;237230;248287420;2377;
2016-12-30;1036,00;1037,00;1039,00;1059,00;1028,00;1028,00;1043,088;1461645;1524715668,5;5315;
2016-12-29;1037,00;1038,00;1035,00;1040,00;1029,00;1040,00;1035,904;180004;186446833,5;1402;
2016-12-28;1037,00;1039,00;1036,00;1048,00;1036,00;1040,00;1041,434;112674;117341646,5;1332;
2016-12-27;1038,00;1039,00;1026,00;1042,00;1025,00;1041,00;1037,303;93573;97063587;1090;
2016-12-23;1023,00;1025,00;1028,00;1033,00;995,50;1025,00;1013,603;301144;305231294;3654;
2016-12-22;1029,00;1031,00;1040,00;1047,00;1026,00;1030,00;1036,229;165893;171903507;1457;
