sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;172,00;172,20;172,80;172,80;171,40;172,00;172,188;1419986;244503771,2;3608;
2017-08-02;172,50;172,60;174,60;175,10;172,30;172,80;173,268;1567908;271668778,6;4124;
2017-08-01;174,20;174,40;173,50;175,80;173,30;174,20;174,289;1660391;289387508,3;4265;
2017-07-31;173,10;173,30;174,20;175,00;173,00;173,00;173,862;2102164;365487310;4104;
2017-07-28;174,20;174,40;176,70;176,70;173,70;174,20;174,622;2556540;446427297,8;7273;
2017-07-27;177,00;177,10;174,90;177,60;174,80;176,50;176,825;3185028;563191208,95;7275;
2017-07-26;175,30;175,50;172,00;175,40;171,60;175,20;174,597;2871216;501148702,3;5632;
2017-07-25;172,30;172,40;171,90;174,10;171,40;172,40;172,674;2696431;465571656,1;6062;
2017-07-24;172,10;172,30;172,30;173,10;171,10;171,90;172,106;3071192;528583431,65;8553;
2017-07-21;172,10;172,30;173,90;176,50;171,20;172,40;172,537;3651046;629941229,85;10071;
2017-07-20;175,00;175,10;174,00;176,30;173,60;175,50;175,135;4397696;770187268,25;11975;
2017-07-19;173,50;173,70;169,40;174,30;165,20;173,80;171,361;9247602;1584217681,05;22272;
2017-07-18;184,00;184,10;183,90;185,50;183,00;183,90;184,193;3372780;621244324;7117;
2017-07-17;184,60;184,70;184,50;185,70;183,40;184,80;184,795;1945986;359607547,3;4791;
2017-07-14;183,40;183,60;183,20;184,50;181,80;183,60;183,004;1924221;352140475,8;4568;
2017-07-13;182,50;182,60;186,40;187,00;181,60;182,60;182,979;2565667;469477066,5;5835;
2017-07-12;186,10;186,20;183,00;186,30;182,70;186,30;185,179;1544407;285991814,3;3909;
2017-07-11;182,10;182,30;182,60;183,50;181,00;182,30;182,381;1322597;241216242,45;4041;
2017-07-10;182,70;182,90;183,20;183,70;182,50;182,60;182,83;1826221;333887614,95;3735;
2017-07-07;182,80;183,00;185,70;185,70;181,90;182,90;182,95;1263637;231182916,2;3418;
2017-07-06;183,70;183,80;185,50;186,00;182,90;184,00;184,001;1476588;271692939;3835;
