sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;264,40;264,60;262,20;265,30;260,40;264,00;263,958;1053420;278052505,45;5165;
2017-08-02;262,60;262,80;265,50;266,50;262,10;262,60;263,016;798785;210093977,9;4727;
2017-08-01;265,50;265,70;261,00;267,70;260,50;265,80;265,512;745948;198057901,4;3629;
2017-07-31;262,60;262,80;265,20;266,90;261,60;261,60;263,21;696611;183355100,7;2934;
2017-07-28;265,50;265,70;267,00;267,10;263,70;265,90;265,435;589197;156393239,4;3689;
2017-07-27;267,60;267,80;271,10;273,60;266,60;267,50;268,857;750280;201717625,1;4186;
2017-07-26;272,00;272,10;268,70;272,40;268,50;272,40;270,546;547626;148158004,5;3238;
2017-07-25;269,80;270,00;269,10;272,50;268,50;269,80;270,154;616484;166545482,6;4128;
2017-07-24;269,40;269,60;273,30;273,50;269,10;269,10;270,781;511928;138620360,5;3128;
2017-07-21;273,30;273,50;274,60;276,80;272,50;273,50;274,193;954375;261693551,1;5591;
2017-07-20;276,00;276,20;279,00;282,00;275,40;276,00;277,661;819216;227468016,3;5626;
2017-07-19;277,80;278,10;275,20;278,90;271,20;277,50;275,258;1209519;332928484,45;7365;
2017-07-18;274,30;274,40;277,00;277,00;272,20;274,10;273,771;1525937;417763302,1;9944;
2017-07-17;276,00;276,20;298,80;299,20;270,10;276,50;277,835;3058162;849612054,35;18189;
2017-07-14;296,90;297,00;297,80;298,10;295,20;297,30;297,128;576055;171156493,9;3570;
2017-07-13;296,00;296,30;300,40;300,70;296,10;296,30;298,121;422160;125868821,65;2767;
2017-07-12;299,00;299,20;291,00;299,80;290,80;299,70;297,116;625111;185732783,35;3999;
2017-07-11;289,70;289,90;293,00;293,90;289,30;289,30;290,594;443698;128935766,15;2869;
2017-07-10;292,70;292,80;290,30;293,20;288,80;292,70;291,472;474387;138270719,2;3077;
2017-07-07;288,10;288,20;290,00;290,50;287,90;288,70;288,82;434569;125512025,05;2698;
2017-07-06;289,50;289,70;290,00;290,60;286,20;289,70;288,718;732698;211541109,54;4301;
2017-07-05;290,70;290,90;288,50;291,60;287,40;291,10;290,207;584772;169704953,8;3553;
2017-07-04;289,40;289,60;291,20;292,10;289,10;289,20;289,852;866812;251246843,35;4074;
2017-07-03;293,10;293,30;292,50;293,70;291,40;292,70;292,701;647017;189382623,55;3232;
2017-06-30;291,30;291,50;292,50;294,40;290,60;291,10;291,909;739707;215927033,65;3381;
2017-06-29;291,80;292,10;300,90;301,80;291,00;292,10;294,497;1150698;338876810,6;6792;
2017-06-28;299,40;299,60;302,20;302,30;297,10;300,30;299,219;956545;286216209,2;6087;
2017-06-27;301,50;301,70;305,20;305,40;301,40;301,90;303,101;1012022;306748002,54;5267;
2017-06-26;306,10;306,40;306,70;309,30;305,00;305,80;306,677;1108640;339997400,05;6608;
2017-06-22;306,20;306,40;305,20;306,90;302,90;306,50;305,314;707102;215888312,35;4806;
2017-06-21;305,00;305,10;303,00;305,80;299,70;305,30;303,538;1833452;556520862,45;8645;
2017-06-20;303,50;303,70;303,00;304,40;301,60;303,50;303,216;902671;273707291,8;5326;
2017-06-19;302,40;302,60;298,50;303,10;298,50;302,00;301,413;1155795;348408183,9;6379;
2017-06-16;295,60;295,80;294,20;296,90;293,00;296,90;295,73;1529321;452262143,05;7044;
2017-06-15;288,60;288,70;290,10;290,10;287,00;288,80;288,099;933274;268875133,1;5385;
2017-06-14;290,50;290,70;292,00;293,90;290,10;290,10;291,87;748976;218603498,9;4480;
2017-06-13;291,80;292,10;291,10;293,50;290,90;292,00;292,148;573537;167557058,35;3350;
2017-06-12;290,50;290,70;293,90;293,90;289,20;290,50;291,494;1672555;487419951,72;8412;
2017-06-09;296,30;296,50;291,00;296,90;291,00;296,30;295,198;751248;221768063,2;4942;
2017-06-08;289,50;289,80;287,00;290,70;286,70;290,50;289,212;1001778;289725596,9;5963;
