sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;491,20;491,40;489,70;496,70;487,10;491,00;492,693;619868;305404454,6;4137;
2017-08-02;489,60;489,80;487,60;491,00;486,10;488,80;488,37;649475;317184296,9;4442;
2017-08-01;486,60;487,00;495,80;496,90;484,20;488,20;490,325;890775;436769213,8;5882;
2017-07-31;493,50;493,90;493,00;500,00;489,80;493,30;494,112;1046993;517331572,3;6970;
2017-07-28;482,80;483,20;478,00;485,10;467,50;481,40;476,666;1865866;889312584,8;12176;
2017-07-27;470,40;470,50;476,00;483,00;464,00;471,80;470,798;4982305;2343974994,5;25146;
2017-07-26;556,50;557,50;551,50;558,50;551,00;555,50;555,82;311381;173071817,5;1970;
2017-07-25;551,50;552,00;554,50;559,50;551,00;551,50;554,068;297333;167437427;1607;
2017-07-24;552,00;553,00;560,00;560,00;550,00;552,00;553,108;282158;156461968,75;1832;
2017-07-21;558,50;559,00;559,00;562,50;556,00;559,00;560,013;323906;181391467;1997;
2017-07-20;555,00;555,50;556,00;561,50;554,50;555,50;557,564;269147;150066677;1742;
2017-07-19;555,50;556,50;555,50;559,50;552,00;555,50;556,58;183175;101951595,5;1343;
2017-07-18;555,50;556,50;552,50;560,00;551,00;555,50;555,904;479887;266769925,25;2303;
2017-07-17;554,50;555,00;560,00;564,00;553,00;555,50;560,249;437674;245205795,5;2585;
2017-07-14;551,00;552,00;540,50;552,50;537,50;552,00;544,776;710410;387020969;3744;
2017-07-13;549,50;550,00;552,00;558,00;543,00;550,00;547,916;1216703;666651204,75;6271;
2017-07-12;571,00;571,50;557,00;572,50;555,50;571,00;566,749;397115;225072905;2256;
2017-07-11;558,50;559,50;565,50;565,50;557,50;559,50;560,392;407653;228445594;2107;
2017-07-10;567,00;567,50;567,50;572,00;567,00;567,00;568,724;163596;93041007;965;
2017-07-07;565,50;566,00;567,00;568,50;564,50;566,50;566,286;188788;106908031;1298;
2017-07-06;567,50;568,00;578,50;579,50;566,00;568,00;569,776;273088;155598865;1748;
2017-07-05;577,00;578,00;572,50;580,00;567,00;578,00;571,961;494015;282531836,44;2034;
2017-07-04;573,50;574,50;574,00;577,50;570,00;574,00;574,59;212803;122274680,5;1240;
2017-07-03;574,50;575,50;575,00;576,00;570,00;575,50;573,143;231455;132669099,25;1602;
2017-06-30;572,00;573,00;577,00;580,50;571,50;572,00;575,868;523407;301389399,5;2759;
2017-06-29;578,50;579,00;589,00;589,00;575,00;579,00;581,756;580210;337646808;3366;
2017-06-28;589,00;589,50;595,00;596,50;589,00;590,50;592,156;449632;266267586,5;2115;
2017-06-27;598,50;599,00;612,00;612,00;598,50;599,50;602,681;381915;230168667;2264;
2017-06-26;611,00;611,50;611,50;622,00;610,00;612,00;613,846;361344;221810453,75;2603;
2017-06-22;619,00;619,50;607,50;619,50;603,50;619,00;613,206;430612;264057223;2709;
2017-06-21;607,50;608,00;610,50;611,50;600,50;607,50;606,678;352341;213756745;2410;
2017-06-20;610,00;611,00;604,00;612,00;602,00;610,00;607,676;336268;204334457,81;1702;
2017-06-19;602,00;603,00;597,50;604,00;596,50;602,50;601,231;290384;172629498;1477;
2017-06-16;595,50;596,00;599,00;601,00;594,50;596,00;596,773;591283;352713251,5;2367;
2017-06-15;598,50;599,50;597,00;599,50;590,50;598,00;595,265;359904;214238280;2086;
2017-06-14;596,50;597,50;594,00;600,00;592,50;596,50;596,831;414846;247592663;2036;
2017-06-13;590,50;591,00;595,00;598,00;590,50;592,00;592,908;290993;172532019,5;1799;
2017-06-12;593,50;594,50;598,50;598,50;590,50;595,00;594,126;357962;212675403,75;2359;
2017-06-09;601,00;602,00;601,50;608,00;598,50;602,00;602,151;577002;347348244,27;2743;
2017-06-08;608,00;609,00;604,00;611,00;603,50;607,00;608,882;550118;334960572,75;3445;
2017-06-07;604,00;605,00;604,00;605,50;598,00;604,00;602,187;374385;225449924,5;2623;
2017-06-05;604,00;605,00;605,00;611,00;601,50;604,00;606,424;423605;257078600,5;2538;
2017-06-02;603,50;604,50;605,00;609,50;603,00;604,00;605,953;403336;244372503;2517;
2017-06-01;602,50;603,00;594,00;605,00;594,00;603,00;602,606;330984;199452861,5;2140;
2017-05-31;595,50;596,00;593,00;597,50;592,00;594,50;595,06;380890;226652150,75;2148;
2017-05-30;593,50;594,50;590,50;596,00;589,50;593,00;592,221;270423;160150052,5;1950;
2017-05-29;587,50;588,50;590,00;592,50;587,00;590,00;589,494;134496;79284597,5;1352;
2017-05-26;589,00;589,50;590,50;595,00;589,00;589,50;591,90;207854;123028860,75;1686;
2017-05-24;593,50;594,00;591,00;597,00;590,00;592,50;594,392;260248;154626752,5;1223;
2017-05-23;589,50;590,00;591,00;591,50;584,50;590,00;588,123;301490;177312314,5;1970;
2017-05-22;589,00;590,00;591,00;592,50;586,50;590,00;589,185;540143;316347616;2843;
2017-05-19;591,50;592,00;595,50;602,00;591,00;591,50;596,647;486716;290397714;3113;
2017-05-18;594,50;595,50;599,50;604,50;594,00;594,00;600,24;553439;332196283;4270;
2017-05-17;601,50;602,00;602,50;607,00;600,00;601,00;603,638;687542;415033369,48;4345;
2017-05-16;604,50;605,50;599,00;606,00;594,00;605,00;599,587;462759;277464048,5;2801;
2017-05-15;600,00;600,50;601,00;608,50;596,50;599,50;602,538;767624;462458360,25;4438;
2017-05-12;593,00;594,00;566,00;600,50;566,00;593,00;584,55;1932381;1129563627;10038;
2017-05-11;550,00;550,50;551,00;552,00;545,00;550,50;548,921;398020;218481684;2272;
2017-05-10;550,50;551,50;548,00;554,50;548,00;552,00;551,953;540097;298108247;2435;
2017-05-09;548,50;549,50;535,00;549,00;534,00;548,50;543,996;544030;295950043,5;2475;
2017-05-08;534,50;535,50;533,50;538,50;533,00;535,50;536,03;365179;195746823;1657;
2017-05-05;532,50;533,50;540,00;540,00;532,50;534,00;535,654;516893;276875724,5;1939;
2017-05-04;538,50;539,00;539,00;541,00;534,50;539,50;537,565;298844;160648106;1287;
2017-05-03;537,50;538,00;536,50;541,50;534,00;538,50;537,994;420916;226450394,25;2052;
2017-05-02;538,50;539,00;538,50;540,00;533,00;538,50;536,635;473117;253891276,5;2633;
