sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;252,30;252,40;251,30;252,70;248,50;252,00;251,064;1316076;330418828;5248;
2017-08-02;252,20;252,40;254,50;254,60;250,50;252,00;252,241;1290239;325451010,9;5182;
2017-08-01;254,10;254,40;254,40;255,10;251,40;254,00;253,542;1183219;299995237,4;5103;
2017-07-31;253,80;254,00;255,60;257,90;253,30;253,60;255,103;1310793;334387005,1;4642;
2017-07-28;254,80;255,00;257,90;258,00;252,00;254,80;254,296;1875541;476942373,5;7611;
2017-07-27;258,40;258,60;257,10;261,30;256,30;258,80;259,15;1675564;434284018,5;6696;
2017-07-26;256,60;256,70;259,60;259,60;254,80;257,00;256,627;1833452;470474327,75;6285;
2017-07-25;256,00;256,20;251,70;257,70;251,70;256,80;255,626;2443616;624062320,7;9235;
2017-07-24;250,00;250,20;248,30;252,60;247,40;249,80;249,92;1632532;407972158,35;6916;
2017-07-21;248,00;248,10;251,50;251,70;247,10;248,00;249,338;1960291;488777235,8;7710;
2017-07-20;251,40;252,00;250,00;258,10;249,90;251,50;253,602;3557708;902238717,5;14478;
2017-07-19;240,20;240,40;237,40;241,00;237,40;240,50;239,589;1793046;429609111,8;6846;
2017-07-18;237,40;237,60;239,50;239,90;236,40;237,20;237,723;1960091;466087247,4;6301;
2017-07-17;241,00;241,20;239,00;242,50;239,00;241,10;241,105;1440310;347266132,15;5757;
2017-07-14;238,30;238,50;237,20;239,00;235,20;238,10;237,667;2024458;481140532,25;8015;
2017-07-13;239,70;239,90;239,90;244,40;239,60;240,50;241,35;1857416;448286829,3;7194;
2017-07-12;239,00;239,20;235,00;240,70;233,50;239,50;238,303;1825249;434956360,6;7099;
2017-07-11;233,40;233,60;229,90;234,40;229,50;233,60;232,343;1948245;452661317,05;7621;
2017-07-10;228,60;228,80;229,30;231,00;226,60;229,00;228,72;1324621;302967930,5;5017;
2017-07-07;228,70;228,90;231,10;231,50;227,60;229,30;229,699;1624110;373056550,3;6218;
2017-07-06;230,90;231,10;232,10;234,70;229,60;231,30;231,68;2233763;517652847,35;7640;
2017-07-05;231,80;232,00;235,20;235,90;230,20;232,10;232,775;2113478;491975787,7;7081;
2017-07-04;235,60;235,80;235,00;236,50;233,10;235,30;235,166;1341266;315415796,65;5459;
2017-07-03;236,80;236,90;231,50;237,40;231,40;237,20;235,321;1718821;404453186,9;6768;
2017-06-30;229,80;230,00;231,60;233,50;228,40;229,90;230,717;1643458;379174715,35;6179;
2017-06-29;231,70;232,00;236,50;239,10;231,50;231,80;235,042;2178798;512108517,1;8453;
2017-06-28;233,60;233,80;232,70;234,10;229,40;234,10;232,333;2052530;476881268,75;7841;
2017-06-27;232,80;233,00;227,00;234,60;226,80;232,70;231,959;2256683;523459561,8;8974;
2017-06-26;226,80;226,90;231,90;234,70;226,10;227,10;230,099;2232981;513804063,8;8982;
2017-06-22;231,80;231,90;228,70;232,00;226,50;231,60;230,156;2400521;552478715,45;9265;
2017-06-21;229,60;229,80;225,80;232,20;223,80;230,00;228,871;2039406;466761118,2;7205;
2017-06-20;225,80;226,00;227,70;229,30;225,20;225,30;226,617;1565359;354765958,6;6827;
2017-06-19;227,70;227,90;225,20;228,30;224,60;227,50;226,203;2238032;506179375,3;8940;
2017-06-16;223,90;224,00;225,50;228,20;222,80;224,10;224,945;2952665;664186870,5;10454;
2017-06-15;224,70;224,90;233,00;233,40;222,70;224,50;225,638;3827601;863379362,2;13564;
2017-06-14;233,70;233,90;238,00;239,40;229,70;233,90;234,633;4217853;989646285,9;13252;
2017-06-13;238,30;238,50;240,70;242,00;236,90;238,20;238,622;2240176;534555143,3;7076;
2017-06-12;240,80;241,00;243,00;243,90;240,70;240,70;241,762;1577326;381337741,55;6585;
2017-06-09;244,30;244,50;239,50;244,90;239,30;244,60;243,033;1738729;422569132,6;6904;
2017-06-08;238,90;239,10;234,20;239,50;234,00;239,00;237,499;2110371;501172398;7528;
2017-06-07;234,00;234,20;236,00;236,00;230,10;233,50;233,818;2702472;631886915,95;9231;
2017-06-05;235,80;236,00;238,10;238,60;235,70;236,10;237,088;1366826;324034448,44;5809;
2017-06-02;238,40;238,50;240,30;242,00;237,20;238,50;238,511;1523128;363319690,4;6444;
2017-06-01;240,00;240,20;237,30;241,40;236,70;240,10;239,951;1458267;349910780,1;5761;
2017-05-31;237,70;237,80;244,70;244,70;237,10;237,90;239,409;2658841;636552451,15;9860;
2017-05-30;245,40;245,60;244,80;246,60;243,90;245,10;245,127;1392393;341324395,2;5328;
2017-05-29;245,90;246,10;244,00;246,50;243,20;245,80;245,248;685406;168094738,8;2742;
2017-05-26;243,90;244,10;240,00;244,70;240,00;243,90;243,472;1360734;331300816,4;5977;
2017-05-24;244,90;245,00;244,00;245,50;243,10;245,50;244,665;1060707;259517638,8;3757;
2017-05-23;246,90;247,10;244,00;249,30;243,00;246,20;246,638;1923042;474294887,5;8359;
2017-05-22;244,00;244,20;244,60;246,00;243,30;244,30;244,508;1823660;449432412,35;6479;
2017-05-19;243,70;243,90;239,50;244,50;239,50;243,00;242,357;1874648;454337629,3;7099;
2017-05-18;239,30;239,50;237,30;239,90;235,10;239,50;237,736;2215733;526741283,5;8860;
2017-05-17;238,80;239,00;240,00;242,60;237,30;238,50;239,332;2171183;519634352,48;9172;
2017-05-16;239,90;240,10;242,80;242,80;236,40;240,60;239,177;3278720;784112228,85;12008;
2017-05-15;242,40;242,60;242,50;244,50;241,00;242,20;242,676;1740681;422409517;6216;
2017-05-12;241,60;241,80;243,90;244,00;239,50;242,20;241,167;2112208;509394568,95;8027;
2017-05-11;243,30;243,50;244,00;246,40;241,20;243,60;243,785;2560830;624300589,5;10087;
2017-05-10;241,70;241,90;238,50;242,90;237,40;242,10;241,078;1935319;466577269,8;7957;
2017-05-09;238,70;238,80;239,10;241,80;237,70;238,90;239,589;2447318;586358266,05;9047;
2017-05-08;238,90;239,00;242,70;242,90;236,60;239,00;238,752;1961142;468248864,25;7777;
2017-05-05;242,30;242,50;236,00;243,20;235,50;242,80;239,985;1935656;464529061,7;8127;
2017-05-04;238,60;238,90;244,10;244,20;236,70;237,80;239,593;2925143;700854671,6;10469;
2017-05-03;244,10;244,20;249,20;249,20;242,80;244,00;244,918;2456765;601694022,1;9937;
2017-05-02;250,90;251,10;254,00;256,50;249,60;250,60;251,17;1735634;435952093,4;7702;
2017-04-28;253,30;253,50;249,60;254,40;249,60;253,20;253,102;2105585;532917286,85;8152;
2017-04-27;249,50;249,60;253,00;256,10;249,20;249,20;251,612;2538153;638704789,15;10186;
2017-04-26;254,20;254,40;255,00;255,20;250,30;254,20;252,539;3401036;854834197,21;13978;
2017-04-25;260,10;260,30;262,10;268,00;253,80;260,00;260,19;5574717;1449698452,65;22686;
2017-04-24;278,00;278,10;276,40;278,60;272,60;278,40;276,588;1657564;456392137,5;6813;
2017-04-21;270,00;270,10;274,00;278,20;269,60;271,00;273,455;1903330;520476488,55;7332;
2017-04-20;271,00;271,10;270,70;272,70;268,30;271,00;270,187;1486354;401592749,2;6172;
2017-04-19;270,60;270,90;269,10;273,30;266,30;270,60;270,212;1772519;478849960,9;7510;
2017-04-18;267,90;268,10;276,00;276,00;267,90;268,90;270,765;1981835;536613767,15;8727;
2017-04-13;276,90;277,00;277,30;277,50;273,60;277,40;275,977;758271;209277385,8;3363;
