sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;281,80;282,00;280,00;283,00;278,70;281,90;281,697;593624;167221809,9;2850;
2017-08-02;280,80;281,00;281,90;283,90;280,50;280,60;281,719;726763;204750788,35;3364;
2017-08-01;281,40;281,60;275,90;282,80;275,50;281,90;280,44;865832;242813745,8;3906;
2017-07-31;275,50;275,70;275,70;278,10;275,00;276,20;276,516;811887;224504762,95;2889;
2017-07-28;276,20;276,40;278,70;278,80;274,90;276,20;276,185;713385;197025800,2;3629;
2017-07-27;278,00;278,10;282,30;284,30;277,60;278,00;279,896;1030458;288422864,95;5050;
2017-07-26;283,10;283,30;282,70;285,20;282,10;282,90;283,378;788250;223372322,4;3906;
2017-07-25;283,30;283,50;286,90;287,30;282,00;283,80;284,26;762838;216617018,95;3667;
2017-07-24;286,00;286,20;285,00;288,90;284,90;285,70;286,589;1149978;329439502;5707;
2017-07-21;284,80;284,90;287,00;290,10;283,00;285,00;285,542;1576698;450181961,1;7094;
2017-07-20;286,80;287,20;291,50;296,00;286,80;287,80;291,579;2354336;686491920,85;9938;
2017-07-19;290,70;291,10;296,00;300,00;289,20;290,50;294,165;3244967;954668188,4;15081;
2017-07-18;282,20;282,30;285,30;285,30;281,00;282,00;282,379;1239776;350091798,75;5567;
2017-07-17;285,10;285,30;282,00;287,40;282,00;285,30;284,856;1015263;289204002,4;4104;
2017-07-14;281,30;281,40;281,70;283,60;280,20;282,00;281,612;780674;219828852,7;3744;
2017-07-13;280,90;281,10;283,60;283,60;280,60;280,60;281,482;853522;240250834;3704;
2017-07-12;283,00;283,20;280,70;283,30;279,20;283,00;282,071;653884;184437118,3;3176;
2017-07-11;279,10;279,30;282,30;282,50;278,50;279,00;279,678;802708;224499642,1;3468;
2017-07-10;282,70;283,00;286,20;286,40;281,60;282,30;282,849;659292;186479937,4;2901;
2017-07-07;284,00;284,10;277,50;284,70;277,10;283,80;282,353;1012139;285758894,15;4752;
2017-07-06;277,20;277,40;281,00;282,80;274,50;277,80;277,257;1038259;287864563,8;4456;
2017-07-05;282,00;282,10;276,00;282,60;276,00;281,70;280,437;1035057;290267398,3;4110;
2017-07-04;276,00;276,20;277,90;277,90;275,20;276,00;276,173;654682;180805680,8;2583;
2017-07-03;278,20;278,40;275,20;278,80;275,00;278,20;277,218;771604;213902326,45;3989;
2017-06-30;275,70;275,90;275,20;278,20;274,60;276,10;276,48;1716890;474676746,4;7036;
