sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;51,15;51,20;51,70;52,20;51,15;51,15;51,502;9196104;473613818,2;5964;
2017-08-02;51,40;51,45;52,10;52,15;51,35;51,50;51,687;7532097;389307653,95;5618;
2017-08-01;51,90;51,95;52,85;52,85;51,75;51,95;52,155;8994091;469090415,2;6250;
2017-07-31;52,55;52,60;51,70;52,85;51,60;52,45;52,283;12733248;665736213,2;6526;
2017-07-28;51,65;51,70;51,50;51,75;50,80;51,65;51,426;13525956;695594957,39;8362;
2017-07-27;51,75;51,80;52,10;52,55;51,60;51,85;51,955;12441962;646563119,65;7337;
2017-07-26;52,10;52,15;52,50;52,65;52,00;52,15;52,285;10699746;559436073,9;6320;
2017-07-25;52,55;52,60;52,45;52,90;52,40;52,60;52,613;12025415;640715544,37;6734;
2017-07-24;52,50;52,55;52,20;53,10;52,10;52,50;52,642;14841483;786161050,61;9206;
2017-07-21;52,35;52,40;52,25;52,60;51,85;52,40;52,277;16417916;858272047,25;11139;
2017-07-20;52,45;52,50;51,40;52,85;51,40;52,50;52,33;22970269;1202022318,16;14877;
2017-07-19;51,80;51,85;51,00;51,85;50,05;51,70;51,148;32694897;1672237788,85;22231;
2017-07-18;51,40;51,50;56,00;57,00;51,20;51,45;53,478;67715276;3623058956,51;42849;
2017-07-17;60,75;60,80;62,25;62,25;60,75;60,95;61,287;14942466;915797659,88;8724;
2017-07-14;62,20;62,25;62,20;62,65;61,90;62,30;62,309;7947178;495180283,43;5310;
2017-07-13;62,15;62,20;63,00;63,05;61,40;62,10;62,04;11892049;737713572,16;7745;
2017-07-12;62,95;63,05;62,05;63,35;62,05;62,95;62,806;8875322;557415836,11;5919;
2017-07-11;62,10;62,15;61,70;62,45;61,70;61,95;62,128;8692563;540046955,32;5632;
2017-07-10;61,50;61,60;61,20;61,65;61,20;61,55;61,505;5777907;355367882,05;3922;
2017-07-07;60,90;61,00;60,65;61,10;60,45;61,05;60,884;6171997;375776649,86;4722;
2017-07-06;60,55;60,60;61,50;61,65;60,15;60,65;60,707;13028424;790914813,81;8834;
2017-07-05;62,00;62,10;60,80;62,30;60,35;62,00;61,668;10879359;670907586,38;7511;
2017-07-04;60,95;61,00;61,00;61,10;60,50;60,85;60,878;5357153;326132388,7;3858;
2017-07-03;61,05;61,10;60,20;61,40;60,10;61,05;61,041;8763622;534941553,38;5922;
2017-06-30;60,25;60,30;60,95;61,70;60,20;60,25;60,727;12801383;777390035,25;7262;
2017-06-29;61,10;61,15;62,65;62,75;61,05;61,10;61,746;11055424;682627538,45;7985;
2017-06-28;62,30;62,35;62,25;62,45;61,25;62,30;61,987;11682336;724152598,49;7773;
2017-06-27;62,50;62,60;63,45;63,50;62,45;62,50;62,839;10200619;641047191,15;6545;
2017-06-26;63,50;63,55;63,45;64,00;63,25;63,60;63,674;10670827;679455507,3;7582;
2017-06-22;63,70;63,75;62,85;64,00;62,60;63,85;63,645;13421565;854215433,35;9100;
2017-06-21;62,70;62,75;62,05;62,80;61,55;62,80;62,312;11171086;696094464,68;7233;
2017-06-20;62,10;62,15;61,85;62,25;61,55;62,10;62,039;9995837;620135265,85;6117;
2017-06-19;61,70;61,75;61,20;62,05;61,10;61,80;61,678;13428111;818386854,97;7266;
2017-06-16;60,85;60,90;61,10;61,65;60,70;60,70;61,023;20528154;1252688064,8;8767;
2017-06-15;60,95;61,05;62,25;62,30;60,85;61,00;61,102;16686980;1019595356,16;10921;
2017-06-14;62,15;62,25;63,25;63,30;62,05;62,20;62,595;15189035;950765011,63;9838;
2017-06-13;62,95;63,00;63,05;63,65;62,75;63,05;63,256;9254675;585412608,98;6099;
2017-06-12;63,05;63,10;62,30;63,20;62,30;63,10;62,726;11171442;700762474,19;7790;
2017-06-09;63,40;63,50;63,60;63,95;63,35;63,40;63,537;10472920;665412796,1;7363;
2017-06-08;63,60;63,70;63,60;64,10;63,45;63,70;63,733;11652144;742630636,64;9294;
2017-06-07;63,00;63,05;63,15;64,15;62,55;62,95;63,231;14105011;891876201,4;9263;
2017-06-05;63,45;63,50;64,05;64,20;63,25;63,60;63,546;6623261;420860464,08;4794;
2017-06-02;64,05;64,10;64,30;64,95;64,05;64,05;64,481;12140668;782799526,05;9230;
2017-06-01;63,90;63,95;63,60;64,30;63,25;64,05;63,943;13049608;834431520,67;9942;
2017-05-31;63,65;63,70;63,20;64,30;62,35;63,40;63,557;34945124;2220975566,92;22523;
2017-05-30;60,55;60,60;60,45;61,10;60,15;60,65;60,713;7273273;441580157,23;5411;
2017-05-29;60,50;60,55;61,20;61,30;60,35;60,60;60,672;5198957;315429473,5;3968;
2017-05-26;61,30;61,40;61,70;61,90;59,80;61,25;60,823;21009280;1277857158,72;15035;
2017-05-24;62,10;62,15;61,50;63,35;60,90;62,10;62,034;12090042;749998469,13;8322;
2017-05-23;61,20;61,25;58,70;61,30;58,45;61,20;60,518;22319659;1350739196,68;13851;
2017-05-22;58,45;58,50;58,00;58,65;57,85;58,50;58,329;7614814;442954023,56;5366;
2017-05-19;58,10;58,15;57,55;58,45;57,50;58,00;58,047;10195409;591814791,35;6230;
2017-05-18;57,80;57,85;58,00;58,80;57,15;57,75;57,831;13442897;777416915,24;9926;
2017-05-17;58,40;58,50;59,10;59,70;58,40;58,50;58,955;8598946;506981942,75;5311;
2017-05-16;59,30;59,40;59,30;59,80;59,15;59,35;59,438;9882094;587371925,36;7176;
2017-05-15;59,10;59,20;57,90;59,40;57,80;59,20;58,768;12457216;732066260,84;8596;
2017-05-12;57,80;57,85;57,55;58,15;57,35;57,95;57,766;8256293;476931176,05;6400;
2017-05-11;57,45;57,55;58,30;58,35;57,35;57,55;57,76;9582156;553441502,79;6531;
2017-05-10;58,25;58,35;58,90;59,15;58,20;58,35;58,582;7546391;442080924,28;5016;
2017-05-09;59,00;59,05;58,60;59,25;58,60;59,05;58,973;9206410;542932367,6;5989;
2017-05-08;58,55;58,60;58,50;58,95;58,25;58,70;58,576;7016984;411022354,53;5465;
2017-05-05;58,35;58,45;58,80;59,35;58,30;58,45;58,666;8194369;480733317,52;5949;
2017-05-04;58,75;58,85;58,10;58,85;57,95;58,75;58,461;7639788;446627006,62;4680;
2017-05-03;57,85;57,90;58,80;58,85;57,20;57,95;57,789;12852956;742741152,1;7983;
2017-05-02;58,70;58,75;57,20;58,95;57,10;58,85;58,484;16434508;960982491,23;8302;
2017-04-28;57,10;57,15;56,95;57,45;56,85;57,10;57,161;9852874;563196327,15;5642;
2017-04-27;56,75;56,80;56,20;57,05;56,15;56,80;56,691;14308116;811139843,45;8991;
2017-04-26;56,05;56,15;55,45;56,15;54,95;56,15;55,64;15820335;880192182,18;10230;
