sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;141,10;141,30;140,80;142,10;140,00;141,10;141,146;1144270;161509120,85;4699;
2017-08-02;140,40;140,60;141,40;141,50;140,20;140,80;140,839;759740;107000397,45;2794;
2017-08-01;141,20;141,30;140,20;141,40;140,10;141,30;140,981;709640;100045340,5;3028;
2017-07-31;140,10;140,30;140,40;141,50;138,90;140,20;140,344;1575297;221083787,45;5299;
2017-07-28;140,30;140,40;142,00;142,00;139,70;140,00;140,372;1076710;151139724,9;4961;
2017-07-27;142,20;142,30;143,10;144,20;142,00;142,00;142,761;989114;141206428,75;3779;
2017-07-26;143,50;143,70;142,50;143,90;141,20;143,80;142,649;1229789;175427673,2;4775;
2017-07-25;142,20;142,40;143,30;144,00;142,20;142,50;143,068;1463053;225878424,8;3884;
2017-07-24;143,20;143,40;144,60;145,00;142,60;143,40;143,445;1005490;144537181,8;3980;
2017-07-21;144,50;144,70;145,90;146,60;143,60;144,60;144,967;1100554;159543629,9;4897;
2017-07-20;145,90;146,10;147,50;148,20;145,70;145,90;146,638;1339313;196392005,1;6042;
2017-07-19;147,50;147,60;148,20;148,90;145,80;147,50;147,356;1643508;242159104,8;6568;
2017-07-18;147,50;147,60;151,50;152,50;147,20;147,70;148,381;2392107;354944871,2;9688;
2017-07-17;151,50;151,70;157,80;163,00;150,00;151,50;154,164;4740772;730798329,55;17715;
2017-07-14;166,70;166,90;166,90;167,20;164,50;166,50;166,116;1038532;172517217,2;4034;
2017-07-13;165,90;166,00;167,00;167,00;165,30;166,20;166,036;617252;102485889,05;2814;
2017-07-12;166,20;166,40;164,00;166,50;163,80;166,50;165,458;660728;109322801,4;3129;
2017-07-11;163,40;163,50;164,90;166,00;161,60;163,60;163,038;821936;134005767,9;3442;
2017-07-10;164,70;164,90;165,00;165,80;164,10;164,80;164,841;728132;120025725,9;3549;
2017-07-07;163,90;164,10;163,80;164,20;162,10;164,10;163,534;646307;105693122,7;2942;
2017-07-06;162,90;163,00;165,00;165,40;162,30;162,90;163,227;829764;135440010;3593;
2017-07-05;164,70;164,90;163,60;165,40;162,40;165,00;164,47;640172;105288064,95;2858;
2017-07-04;163,90;164,00;164,00;164,10;162,70;163,60;163,427;954327;155962737,6;3586;
2017-07-03;164,80;165,00;165,00;166,40;164,20;164,90;165,076;694089;114577063,7;3277;
2017-06-30;165,00;165,20;164,40;166,40;164,20;164,90;165,314;885323;146356059,3;3605;
