sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;222,50;222,60;224,90;227,70;222,40;222,50;224,755;5495442;1235107156,8;15678;
2017-08-02;224,10;224,20;219,30;225,70;218,40;224,80;223,039;7524446;1678229378,75;17979;
2017-08-01;217,20;217,30;210,80;217,90;209,70;217,10;214,955;5416467;1164148479,5;13616;
2017-07-31;210,60;210,70;213,30;213,30;210,20;210,50;211,106;2913556;615068301,7;8072;
2017-07-28;213,20;213,40;214,50;214,90;212,00;213,30;213,171;2433199;518687136,2;7377;
2017-07-27;214,40;214,60;214,00;215,50;212,70;214,50;214,486;2249665;482522149,25;6279;
2017-07-26;213,60;213,80;211,20;214,10;211,10;213,90;213,322;2680685;571848859,5;7137;
2017-07-25;211,60;211,80;214,00;215,10;211,00;211,60;212,275;3629458;770632562,2;9556;
2017-07-24;213,60;213,70;219,10;219,90;212,80;213,30;214,826;4596976;987200121,4;11037;
2017-07-21;218,90;219,10;219,00;221,30;218,10;218,90;219,531;4318536;948105418;10022;
2017-07-20;220,10;220,20;219,00;221,80;219,00;219,90;220,289;3779930;832679400,45;9849;
2017-07-19;218,70;218,80;218,30;219,70;215,70;218,50;217,437;4127986;897565428,85;10350;
2017-07-18;217,50;217,70;217,00;220,20;217,00;217,30;218,58;6770097;1479832743,7;15118;
2017-07-17;217,70;217,80;212,40;218,70;212,00;217,80;216,182;6580203;1422505858,05;15995;
2017-07-14;211,00;211,20;211,30;212,80;209,80;211,20;211,152;2872844;606499197,1;7027;
2017-07-13;211,20;211,40;208,00;211,70;208,00;211,20;210,472;3621695;762264729,2;8562;
2017-07-12;207,80;207,90;207,90;208,70;206,40;207,90;207,414;2896420;600769224,9;8676;
2017-07-11;207,50;207,60;208,30;209,50;207,10;207,70;208,167;3068639;638789856,5;8494;
2017-07-10;208,90;209,00;214,00;214,30;207,90;208,50;209,952;4150939;871489486,3;10743;
2017-07-07;212,90;213,00;213,70;214,30;211,90;212,90;213,12;2580636;549973924,65;6951;
2017-07-06;213,20;213,30;212,90;215,00;212,90;213,60;213,865;3762107;804603065,05;9171;
2017-07-05;213,40;213,60;210,00;214,30;209,60;212,90;212,399;4710882;1000577459,3;9979;
2017-07-04;210,60;210,80;213,70;214,80;209,20;210,10;211,705;7460120;1579335183,1;14610;
2017-07-03;214,30;214,40;211,00;215,60;211,00;214,60;214,229;5914830;1267106169,3;15099;
2017-06-30;209,80;209,90;210,00;215,90;209,70;209,90;212,854;9813241;2088790048,95;22602;
2017-06-29;210,40;210,60;214,80;216,20;200,30;210,20;209,045;21858068;4570578561,45;50224;
2017-06-28;203,90;204,00;200,50;204,60;200,00;204,60;203,076;6690319;1358015820,15;15180;
2017-06-27;200,80;200,90;204,80;204,90;200,70;200,70;202,242;4662401;942879065,75;11353;
2017-06-26;204,30;204,50;204,00;205,80;203,60;204,30;204,519;4525442;925537682,5;12207;
2017-06-22;203,00;203,10;200,60;203,50;200,40;203,50;202,688;4982548;1009664611,85;10654;
2017-06-21;200,80;201,00;202,50;202,50;200,40;201,00;201,128;4530433;911195546,8;11125;
2017-06-20;202,90;203,00;203,10;205,70;202,50;202,50;204,427;5674803;1160186174;12069;
2017-06-19;202,50;202,60;202,00;202,90;200,30;202,70;201,749;5504112;1122638101;13609;
2017-06-16;201,10;201,20;200,50;202,80;200,00;201,40;201,298;7638042;1537542935,15;18130;
2017-06-15;200,60;200,70;207,80;208,90;199,60;200,50;202,855;14815988;3005481950,35;40928;
2017-06-14;212,30;212,50;214,00;214,80;212,20;212,20;213,403;4485779;957300320,75;11793;
2017-06-13;213,30;213,40;208,20;214,60;206,80;213,20;211,301;7117906;1504643329,85;16983;
2017-06-12;207,30;207,40;206,00;209,20;205,90;207,50;207,877;4871459;1012665224,85;13705;
2017-06-09;206,50;206,60;208,50;208,50;206,00;206,60;206,88;5309671;1098460667,6;14080;
2017-06-08;208,00;208,10;209,10;209,50;205,70;208,60;207,552;9180840;1905385832,35;25385;
2017-06-07;210,30;210,40;213,90;214,00;209,10;209,90;210,974;10565897;2229113270,9;30475;
2017-06-05;216,80;217,00;219,00;219,20;216,80;217,00;217,811;2195731;478256767;7897;
2017-06-02;218,20;218,30;218,00;219,50;217,50;218,60;218,502;4483022;979412107,55;10784;
2017-06-01;217,60;217,70;215,60;218,70;214,00;217,60;216,347;4483600;969988011,95;13359;
2017-05-31;216,80;216,90;220,00;220,00;216,50;216,50;217,765;6387974;1391046019,75;16901;
2017-05-30;220,30;220,40;222,00;223,10;220,10;220,10;221,119;5000777;1105779353,8;13614;
2017-05-29;222,40;222,50;223,70;224,00;220,40;222,80;222,139;4243662;942683969,4;11510;
2017-05-26;223,40;223,50;226,20;226,20;223,40;223,70;224,53;3935000;883522819,6;11240;
2017-05-24;226,60;226,70;226,60;226,80;223,70;226,50;225,547;4399195;992223365,35;11357;
2017-05-23;227,80;227,90;227,50;229,60;227,10;227,60;228,205;7431510;1695907833,15;13593;
2017-05-22;227,20;227,40;222,00;228,80;220,90;227,00;226,256;8376964;1896937250,95;20026;
2017-05-19;221,80;221,90;219,10;222,20;218,00;221,70;220,301;5805556;1278937104,15;13916;
2017-05-18;218,20;218,40;218,40;220,00;217,60;218,30;218,70;4936797;1079700425,45;13140;
2017-05-17;218,90;219,10;218,80;219,50;217,40;219,10;218,751;4937280;1080020850,34;12566;
2017-05-16;218,70;218,90;220,00;220,20;217,00;219,20;219,004;5391638;1180796463,9;13224;
2017-05-15;219,00;219,20;218,70;220,30;217,60;219,40;219,256;5558734;1218797015,05;14843;
2017-05-12;218,60;218,70;214,00;218,70;213,50;218,60;217,295;4390836;954038999,95;10448;
2017-05-11;213,30;213,40;213,40;214,20;211,80;213,40;213,425;5605943;1196556686,1;13635;
2017-05-10;217,30;217,40;215,40;218,20;213,90;216,70;216,562;8767042;1898592811,5;20551;
2017-05-09;218,90;219,00;220,30;220,30;217,70;219,00;218,746;3963656;867036277,45;10657;
2017-05-08;219,40;219,50;218,00;220,20;217,30;219,20;218,862;5001514;1094653874;12540;
2017-05-05;215,30;215,50;213,50;217,10;213,30;215,70;215,285;5554526;1195737029,35;15371;
2017-05-04;213,20;213,40;218,50;218,80;212,80;213,20;215,229;6119189;1317004687;15778;
2017-05-03;217,50;217,70;217,20;218,90;216,80;218,10;217,867;3133970;682788139,8;9215;
2017-05-02;216,70;216,80;219,40;219,50;216,30;217,20;217,347;4413797;959330697,35;13066;
2017-04-28;219,50;219,60;218,70;221,00;218,20;219,40;219,60;3605483;791763263,9;9910;
2017-04-27;218,70;218,90;220,00;220,60;217,50;219,10;218,766;4027936;881173614,95;11872;
2017-04-26;219,50;219,60;220,70;220,90;219,10;220,00;219,927;3232264;710861677,05;10218;
2017-04-25;220,20;220,30;222,30;222,40;220,10;220,70;220,735;3343979;738140623,85;10509;
2017-04-24;220,90;221,00;220,00;221,70;219,20;221,20;220,74;5239060;1165431943,25;12380;
2017-04-21;217,30;217,40;216,30;218,20;215,40;217,10;217,076;3745134;812977303;12050;
2017-04-20;216,20;216,30;217,40;217,50;216,10;216,40;216,767;2908551;630477975,5;8463;
2017-04-19;217,40;217,50;216,40;219,40;216,30;217,50;217,887;4071819;887195485,8;12158;
2017-04-18;218,00;218,10;218,80;219,50;215,40;218,50;217,342;5916128;1285654424,05;17611;
2017-04-13;218,20;218,30;219,50;219,90;217,90;218,70;218,829;1923094;420843835,05;5371;
2017-04-12;219,30;219,40;219,00;221,20;218,60;219,70;219,705;3558473;781813242,25;10424;
2017-04-11;218,80;218,90;219,00;219,20;218,00;218,90;218,588;2694182;588916355,45;8354;
2017-04-10;219,20;219,30;218,90;219,50;217,50;219,50;218,763;3719579;813994443,75;10962;
2017-04-07;218,90;219,00;218,70;219,10;216,90;218,30;217,937;6260551;1364491110,4;15700;
2017-04-06;219,00;219,10;219,00;219,80;217,80;219,10;218,923;4835554;1058612502,95;13789;
2017-04-05;219,50;219,60;223,70;223,90;218,60;219,30;220,756;7439085;1642333434,45;20158;
2017-04-04;223,80;223,90;223,10;224,80;221,40;223,70;223,091;4707793;1050277526,15;12444;
2017-04-03;223,50;223,60;228,20;228,80;223,50;223,50;225,212;6298623;1418542037;14169;
2017-03-31;229,00;229,20;223,80;230,10;222,50;229,00;226,805;7375349;1672752799,45;20157;
2017-03-30;227,30;227,50;244,00;245,80;221,50;227,70;228,952;18800523;4304685160,35;53645;
2017-03-29;236,70;236,80;235,40;237,80;235,20;237,20;236,688;4764024;1127599982,55;12770;
2017-03-28;235,30;235,40;235,00;235,60;233,50;235,40;234,739;3088007;724866780,05;8808;
2017-03-27;234,40;234,60;232,60;234,80;230,70;234,80;233,23;3806974;887894828,9;11802;
2017-03-24;232,60;232,80;232,80;233,00;229,60;233,00;231,843;3342005;774829527,3;10205;
2017-03-23;232,90;233,00;227,00;233,50;226,40;232,90;231,245;5445358;1256442152,15;13261;
2017-03-22;227,40;227,50;227,90;229,10;226,20;227,30;227,611;3302763;751831863,95;9922;
2017-03-21;228,60;228,70;228,50;230,60;227,70;228,80;228,986;4173868;955728451,35;12135;
2017-03-20;228,30;228,50;228,00;230,10;227,20;228,50;228,945;4490800;1035627881,8;12687;
2017-03-17;230,30;230,40;228,40;230,80;228,10;230,40;229,681;6296958;1446167770,55;17134;
