sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;386,50;386,80;388,90;389,50;386,00;386,70;387,291;782140;302915919,8;4944;
2017-08-02;388,00;388,20;390,70;392,70;387,20;388,80;389,18;743670;289422067,3;5260;
2017-08-01;389,40;389,60;384,10;391,20;383,90;389,60;388,61;1242330;482780096,45;6862;
2017-07-31;382,60;382,90;383,80;387,60;382,60;383,00;384,553;875179;336553016,8;5321;
2017-07-28;384,90;385,00;389,40;390,10;382,10;384,40;384,467;1487075;571728146,45;10557;
2017-07-27;390,00;390,10;392,30;393,50;389,20;389,20;390,934;1153029;450758931,2;7685;
2017-07-26;393,70;394,00;391,90;394,30;391,10;394,20;392,649;870082;341636485,7;6281;
2017-07-25;393,30;393,50;391,00;394,90;391,00;393,50;393,544;731450;288430265,8;5141;
2017-07-24;392,40;392,60;395,40;397,20;391,50;391,90;392,986;1472394;578838787;9444;
2017-07-21;394,80;395,00;398,00;399,70;393,40;395,40;396,396;1042961;413436543;7268;
2017-07-20;398,60;398,80;402,90;405,90;397,20;399,10;401,565;1106453;444313938,35;7902;
2017-07-19;401,70;402,00;400,00;406,00;394,60;402,50;399,606;1126731;450250213,7;8261;
2017-07-18;399,10;399,30;408,10;408,90;395,20;399,50;401,014;1616118;648074020,25;10606;
2017-07-17;409,30;409,50;411,00;411,90;405,80;410,10;408,827;978640;400094053,85;6530;
2017-07-14;409,70;410,00;411,30;411,80;408,50;410,60;410,106;665389;272879725,3;4760;
2017-07-13;410,10;410,30;413,70;414,00;410,00;410,70;411,887;542694;223528562,4;3795;
2017-07-12;412,00;412,30;407,90;412,60;407,30;412,60;410,281;756626;310429088,7;4883;
2017-07-11;407,10;407,30;406,40;409,00;405,10;407,40;407,155;842282;342939311,8;5455;
2017-07-10;406,30;406,60;407,30;408,50;405,90;406,40;406,982;916826;373131247,1;5400;
2017-07-07;405,50;405,70;407,60;407,90;404,40;406,10;405,798;653320;265116095,4;4525;
2017-07-06;406,10;406,20;410,20;411,20;402,30;406,80;406,174;999902;406129487,85;6899;
2017-07-05;409,90;410,10;408,30;410,90;405,30;410,60;409,176;629216;257459791,1;4357;
2017-07-04;409,20;409,40;410,00;410,60;407,70;408,90;409,162;711711;291204942,3;4973;
2017-07-03;411,20;411,40;407,00;411,90;407,00;411,30;409,806;830093;340176093,8;5663;
2017-06-30;406,30;406,60;406,20;409,90;404,10;406,00;407,055;1244113;506422463,3;6532;
2017-06-29;405,60;405,70;417,50;419,20;405,50;406,00;410,546;1123018;461050684,85;7184;
2017-06-28;416,40;416,70;417,70;417,70;413,10;417,20;415,916;976167;406003568,45;5914;
2017-06-27;417,80;418,10;420,60;421,30;416,50;417,70;418,853;933299;390915168,35;6197;
2017-06-26;420,60;420,90;419,40;425,60;419,40;420,60;422,885;1152460;487363030,55;8502;
2017-06-22;419,80;420,00;418,80;423,80;417,50;420,00;420,718;924810;389084216,55;6341;
2017-06-21;418,40;418,70;420,70;421,00;417,10;418,80;418,655;899153;376432601,2;5365;
2017-06-20;422,10;422,30;419,30;425,10;418,90;421,40;422,479;1388554;586634101,8;8306;
2017-06-19;419,10;419,30;413,40;420,00;413,40;419,30;418,241;951931;397540060,6;5696;
2017-06-16;411,60;411,90;407,20;412,40;407,20;412,40;410,819;1472224;604776522,37;6333;
2017-06-15;405,70;405,90;409,50;409,70;404,40;406,10;406,352;1092821;444066823,2;6713;
2017-06-14;410,00;410,20;409,90;413,90;409,70;410,00;411,402;1232475;507102835,85;7002;
2017-06-13;408,20;408,40;405,00;409,80;405,00;408,60;408,062;1009869;412090037,5;5235;
2017-06-12;404,60;404,80;408,70;408,70;403,60;404,70;405,70;832210;337627377,2;6329;
2017-06-09;408,80;409,00;403,80;409,40;403,40;408,70;407,061;900636;366612744,2;5924;
2017-06-08;403,10;403,30;402,80;406,30;402,30;403,10;404,73;832992;337141122,6;6037;
2017-06-07;402,90;403,10;405,50;405,70;402,40;402,60;403,735;1021086;412248255,2;6640;
2017-06-05;404,30;404,50;405,70;406,70;403,50;404,20;404,578;456079;184519397,95;3573;
2017-06-02;405,50;405,70;405,00;407,00;404,60;405,70;405,995;959775;389609968,7;4961;
2017-06-01;403,30;403,50;401,00;406,00;400,40;402,60;403,879;1065894;430534356,4;6132;
2017-05-31;401,50;401,70;399,50;404,80;398,20;401,80;401,889;1961154;788159343,7;9431;
2017-05-30;398,70;398,90;397,30;399,20;396,00;399,10;397,852;1366875;543821505,25;6842;
2017-05-29;398,00;398,30;397,80;398,70;397,10;398,00;398,119;810462;322686188,65;3497;
2017-05-26;397,70;397,90;399,70;400,60;393,70;397,90;397,043;944451;374977533,15;7028;
2017-05-24;398,80;398,90;399,00;399,80;397,40;399,00;398,913;394775;157481004,45;2578;
2017-05-23;398,30;398,50;396,10;399,00;396,00;399,00;397,674;983519;391116031,05;5648;
2017-05-22;396,10;396,20;399,80;401,30;395,30;396,20;397,548;950116;377743867,3;6630;
2017-05-19;398,00;398,20;399,00;401,00;397,30;398,20;398,412;1386471;552384302,05;7682;
2017-05-18;398,80;399,00;400,00;404,30;394,60;398,20;397,937;2104615;837514349,8;12786;
2017-05-17;402,60;402,90;410,20;410,60;402,50;403,50;406,246;1245645;506055191,23;7906;
2017-05-16;411,50;411,60;414,00;415,70;410,80;411,70;413,141;1047950;432949709,6;6864;
2017-05-15;412,80;413,00;412,00;414,50;410,80;413,90;413,055;974940;402688653;5824;
2017-05-12;409,60;409,90;410,40;412,50;407,20;410,60;409,747;1251317;512707677,8;6758;
2017-05-11;410,10;410,30;409,50;412,40;408,10;410,40;410,609;1246161;511686108,65;8270;
2017-05-10;408,70;408,90;413,00;413,00;407,70;409,50;409,186;1136348;464975371,5;7415;
2017-05-09;413,80;414,00;407,40;414,00;406,70;413,80;411,506;1313294;540053237,6;7575;
2017-05-08;406,90;407,10;407,00;407,80;402,80;407,60;405,576;1015314;411786551,6;6007;
2017-05-05;406,10;406,30;402,90;407,00;400,50;406,70;404,109;890657;359921165;5655;
2017-05-04;401,90;402,00;399,50;402,40;396,30;402,40;399,802;1398243;555370351,45;7803;
2017-05-03;408,70;408,90;409,50;409,50;406,00;409,00;407,775;1428418;582456073,75;8722;
2017-05-02;409,30;409,40;408,00;410,60;406,20;410,20;409,56;1625449;665718082,55;8919;
2017-04-28;404,80;404,90;404,40;405,20;403,40;404,90;404,595;923340;373578349,95;6014;
2017-04-27;403,80;404,00;404,80;405,00;401,80;404,00;403,794;1138999;459921058,9;6686;
2017-04-26;405,50;405,60;405,10;406,40;403,40;406,40;405,466;1415840;573967014,6;6754;
2017-04-25;404,70;404,90;399,30;405,60;397,70;405,10;402,831;2120496;854198781,75;13036;
2017-04-24;399,00;399,10;392,00;399,60;391,80;399,60;396,846;1830462;722449733,95;8522;
2017-04-21;388,00;388,20;387,60;388,90;386,20;388,00;387,813;1026029;397891083,95;5878;
2017-04-20;386,40;386,50;384,70;389,10;383,10;387,40;386,838;832330;321969769,3;4737;
2017-04-19;385,20;385,40;385,30;385,70;382,70;384,90;384,797;839768;323140619,7;5422;
2017-04-18;385,70;385,80;388,10;388,10;384,10;385,30;385,514;1389274;535594064,05;6529;
2017-04-13;384,20;384,40;385,50;385,60;382,70;384,30;384,332;386270;148479144,5;2549;
