sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;250,70;250,90;252,80;254,10;250,40;250,80;251,615;606983;152729514,05;3824;
2017-08-02;252,30;252,40;253,00;253,80;251,40;252,70;252,585;565437;142820671,5;3556;
2017-08-01;252,80;253,00;248,50;253,60;248,40;252,70;251,761;803424;202271409,1;5387;
2017-07-31;247,70;247,90;246,50;249,00;246,40;248,00;247,958;795479;197245054,3;4366;
2017-07-28;246,30;246,50;249,80;250,30;245,90;246,20;246,899;605117;149403321,9;4067;
2017-07-27;250,80;251,00;250,40;252,40;250,20;250,40;251,081;526385;132167541,6;3659;
2017-07-26;250,60;250,80;248,30;250,70;248,10;250,70;249,407;572807;142860580,8;3770;
2017-07-25;248,00;248,10;247,90;249,20;247,80;248,30;248,323;566628;140686935,6;3929;
2017-07-24;247,60;247,70;249,30;250,50;247,00;247,50;248,067;712576;176830379,7;4665;
2017-07-21;248,80;249,00;251,00;254,40;247,10;249,10;249,053;868598;216332301,2;5914;
2017-07-20;251,40;251,60;255,00;256,00;250,50;252,00;252,958;1016839;257241287,9;6161;
2017-07-19;255,30;255,50;253,90;256,20;253,50;255,70;254,981;591302;150782822,19;4001;
2017-07-18;253,70;253,90;257,00;257,50;252,90;253,80;254,429;641885;163312180,6;4148;
2017-07-17;257,70;257,80;257,00;258,00;255,40;257,80;257,029;643042;165279206,6;3938;
2017-07-14;256,40;256,50;257,40;257,50;255,50;256,60;256,489;378819;97162703,45;2653;
2017-07-13;256,50;256,60;257,80;258,10;256,40;256,70;256,968;445566;114496359,85;2842;
2017-07-12;257,20;257,30;254,40;257,30;254,00;257,20;256,171;472368;121006916,1;2938;
2017-07-11;252,90;253,10;255,00;256,10;252,80;253,40;253,648;488228;123837789,35;3143;
2017-07-10;254,30;254,40;254,60;255,80;254,10;254,50;254,666;524146;133481953,9;3577;
2017-07-07;252,90;253,10;254,70;255,00;252,60;253,30;253,282;466209;118082217;2947;
2017-07-06;254,20;254,30;256,80;257,90;252,90;254,70;254,566;681866;173579758;4293;
