sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;186,90;187,10;186,60;187,60;185,50;187,00;186,754;1107644;206856722,5;5338;
2017-08-02;185,60;185,80;188,90;189,20;182,70;185,70;185,546;918178;170359751,6;4468;
2017-08-01;184,90;185,10;181,00;187,80;180,70;185,10;185,732;1087242;201935389,7;4696;
2017-07-31;183,40;183,60;182,00;186,60;182,00;183,70;184,382;1165153;214795005,7;4908;
2017-07-28;181,90;182,10;181,30;182,20;179,30;182,00;180,84;769150;139093416,7;3406;
2017-07-27;180,20;180,30;180,00;182,30;179,80;180,20;180,735;695806;125756304,1;2964;
2017-07-26;180,40;180,60;176,50;180,80;176,50;180,50;179,467;1159283;208053378,15;4595;
2017-07-25;175,30;175,40;172,20;175,60;171,90;175,50;174,57;892354;155778058,3;3368;
2017-07-24;171,30;171,50;171,20;173,30;170,60;171,10;171,718;530912;91167973,4;2389;
2017-07-21;172,20;172,40;173,50;175,90;171,50;172,50;173,24;847780;146869634,4;3682;
2017-07-20;174,10;174,20;171,20;176,90;171,20;174,20;174,742;818555;143035661,7;3448;
2017-07-19;171,40;171,60;170,40;171,70;169,10;171,20;170,715;641021;109431746,2;2736;
2017-07-18;169,70;169,90;169,80;172,10;169,00;169,80;170,637;1055296;180152197,3;3575;
2017-07-17;170,00;170,10;169,50;170,80;169,30;170,00;169,985;524945;89232819,35;2636;
2017-07-14;169,60;169,80;166,20;170,50;165,50;169,60;168,891;722813;122075110,95;3031;
2017-07-13;166,20;166,40;166,60;167,10;164,70;166,20;165,753;526089;87200760,1;2258;
2017-07-12;165,00;165,10;160,00;166,70;159,60;165,40;164,692;1010652;166446489,8;4096;
2017-07-11;159,10;159,20;161,30;162,00;156,10;158,80;158,437;764380;121105958,8;2850;
2017-07-10;161,50;161,70;160,20;161,70;159,30;161,30;160,61;675953;108564680,7;2730;
2017-07-07;158,80;159,00;161,50;161,80;158,60;158,80;159,756;668966;106871016,1;2644;
2017-07-06;162,10;162,30;163,30;164,50;161,10;162,30;162,717;895433;145702391,3;4036;
2017-07-05;163,10;163,20;167,70;168,40;162,80;163,30;164,999;846378;139651142,7;3371;
2017-07-04;167,70;167,90;166,20;167,90;166,10;167,50;167,34;517183;86545532,3;2133;
2017-07-03;167,20;167,40;162,80;167,50;162,80;167,10;166,096;980879;162920393,35;3664;
2017-06-30;162,50;162,70;163,10;163,90;161,90;162,10;162,755;1206466;196377254,9;3522;
2017-06-29;164,00;164,20;166,90;167,70;163,10;163,70;165,021;778772;128513841,4;3395;
2017-06-28;166,30;166,50;165,70;167,60;163,40;166,50;165,977;835586;138688055,5;3620;
2017-06-27;167,00;167,10;165,90;167,40;165,60;166,80;166,507;745800;124183966,7;2963;
2017-06-26;165,90;166,10;163,70;167,20;163,70;165,90;166,056;1038990;172529802,2;3722;
2017-06-22;164,00;164,10;163,20;164,40;161,20;163,90;163,299;1013410;165488926,6;3850;
2017-06-21;164,00;164,20;163,70;165,70;163,10;164,10;164,324;866054;142313694;3286;
2017-06-20;164,50;164,60;164,00;165,30;162,80;163,90;164,427;977424;160714961,8;3936;
2017-06-19;164,80;164,90;163,80;165,30;163,70;164,30;164,56;670943;110003837,5;2385;
2017-06-16;163,80;163,90;165,10;165,90;163,30;163,30;164,029;1272838;208782847,1;3576;
2017-06-15;164,00;164,10;167,40;167,40;163,80;164,10;164,553;751130;123600888;2511;
2017-06-14;168,00;168,20;169,60;171,70;167,70;167,80;169,258;846875;143340354,4;3270;
2017-06-13;169,20;169,40;167,00;169,60;166,90;169,60;168,725;641308;108204360,2;2574;
2017-06-12;167,20;167,40;166,00;167,80;165,30;167,20;167,034;716280;119643258,2;3095;
2017-06-09;165,10;165,30;164,80;166,30;164,20;165,40;165,119;722352;119272595,7;3161;
2017-06-08;165,20;165,30;166,40;167,00;163,70;165,50;165,477;1057533;174997188,6;3875;
2017-06-07;166,70;166,90;166,30;169,20;164,70;166,70;167,062;1154339;192801758,4;4057;
2017-06-05;165,20;165,40;168,10;168,50;165,20;165,50;166,371;578023;96166692,9;2381;
2017-06-02;167,50;167,70;169,40;170,70;167,40;167,80;168,526;1032481;173999907;3824;
2017-06-01;169,30;169,40;168,40;170,10;167,60;169,40;168,922;736278;124373497,6;3334;
2017-05-31;168,40;168,60;170,70;170,70;167,90;168,80;168,831;1418657;239513431,85;3757;
2017-05-30;170,60;170,70;170,00;171,90;169,60;170,40;170,608;714506;121900152,6;3248;
2017-05-29;170,20;170,40;172,00;172,00;170,10;170,20;170,582;289092;49313931,6;1213;
2017-05-26;171,90;172,00;172,70;173,60;169,30;172,00;172,072;1047399;180229077,15;5057;
2017-05-24;174,60;174,80;176,70;177,50;174,10;174,70;175,306;462319;81047314,65;1451;
2017-05-23;176,80;177,00;176,50;177,30;175,50;176,70;176,534;440544;77769847;1826;
2017-05-22;176,70;176,90;176,80;177,60;175,10;176,50;176,723;835178;147702111,6;3080;
2017-05-19;176,70;176,90;172,80;176,90;172,60;176,80;175,389;843186;147885833,6;3502;
2017-05-18;172,40;172,50;171,30;174,10;169,10;172,30;171,319;1055365;180803059,8;4585;
