sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;102,30;102,40;102,70;103,10;101,90;102,30;102,497;6084425;623635156,4;5683;
2017-08-02;102,80;102,90;103,20;103,50;102,40;103,00;102,767;5443536;559415510,2;4880;
2017-08-01;103,00;103,20;102,20;103,30;102,10;103,20;102,961;4829543;497255037,2;4284;
2017-07-31;101,80;101,90;103,20;103,60;101,80;101,90;102,287;5727746;585874938,7;4809;
2017-07-28;103,30;103,40;104,10;104,30;102,50;103,40;103,363;5190806;536537523,85;5290;
2017-07-27;104,20;104,30;104,00;104,60;103,70;104,10;104,149;6693729;697143663,35;5548;
2017-07-26;104,20;104,30;102,00;104,40;101,90;104,10;103,662;9294469;963486351,75;9392;
2017-07-25;102,50;102,70;102,90;103,60;102,40;102,40;102,844;6731328;692719146,05;6787;
2017-07-24;102,90;103,00;104,00;104,20;102,50;102,70;102,938;6612009;680793832,85;5870;
2017-07-21;103,90;104,00;104,70;105,20;103,40;104,00;104,206;10440527;1087973294,65;8933;
2017-07-20;104,70;104,90;105,00;105,80;104,30;104,90;104,959;19072638;2001856479,5;13749;
2017-07-19;110,30;110,40;112,50;112,60;110,00;110,60;110,767;7877698;872585647,5;7506;
2017-07-18;111,60;111,70;114,20;114,20;111,50;111,60;112,31;7959932;895089523,05;6116;
2017-07-17;114,10;114,20;113,60;114,40;112,70;114,30;113,69;5761090;654978146,7;5036;
2017-07-14;113,00;113,10;112,80;114,10;112,50;113,00;113,186;6772480;766547343,8;7038;
2017-07-13;112,00;112,10;112,70;112,70;111,80;112,20;112,148;3725516;417808775,3;3687;
2017-07-12;112,40;112,50;110,40;112,70;110,10;112,50;111,935;7801243;873224467,7;6762;
2017-07-11;110,00;110,10;109,50;110,50;109,20;109,90;109,822;4310275;473363397,4;3514;
2017-07-10;109,40;109,50;109,20;109,50;108,70;109,40;109,228;3841819;419634126,5;3212;
2017-07-07;108,40;108,50;109,90;109,90;108,30;108,70;108,91;4700532;511933656,95;4278;
2017-07-06;109,60;109,70;110,20;110,30;108,60;109,90;109,562;5223625;572312224,9;4871;
2017-07-05;109,90;110,00;110,20;110,40;109,40;110,20;110,117;4626944;509506347,7;3815;
2017-07-04;110,40;110,50;109,70;110,90;109,50;110,30;110,391;4571028;504601691,15;4208;
2017-07-03;110,00;110,20;107,80;110,30;107,70;110,10;109,162;5430407;592791482,65;4961;
2017-06-30;107,30;107,40;109,20;109,40;107,20;107,20;107,847;6464514;697177573;5001;
2017-06-29;109,40;109,50;110,00;110,50;109,00;109,40;109,745;7383601;810309744,95;6552;
2017-06-28;109,40;109,60;107,70;109,70;106,80;109,70;108,572;8040554;872980593,9;6902;
2017-06-27;107,90;108,00;108,50;108,70;107,40;108,00;108,005;6457198;697406511,6;5466;
2017-06-26;108,30;108,40;108,40;109,20;108,30;108,50;108,715;5459823;593566400,4;5264;
2017-06-22;107,70;107,80;109,30;109,30;107,40;108,10;108,152;6584274;712101005,7;5753;
2017-06-21;109,30;109,40;110,60;110,70;108,60;109,50;109,414;6423646;702838822,65;6008;
2017-06-20;111,00;111,10;112,10;112,10;110,90;110,90;111,408;5848203;651534851,85;4996;
2017-06-19;111,70;111,80;111,70;112,40;111,50;111,70;111,795;8796074;981241819,5;4521;
2017-06-16;110,90;111,00;111,10;111,60;110,30;111,20;111,06;10279662;1141661095,45;5546;
2017-06-15;110,90;111,00;111,00;111,20;110,00;110,90;110,595;6253677;691620166;5248;
2017-06-14;111,20;111,30;111,50;111,80;110,90;111,00;111,289;5356806;596151234,85;4305;
2017-06-13;111,00;111,10;112,00;112,00;110,90;111,20;111,361;4996241;556414163,7;4519;
2017-06-12;111,60;111,70;112,30;112,50;111,10;111,60;111,717;4614735;515545092;4213;
2017-06-09;112,20;112,30;111,20;112,40;111,20;112,30;112,026;5776015;646998702,95;5370;
2017-06-08;111,30;111,40;111,70;112,40;110,90;111,40;111,515;7232616;806571928,85;6236;
2017-06-07;111,60;111,70;111,10;111,90;110,70;111,30;111,401;6958280;775148417,1;5914;
