sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;126,40;126,50;127,00;127,90;126,00;126,60;126,886;3720683;472102009,8;6332;
2017-08-02;127,30;127,50;128,80;129,30;126,80;127,40;127,667;3760656;480067299,3;6481;
2017-08-01;128,80;128,90;127,90;130,00;127,80;128,70;129,174;2889755;373282343,2;4595;
2017-07-31;127,50;127,70;127,80;128,70;127,30;127,30;127,742;3169946;404935964,2;4866;
2017-07-28;127,80;128,00;128,50;128,60;127,20;127,90;127,903;3549101;453940892,6;6442;
2017-07-27;128,70;128,80;130,10;131,60;128,40;128,80;129,437;4557861;590116540,15;6964;
2017-07-26;131,00;131,10;130,60;131,80;130,20;131,10;130,954;3531358;462446849,1;5941;
2017-07-25;130,40;130,50;129,80;131,70;129,60;130,60;130,712;4229471;553768528,3;6892;
2017-07-24;130,00;130,20;130,50;131,10;129,40;129,80;130,266;4145743;540253283,9;7011;
2017-07-21;130,00;130,10;132,70;132,70;129,40;130,50;130,592;6321265;827017068,4;10263;
2017-07-20;132,50;132,60;135,50;136,10;132,30;132,70;133,992;4470175;598965149,25;7550;
2017-07-19;134,70;134,90;133,40;135,40;131,70;134,90;133,737;5498329;735293885,2;9295;
2017-07-18;132,40;132,60;133,10;133,50;130,80;132,60;132,351;8651148;1144878478,7;12202;
2017-07-17;133,40;133,50;139,20;141,00;132,50;133,60;135,713;12709820;1724669985,55;23904;
2017-07-14;138,60;138,70;137,80;139,20;137,30;139,20;138,464;3682163;509831464,55;6264;
2017-07-13;137,50;137,70;139,20;139,60;137,30;137,60;138,479;3218105;445643468,1;5691;
2017-07-12;139,20;139,40;136,00;139,60;135,90;139,60;138,623;5137304;712148722,8;8082;
2017-07-11;135,20;135,30;136,50;138,00;134,70;135,40;135,961;3651209;496419389,25;6439;
2017-07-10;134,90;135,10;133,50;135,30;133,50;135,00;134,475;3249892;437015895,8;5654;
2017-07-07;132,90;133,10;134,80;134,80;132,90;133,10;133,666;3019546;403611222;5031;
2017-07-06;134,60;134,80;134,80;135,30;133,10;134,70;134,009;4600295;616482727,2;7450;
2017-07-05;134,60;134,80;133,50;136,20;133,50;135,00;135,083;3899679;526779302,7;6035;
2017-07-04;133,40;133,50;133,30;133,90;132,60;133,40;133,23;2485801;331183305,7;4005;
2017-07-03;134,00;134,10;133,20;134,50;132,90;134,20;133,743;2928088;391609908,5;5184;
2017-06-30;132,90;133,00;132,70;133,90;132,00;132,50;132,825;5972451;793289927,25;8164;
2017-06-29;132,20;132,40;135,80;137,00;132,20;132,30;134,003;5628363;752895557;8738;
2017-06-28;134,80;135,00;136,50;136,50;134,10;135,30;135,194;4607285;622885248,15;7367;
2017-06-27;136,20;136,40;137,50;138,50;136,00;136,40;137,132;5820577;798726876,2;6501;
2017-06-26;137,60;137,80;138,30;139,60;137,30;137,90;138,594;3703604;513294900,6;6500;
2017-06-22;137,80;138,00;136,00;138,20;135,10;138,20;137,138;4016100;550509867,05;6370;
2017-06-21;136,60;136,70;136,70;137,70;135,30;137,00;136,629;4646082;634703381,4;7598;
2017-06-20;137,10;137,30;139,10;139,30;136,90;136,90;137,759;3497310;481788838,15;5033;
2017-06-19;138,90;139,10;137,30;139,30;137,00;138,90;138,309;3292467;455370748,95;5847;
2017-06-16;136,10;136,30;134,60;136,70;134,50;136,60;136,20;5468890;744890735,55;6601;
2017-06-15;134,10;134,30;136,40;136,40;132,80;134,10;133,986;6519647;873534219;10670;
2017-06-14;136,80;136,90;139,00;139,90;136,20;136,80;138,014;9850554;1366755704,45;7779;
2017-06-13;139,00;139,10;138,40;139,90;138,30;139,10;139,055;3751643;521685083,85;7460;
2017-06-12;138,10;138,30;141,50;141,80;137,70;138,00;138,792;5577787;774151377,15;8758;
2017-06-09;142,30;142,50;139,10;143,10;139,00;142,60;141,635;7912422;1120407100,67;9825;
2017-06-08;138,90;139,00;137,50;139,80;137,10;139,20;138,632;5803500;804141070,15;8566;
2017-06-07;137,20;137,40;137,00;140,10;136,00;137,00;137,275;5106321;700981046,7;7979;
2017-06-05;136,10;136,30;138,10;138,20;135,40;135,90;136,187;3280426;446749493;5498;
2017-06-02;138,10;138,30;136,20;139,30;135,60;138,30;137,884;5115289;705050051,5;8549;
2017-06-01;135,30;135,40;136,30;137,60;134,20;135,40;135,719;4443984;603132924,55;7431;
2017-05-31;136,40;136,50;135,80;137,50;135,10;136,20;136,303;7506597;1023165949,45;7631;
2017-05-30;136,30;136,50;134,50;136,60;134,30;136,50;136,023;3030439;412209718,8;5196;
2017-05-29;135,20;135,40;135,80;135,90;134,80;135,20;135,275;2254549;304983420,15;4314;
2017-05-26;135,80;136,00;135,60;136,30;133,80;135,90;135,269;4262958;576643067,65;7826;
2017-05-24;135,50;135,60;135,30;136,00;133,90;135,50;135,116;2387840;322631564,45;3390;
2017-05-23;135,10;135,20;133,10;135,30;132,50;135,30;134,21;4352640;584167672,1;6477;
2017-05-22;133,40;133,50;135,20;135,80;133,10;133,10;133,754;5192185;695666247,6;6976;
2017-05-19;135,10;135,30;133,50;135,90;133,40;135,00;134,861;5080527;685165690,85;8481;
2017-05-18;133,70;133,80;134,80;134,80;131,80;133,50;133,187;8800925;1172167809,05;13832;
2017-05-17;135,80;136,00;138,80;139,80;135,50;135,80;137,30;7140698;980408792,51;11509;
2017-05-16;139,50;139,60;138,00;140,50;137,10;139,90;139,057;7664732;1065834843,6;13068;
2017-05-15;136,90;137,00;136,30;137,20;134,90;137,00;136,449;5104187;696457081,75;8236;
2017-05-12;135,60;135,70;140,00;140,20;135,70;135,90;136,918;6720718;920172282,4;10228;
2017-05-11;140,00;140,20;141,00;141,40;138,40;140,10;140,022;6946944;973110594,3;10323;
2017-05-10;139,90;140,00;139,00;140,20;138,10;140,20;139,285;4566232;636006307,85;6729;
2017-05-09;139,00;139,20;139,90;141,00;139,00;139,40;139,789;5502078;769128363,45;8521;
2017-05-08;139,10;139,20;141,10;141,20;137,30;139,40;138,577;6388319;885267956,35;10028;
2017-05-05;141,10;141,30;141,00;141,30;139,20;141,10;140,206;7499750;1051396373,4;10568;
2017-05-04;142,10;142,20;142,40;144,30;141,20;142,30;142,725;4646106;663113816,5;7504;
2017-05-03;141,80;142,00;143,70;143,70;141,40;142,10;142,094;3698019;525465349,65;5519;
2017-05-02;143,30;143,40;143,40;143,90;142,10;143,90;143,191;5051058;723263204;7427;
2017-04-28;141,70;141,90;140,10;142,20;140,00;142,20;141,423;6193329;872912119,25;8876;
2017-04-27;142,40;142,50;141,90;143,80;141,40;142,60;142,663;6995776;998026879,2;11226;
2017-04-26;141,50;141,70;141,00;142,10;139,10;142,10;141,019;7190494;1013854072,3;11765;
2017-04-25;140,40;140,60;138,50;141,00;138,10;140,70;139,776;5244819;732977848,05;8564;
2017-04-24;138,30;138,50;134,50;140,50;132,60;138,60;137,527;13319584;1830848765,35;19237;
2017-04-21;132,00;132,10;131,50;132,90;131,50;132,30;132,094;4738159;625883640,1;7129;
2017-04-20;131,10;131,20;131,90;132,80;130,50;131,40;131,316;5485673;720354631,9;7403;
2017-04-19;131,80;131,90;130,30;133,00;130,20;131,90;131,854;5414596;713936075,9;7540;
2017-04-18;130,30;130,50;134,00;134,00;130,30;130,70;131,628;6535596;860523997,95;9488;
2017-04-13;133,60;133,70;134,70;135,20;133,50;133,60;133,912;3430656;459373215,1;3828;
2017-04-12;135,20;135,30;135,20;137,30;134,90;135,30;135,876;5088788;691442225,35;7529;
2017-04-11;134,70;134,80;134,00;135,90;133,30;134,80;134,886;5160977;696280276,1;7506;
2017-04-10;134,10;134,20;133,30;134,60;133,10;134,20;134,018;3399948;455655094,25;5648;
2017-04-07;133,30;133,40;131,40;133,50;129,80;133,50;131,996;4895843;646444251,1;6753;
2017-04-06;131,70;131,90;131,30;133,40;130,50;131,60;131,983;5788498;763981742,4;8096;
2017-04-05;131,70;131,90;131,90;133,10;130,80;131,90;132,095;4094378;540850293,35;5770;
2017-04-04;131,70;131,80;131,90;133,40;131,30;131,90;131,999;6362917;839900281,35;8959;
2017-04-03;131,60;131,70;133,80;134,00;131,60;131,90;132,837;3254193;432276480,2;6033;
2017-03-31;133,70;133,80;132,00;133,90;131,40;133,90;133,131;4613632;614216284,1;5611;
2017-03-30;131,80;132,00;130,60;132,40;130,10;132,40;131,451;5076974;667195814,2;6304;
2017-03-29;130,60;130,80;130,50;131,50;130,10;130,60;130,78;3986440;521344961,55;5962;
2017-03-28;129,90;130,00;128,00;130,10;126,50;130,10;128,621;4946469;636218860,85;6834;
2017-03-27;127,90;128,00;129,00;129,00;127,00;128,00;127,803;4929598;630015923,75;7297;
2017-03-24;129,70;129,80;130,00;130,50;129,30;130,10;129,927;3545118;460523372,7;4883;
2017-03-23;129,90;130,00;129,50;130,60;128,70;130,10;129,849;5054984;656426833,2;6186;
2017-03-22;129,30;129,40;129,50;129,70;127,90;129,50;128,893;6064080;781617300,85;8652;
2017-03-21;129,90;130,00;132,20;133,20;129,70;130,00;131,238;6767691;888160353,2;8953;
2017-03-20;131,30;131,40;131,50;132,50;130,90;131,40;131,472;4201186;536103162,3;5076;
2017-03-17;131,70;131,80;130,30;132,20;129,60;131,90;131,354;6494570;853068211,6;7863;
2017-03-16;129,50;129,60;129,60;131,10;129,20;130,00;130,097;7966727;1036447074,45;11025;
2017-03-15;129,80;129,90;126,70;130,20;126,70;130,10;129,43;5949415;770053067,05;7818;
2017-03-14;126,60;126,70;126,90;127,20;125,70;126,60;126,519;3783410;478766675,65;4814;
2017-03-13;126,90;127,10;125,40;127,40;125,20;127,00;126,80;3454392;437919000;5496;
2017-03-10;125,30;125,40;125,40;126,50;125,00;125,30;125,723;3156953;396516262,8;4650;
2017-03-09;125,00;125,20;126,00;126,20;124,40;125,40;125,345;6201765;778343676;5973;
2017-03-08;126,40;126,50;125,50;126,70;125,40;126,60;126,327;3982039;503036466,4;5876;
2017-03-07;125,70;125,80;124,10;126,50;124,00;125,70;125,404;4092144;513170674,35;5925;
2017-03-06;124,20;124,40;124,90;125,10;123,90;124,20;124,50;3019268;375898270,3;4582;
2017-03-03;125,30;125,40;124,00;125,60;123,40;125,30;124,868;2842532;354941108,4;4301;
2017-03-02;124,30;124,40;125,20;125,80;124,20;124,50;124,878;2608274;325716085,4;4730;
2017-03-01;125,20;125,30;123,30;125,50;123,30;125,30;124,916;3498746;437032317,4;5460;
2017-02-28;122,90;123,00;122,50;123,10;121,80;122,80;122,667;2848395;349388821;3940;
2017-02-27;122,50;122,60;122,30;122,90;121,80;122,30;122,33;3210381;392726883;4547;
2017-02-24;122,00;122,10;122,80;123,30;120,50;122,00;121,797;4024413;490159256,15;6663;
2017-02-23;122,90;123,00;123,10;124,10;122,20;123,00;123,20;3898699;480319530;5281;
2017-02-22;122,70;122,80;123,90;124,30;122,40;122,90;123,198;2932732;361306589,6;4570;
2017-02-21;123,80;123,90;122,00;124,00;121,60;123,90;123,055;3183002;391683271,65;4513;
2017-02-20;121,80;121,90;121,60;122,30;121,40;121,60;121,851;3942951;477571377,35;3094;
2017-02-17;121,50;121,60;122,00;122,50;120,70;121,20;121,387;2928918;355533307,9;4593;
2017-02-16;121,80;121,90;121,80;122,60;121,20;122,00;121,982;2991761;364941484,8;4949;
2017-02-15;121,90;122,00;122,00;122,20;120,70;121,80;121,626;2512940;305638474,3;3673;
2017-02-14;121,60;121,70;121,60;122,40;120,80;121,70;121,784;2284256;278184883;3522;
2017-02-13;121,80;122,00;120,80;122,00;119,70;122,00;121,234;3550006;430381971,6;4990;
2017-02-10;120,50;120,60;119,20;120,80;119,20;120,50;120,304;2747954;330590661,5;3883;
2017-02-09;118,80;118,90;120,00;120,50;117,90;119,00;118,955;3438725;409051624,45;4665;
2017-02-08;119,80;119,90;120,90;121,70;118,90;119,70;120,21;4683993;563038731;5826;
2017-02-07;120,80;120,90;119,50;121,40;119,10;120,90;120,474;3188748;384160284,9;4584;
2017-02-06;119,70;119,80;119,80;120,00;118,40;119,70;119,378;3426829;409111908,35;4423;
2017-02-03;119,60;119,70;120,00;120,00;118,80;119,80;119,624;3215580;384661595,05;4162;
2017-02-02;120,00;120,10;117,40;120,30;117,30;120,10;119,178;6288490;749462356,1;7873;
2017-02-01;117,10;117,20;122,90;124,20;116,50;117,20;119,174;9144204;1089845700,9;12971;
2017-01-31;118,10;118,20;117,20;118,70;116,90;118,00;117,848;5534304;652206679,9;7231;
2017-01-30;117,20;117,30;119,00;119,10;116,60;117,20;117,571;4606788;541616397,9;6327;
2017-01-27;119,00;119,10;122,00;123,80;119,00;119,00;120,684;8294876;1001070120,7;9520;
2017-01-26;122,10;122,20;120,80;122,40;120,40;122,20;121,58;6153817;748188100,85;8371;
2017-01-25;121,00;121,10;118,70;121,30;118,70;121,10;120,46;6306918;759714938,5;8235;
2017-01-24;118,10;118,20;116,50;118,40;116,30;118,20;117,855;3842580;452862422,7;4888;
2017-01-23;116,60;116,70;117,60;118,30;116,10;116,80;117,004;4326119;505688980;5325;
2017-01-20;117,90;118,00;117,20;118,70;116,60;118,10;117,895;3375737;397985508,4;4557;
2017-01-19;117,20;117,30;117,30;118,00;116,30;117,30;117,41;3874565;454913646,55;5318;
2017-01-18;117,20;117,30;116,10;117,60;115,30;117,30;116,659;3988512;465294922,3;5368;
2017-01-17;115,70;115,80;116,70;116,70;115,00;115,80;115,854;4327973;501412647,2;5273;
2017-01-16;116,70;116,80;115,80;117,70;115,50;116,70;116,728;3502709;409000089,32;4380;
2017-01-13;115,70;115,80;115,80;116,60;115,10;115,80;115,921;4596202;532809088,1;5173;
2017-01-12;115,10;115,30;116,90;117,70;115,00;115,20;116,274;7350851;854899276,05;8616;
2017-01-11;116,30;116,40;115,70;116,80;114,70;116,10;115,699;4273183;494396462,65;6409;
2017-01-10;116,00;116,10;114,30;116,20;114,10;116,10;115,594;4279845;494724467,85;5406;
2017-01-09;114,00;114,10;114,00;114,60;113,10;114,00;113,833;4293902;488787599,05;6043;
2017-01-05;113,70;113,80;114,00;114,10;113,10;113,50;113,621;1543994;175431267,7;1973;
2017-01-04;113,50;113,60;115,10;115,30;113,40;113,70;114,024;2820197;321570736,2;4036;
2017-01-03;114,80;114,90;114,40;115,20;113,90;114,90;114,63;2344642;268766739,9;3891;
2017-01-02;114,20;114,30;112,50;114,30;112,20;114,10;113,588;1717539;195092426;2676;
2016-12-30;112,90;113,10;113,10;113,60;112,00;112,70;112,845;2380198;268592463,5;3123;
2016-12-29;113,10;113,20;114,10;114,60;113,00;113,30;113,612;1681925;191087497,9;2556;
2016-12-28;114,50;114,60;115,30;115,30;114,40;114,80;114,822;1641817;188516533,8;2786;
2016-12-27;115,00;115,10;114,00;115,70;114,00;115,30;115,033;1437657;165425183,68;2247;
2016-12-23;113,90;114,00;113,50;115,00;113,50;114,10;114,157;1756108;200472770,3;2655;
2016-12-22;113,10;113,30;114,40;114,60;112,70;113,50;113,517;2130276;241822220,2;2937;
2016-12-21;114,70;114,80;113,20;114,80;113,00;114,60;114,15;3669514;418875311,01;4878;
2016-12-20;113,20;113,30;113,90;114,70;113,10;113,50;113,758;4665706;514720166,3;5031;
2016-12-19;114,00;114,10;116,00;116,00;113,80;114,10;114,74;7382206;821331837,2;4980;
2016-12-16;116,10;116,20;115,20;116,50;115,10;116,20;115,891;6464336;749300262,18;6094;
2016-12-15;115,20;115,40;113,30;115,40;112,50;115,20;113,987;7106770;810184930,85;9074;
2016-12-14;113,10;113,20;113,50;113,50;112,40;113,30;113,052;4937726;558216622,55;5899;
2016-12-13;113,70;113,80;113,70;114,30;112,20;113,70;113,381;4047604;458961799,3;5802;
2016-12-12;114,00;114,20;112,80;114,40;112,60;114,00;113,757;4343243;494083639,9;5405;
2016-12-09;112,50;112,60;112,00;113,20;110,90;112,70;112,151;4445966;498619903,8;5820;
2016-12-08;113,30;113,40;112,20;113,70;111,60;113,60;112,665;5001485;563491100,5;6671;
2016-12-07;110,80;110,90;111,30;112,30;110,50;111,20;111,35;5019442;558901135,8;6962;
2016-12-06;110,70;110,80;110,80;111,60;110,20;110,80;110,895;5670943;628920006,8;5693;
2016-12-05;110,20;110,30;108,90;111,80;108,90;110,10;110,646;4418043;488840229,1;5724;
2016-12-02;109,60;109,70;109,10;109,80;107,50;109,60;108,936;4009117;436737999,55;5640;
2016-12-01;109,40;109,50;109,40;110,40;108,30;109,50;109,592;5250894;575455436,75;6696;
