sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;75,10;75,70;76,70;76,70;74,90;75,15;75,914;17049;1294252,95;176;
2017-08-02;75,80;76,05;76,50;76,90;72,30;76,10;74,983;79930;5993362,5;484;
2017-08-01;76,30;76,50;83,35;84,00;75,25;76,30;76,886;283220;21775568,65;953;
2017-07-31;83,35;83,50;84,00;88,85;83,35;83,35;86,485;96774;8369534,7;703;
2017-07-28;83,25;83,60;81,70;85,45;81,70;83,15;83,916;38209;3206357,7;365;
2017-07-27;82,00;82,15;79,95;83,75;79,50;81,70;82,131;52378;4301869,7;351;
2017-07-26;78,15;78,55;76,80;80,00;76,80;78,25;78,70;33238;2615797,35;256;
2017-07-25;76,80;77,10;75,40;79,15;75,40;76,80;77,628;36860;2861355,6;282;
2017-07-24;75,30;75,40;72,30;76,05;72,30;75,40;74,579;17267;1287751,65;140;
2017-07-21;72,10;72,70;74,05;74,05;71,00;72,30;72,752;27652;2011724,25;167;
2017-07-20;74,60;74,85;74,50;75,30;74,15;74,60;74,734;8051;601680,85;118;
2017-07-19;74,50;74,80;73,90;75,00;73,90;74,50;74,466;18416;1371364,1;162;
2017-07-18;73,55;73,85;74,95;74,95;73,50;73,50;74,368;11132;827864,1;111;
2017-07-17;74,35;74,65;74,20;75,10;74,20;74,60;74,64;8691;648698,8;102;
2017-07-14;73,70;74,10;73,75;74,55;73,45;73,90;73,878;12515;924579,35;106;
2017-07-13;73,35;73,60;73,65;74,00;73,00;73,45;73,56;39898;2934907,4;145;
2017-07-12;73,30;73,45;73,30;74,00;73,30;73,40;73,693;19467;1434576,35;108;
2017-07-11;73,15;73,20;73,10;73,60;72,65;73,30;73,056;32827;2398214,4;162;
2017-07-10;73,00;73,30;73,05;73,55;72,50;73,00;73,038;20167;1472948,85;181;
2017-07-07;72,75;72,90;72,75;73,60;72,40;72,75;72,986;7541;550386,5;75;
2017-07-06;72,75;73,20;74,00;74,00;72,45;72,65;72,899;14763;1076203,25;99;
2017-07-05;73,15;73,45;73,50;73,60;72,90;73,40;73,338;12542;919807,75;110;
2017-07-04;73,05;73,35;74,00;74,00;72,95;73,00;73,465;10293;756177,8;96;
2017-07-03;73,65;73,95;73,00;73,95;72,50;73,70;73,468;16728;1228978,2;137;
2017-06-30;72,05;72,15;71,75;73,00;71,00;73,00;72,159;37632;2715474,85;202;
2017-06-29;71,70;71,85;74,20;74,20;71,75;71,75;72,495;53435;3873825,2;160;
2017-06-28;72,75;72,95;73,80;73,80;71,65;72,80;72,808;19660;1431405,15;152;
2017-06-27;72,70;72,90;73,25;73,25;72,10;72,70;72,782;13849;1007964,15;175;
2017-06-26;73,00;73,10;74,50;74,50;72,05;73,00;73,05;52922;3865975,35;261;
2017-06-22;73,30;73,45;73,00;73,85;72,95;73,25;73,458;20375;1496699,85;132;
2017-06-21;72,80;73,10;73,70;74,20;70,75;73,50;72,409;31324;2268150,55;172;
2017-06-20;73,60;73,70;72,00;74,35;71,20;73,50;72,685;95638;6951469,2;396;
2017-06-19;71,50;71,60;72,80;72,80;71,20;71,50;71,587;43440;3109753,25;254;
2017-06-16;70,55;70,75;69,70;71,20;69,70;71,00;70,674;43515;3075395;203;
2017-06-15;69,45;69,75;69,55;71,00;69,40;69,40;70,036;62622;4385768,25;298;
2017-06-14;69,35;69,40;72,00;72,00;69,00;69,35;70,055;66987;4692791,1;288;
2017-06-13;71,00;71,15;72,60;72,60;70,10;71,05;71,183;60739;4323559,05;421;
2017-06-12;72,15;72,50;64,95;78,55;64,10;72,65;71,63;263206;18853510,2;1025;
2017-06-09;305,30;306,70;305,50;307,70;303,70;307,00;305,32;8905;2718876,1;95;
2017-06-08;305,50;306,10;304,50;308,20;302,30;305,50;304,851;10962;3341778,3;116;
2017-06-07;303,30;304,80;308,00;308,90;304,00;304,00;306,055;14508;4440249,7;136;
2017-06-05;307,10;308,00;306,20;309,90;305,00;307,30;306,797;13361;4099114,7;107;
2017-06-02;305,40;306,10;305,00;306,20;302,90;306,20;304,695;8427;2567662,4;102;
2017-06-01;305,90;307,50;307,50;309,00;303,20;306,60;306,787;13262;4068606,6;143;
2017-05-31;307,00;307,60;308,10;313,10;307,20;307,60;309,277;12642;3909880,4;118;
2017-05-30;307,20;308,20;303,10;308,40;302,80;306,90;304,815;9667;2946647,6;92;
2017-05-29;303,30;303,70;303,10;303,90;302,40;302,70;303,424;6451;1957389,5;70;
2017-05-26;303,00;303,30;305,50;305,50;302,40;303,00;303,38;2143;650142,2;57;
2017-05-24;304,00;304,80;304,90;305,50;303,10;304,60;304,061;7032;2138154,4;60;
2017-05-23;304,80;305,50;300,00;306,20;300,00;305,50;302,673;6994;2116897,8;74;
2017-05-22;300,30;301,00;301,80;301,80;299,20;300,00;300,197;1338;401663,5;33;
2017-05-19;300,50;301,10;300,50;301,40;299,30;300,70;300,305;2774;833045,5;50;
2017-05-18;300,30;301,00;301,00;303,60;300,00;300,50;301,525;10618;3201588,4;129;
2017-05-17;300,50;300,70;303,00;303,00;300,00;300,30;301,673;8319;2509617,9;90;
2017-05-16;302,60;303,50;301,60;303,20;299,60;302,90;302,051;12453;3761446,7;94;
2017-05-15;300,40;302,10;302,00;302,70;298,50;301,60;299,793;4484;1344271,4;45;
2017-05-12;300,00;300,50;300,00;300,50;296,00;300,20;298,277;9740;2905216,7;98;
2017-05-11;296,00;297,20;295,50;300,00;295,00;296,60;297,078;12589;3739912,8;86;
2017-05-10;295,50;296,00;297,20;297,50;294,90;295,50;295,916;5828;1724597,8;105;
2017-05-09;297,10;297,50;296,30;299,20;295,30;297,20;296,548;6122;1815463,5;83;
2017-05-08;295,70;296,20;299,90;300,00;295,70;296,30;297,87;13033;3882068,8;124;
2017-05-05;298,10;298,80;299,90;299,90;295,30;299,90;298,205;5884;1754636,5;92;
2017-05-04;296,50;296,90;292,70;298,30;292,70;298,30;295,922;2894;856396,9;62;
2017-05-03;292,90;293,40;297,00;297,20;292,70;292,70;294,181;5686;1672713,5;101;
2017-05-02;295,00;295,40;295,00;297,00;294,30;296,00;295,597;3103;917235,8;87;
2017-04-28;295,00;296,00;299,00;299,00;293,50;294,90;295,502;10196;3012939,3;99;
2017-04-27;299,00;299,60;297,90;302,10;296,00;299,00;298,954;6521;1949476,5;78;
2017-04-26;295,80;297,70;295,90;298,90;293,00;297,00;294,479;8145;2398530,9;97;
2017-04-25;294,50;295,70;298,50;299,50;294,20;295,90;296,477;5261;1559763,2;90;
2017-04-24;297,80;298,40;300,00;300,90;297,00;299,00;299,073;8243;2465254,9;90;
2017-04-21;297,50;298,30;297,50;298,60;295,00;298,00;296,972;5683;1687692,7;75;
2017-04-20;296,30;296,70;297,50;298,90;295,00;297,50;296,646;7434;2205263,1;111;
2017-04-19;296,30;297,80;294,80;302,90;294,80;297,70;298,956;8943;2673565,1;148;
2017-04-18;293,60;294,00;303,90;303,90;293,50;294,20;297,014;11692;3472690;165;
2017-04-13;303,10;305,20;297,00;308,60;295,10;304,00;301,773;30272;9135276;249;
2017-04-12;280,00;281,30;280,00;283,00;280,00;280,50;281,492;1168;328783;42;
2017-04-11;280,50;281,60;282,00;283,00;279,40;280,10;281,68;2928;824758;70;
2017-04-10;281,40;282,00;282,90;282,90;280,40;281,50;281,11;5299;1489599,9;79;
2017-04-07;281,10;282,00;280,00;282,80;278,90;282,00;280,463;5786;1622757,8;76;
2017-04-06;280,30;281,20;283,60;283,60;277,90;280,10;280,625;248350;69780765,8;131;
2017-04-05;286,90;287,90;290,10;291,20;287,00;287,90;288,863;6739;1946649,7;110;
2017-04-04;288,30;289,80;291,40;292,10;289,00;290,10;290,711;4318;1255288,9;66;
2017-04-03;289,50;290,40;297,00;297,00;290,00;292,10;293,328;10775;3160607,1;136;
2017-03-31;293,00;293,80;292,40;295,00;291,10;295,00;293,265;11272;3305682,6;105;
2017-03-30;291,90;292,40;291,50;293,90;289,90;292,40;291,528;4697;1369308,9;76;
2017-03-29;291,20;291,70;292,00;292,20;290,70;291,00;291,484;9371;2731500,1;68;
2017-03-28;292,00;292,10;291,80;294,20;290,40;291,60;292,449;8439;2467978,5;70;
2017-03-27;291,90;292,50;293,50;293,50;289,90;291,40;291,431;12123;3533020,8;123;
2017-03-24;293,90;294,40;295,80;296,40;293,70;293,70;295,208;9809;2895699;79;
2017-03-23;295,80;296,40;293,60;297,80;290,00;295,80;294,67;7981;2351763;73;
2017-03-22;291,50;292,20;291,20;293,00;290,10;291,50;291,84;14986;4373518,7;173;
2017-03-21;291,80;292,50;294,00;294,80;291,80;291,80;293,585;21061;6183190,2;151;
2017-03-20;293,10;293,50;294,50;295,80;292,00;293,10;294,565;27558;8117615,5;173;
2017-03-17;292,20;292,40;292,00;298,50;289,00;292,10;293,325;14951;4385494;113;
2017-03-16;290,10;291,80;293,00;293,00;288,50;290,40;290,62;6111;1775975,7;79;
2017-03-15;288,00;289,40;290,00;291,50;288,00;288,20;290,154;15141;4392265,5;94;
2017-03-14;289,10;289,90;291,00;292,20;288,00;289,30;290,931;7372;2144743,7;77;
2017-03-13;289,00;290,60;291,70;295,30;289,00;289,00;292,269;18682;5460165,2;146;
2017-03-10;289,80;291,20;283,50;291,20;283,50;290,80;287,626;14677;4221482,5;150;
2017-03-09;282,50;283,00;284,40;285,10;280,50;282,90;283,107;12037;3407755,1;109;
2017-03-08;278,40;279,40;283,40;283,40;279,00;279,40;281,618;7445;2096642;61;
2017-03-07;280,10;280,70;285,00;285,00;280,00;280,00;281,237;1572;442104,3;32;
2017-03-06;281,80;283,30;282,70;282,80;280,50;281,00;282,212;3239;914084,5;43;
