sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;103,20;103,30;103,50;103,60;102,90;103,30;103,285;2982379;308033722,7;3140;
2017-08-02;103,60;103,70;104,10;104,40;103,20;103,80;103,719;3622178;375687460,3;3627;
2017-08-01;103,80;103,90;102,80;104,10;102,50;103,80;103,589;3703919;383686292,95;4054;
2017-07-31;102,40;102,50;103,10;103,60;102,30;102,30;102,729;4082901;419432148,75;4144;
2017-07-28;103,40;103,50;104,20;104,50;102,90;103,30;103,397;4274524;441972122,1;4546;
2017-07-27;104,30;104,40;103,10;104,70;103,10;104,30;104,167;4321443;450152590,35;4320;
2017-07-26;103,10;103,30;103,00;103,40;102,60;103,30;103,021;3878344;399550481,4;4365;
2017-07-25;103,00;103,20;102,90;103,60;102,70;103,10;103,223;3970579;410056387,25;4212;
2017-07-24;102,70;102,80;103,30;103,70;102,20;102,60;102,685;3941918;404843030,95;4168;
2017-07-21;103,30;103,40;104,00;104,40;103,00;103,40;103,616;5122099;530728854,5;5492;
2017-07-20;104,10;104,20;105,60;105,60;103,90;104,10;104,482;6269101;655011068,5;5946;
2017-07-19;105,10;105,20;105,80;106,10;104,60;104,90;105,152;5034624;529399072,6;4575;
2017-07-18;105,20;105,30;106,90;107,30;105,10;105,20;105,767;6142098;649428239,05;5660;
2017-07-17;106,90;107,00;107,40;107,60;106,60;107,10;107,007;3932362;420790930,8;3983;
2017-07-14;107,20;107,40;107,50;109,00;106,80;107,40;107,771;6782825;730995303;6133;
2017-07-13;105,80;105,90;105,60;106,00;105,40;106,00;105,773;4607294;487328218,8;4620;
2017-07-12;105,40;105,50;103,90;105,50;103,70;105,50;104,859;5443631;570812967,05;4301;
2017-07-11;103,50;103,60;103,80;104,20;103,40;103,50;103,705;3831844;397380324,05;3752;
2017-07-10;103,80;103,90;103,80;104,30;103,60;103,80;103,879;3743144;388833236,5;3547;
2017-07-07;103,50;103,60;104,30;104,40;103,50;103,70;103,747;3822298;396552395,1;3969;
2017-07-06;103,70;103,90;104,20;104,40;103,50;104,10;104,007;4760927;495171206,4;4879;
2017-07-05;104,00;104,10;104,60;104,70;103,80;104,20;104,264;3831366;399472730,55;4017;
2017-07-04;104,80;104,90;103,90;104,90;103,60;104,70;104,663;3522123;368636438;3621;
2017-07-03;104,00;104,10;102,20;104,30;102,20;104,30;103,339;4313284;445728973,2;4502;
2017-06-30;101,80;101,90;103,40;103,70;101,80;101,90;102,485;5507353;564419288,15;5469;
2017-06-29;103,10;103,20;103,60;104,50;103,00;103,40;103,791;6018170;624633256,7;6536;
2017-06-28;103,10;103,20;102,50;103,40;101,60;103,40;102,554;5695925;584137579,55;5567;
2017-06-27;102,70;102,80;102,80;103,30;102,10;102,60;102,707;4878534;501061304,8;5051;
2017-06-26;103,00;103,10;102,80;103,90;102,80;103,00;103,333;4517524;466810753,35;4611;
2017-06-22;103,20;103,30;104,10;104,20;102,80;103,40;103,535;4227595;437682361;4474;
2017-06-21;104,40;104,50;105,60;105,60;104,30;104,40;104,698;5116320;535666906,6;4842;
2017-06-20;105,80;106,00;106,70;106,80;105,70;105,80;106,089;3785821;401636203,35;4125;
2017-06-19;106,50;106,60;105,00;106,60;104,90;106,60;105,926;6125978;648222516;4674;
2017-06-16;104,50;104,60;104,50;104,90;104,00;104,60;104,493;4617280;482470108,25;4217;
2017-06-15;104,10;104,20;104,00;104,40;103,00;104,10;103,755;6361157;659978571,4;5654;
2017-06-14;104,30;104,40;105,00;105,40;104,00;104,20;104,635;5759528;602523298,2;5488;
2017-06-13;104,90;105,10;105,20;105,60;104,80;105,10;105,175;3378748;355360101,45;3447;
2017-06-12;105,00;105,10;105,20;105,60;104,50;105,10;105,017;3820135;401179369;4043;
2017-06-09;105,80;105,90;105,50;106,40;105,40;105,90;105,878;4554040;482169721,7;5263;
2017-06-08;105,30;105,50;105,20;106,80;105,10;105,60;105,864;8216471;869832303,2;6387;
2017-06-07;105,30;105,50;104,70;105,80;104,30;105,30;105,278;5742654;604575054,15;5554;
2017-06-05;104,60;104,80;104,70;104,90;104,20;104,50;104,593;2410512;252121891,6;2860;
2017-06-02;104,40;104,50;104,80;105,90;104,40;104,50;105,013;4522528;474854425,7;4620;
2017-06-01;104,40;104,50;104,80;105,20;104,30;104,50;104,71;3842136;402310007,25;4144;
2017-05-31;104,80;104,90;105,10;105,70;104,70;104,80;105,025;5327109;559481055,3;5066;
2017-05-30;105,10;105,30;104,70;105,70;104,40;105,30;105,132;3743626;393575232,4;3995;
2017-05-29;105,10;105,20;105,40;106,00;105,00;105,20;105,449;2425990;255843471;2726;
2017-05-26;105,10;105,30;104,90;105,70;104,40;105,40;105,071;4758553;499984700,85;5177;
2017-05-24;105,20;105,30;105,30;106,20;105,10;105,40;105,684;3912290;413619656,05;2720;
2017-05-23;105,40;105,50;104,60;105,90;104,60;105,70;105,389;4288187;451929552,2;4814;
2017-05-22;104,40;104,50;105,00;105,50;104,30;104,60;104,771;5391222;564113674,4;4279;
2017-05-19;105,00;105,10;104,00;105,20;103,90;105,20;104,669;7515268;786582616,7;5583;
2017-05-18;104,20;104,30;104,50;105,40;103,10;104,10;104,141;7849832;817549698,8;8311;
2017-05-17;104,70;104,90;105,50;106,30;104,40;104,90;105,285;5906369;621882238,7;5816;
2017-05-16;106,10;106,30;106,40;106,40;105,70;106,10;106,088;4667433;495204746,3;4831;
2017-05-15;106,20;106,30;106,80;107,20;106,10;106,40;106,553;4851417;516947354,9;4183;
2017-05-12;106,40;106,50;106,50;106,70;106,10;106,70;106,45;3503381;372947300,6;3695;
