sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;134,60;134,80;135,50;135,50;133,90;134,60;134,722;1240203;167083367,9;3352;
2017-08-02;135,40;135,60;137,00;137,50;135,30;135,50;136,26;1045579;142507901,7;2915;
2017-08-01;136,60;136,70;135,00;137,00;134,30;136,70;135,863;1606585;218265021,6;4444;
2017-07-31;134,50;134,60;135,10;137,70;134,40;134,50;135,39;1684252;228030961,2;3935;
2017-07-28;134,90;135,00;133,00;135,30;131,20;135,00;134,343;3722369;499956242,5;9188;
2017-07-27;138,50;138,60;137,80;139,10;137,60;138,60;138,603;966312;133932920,4;3181;
2017-07-26;137,60;137,80;135,50;138,00;135,50;138,00;137,337;1043915;143366902,95;2522;
2017-07-25;135,90;136,00;135,40;136,40;134,90;135,90;135,875;1231475;167326425,85;4739;
2017-07-24;135,80;136,00;137,90;137,90;135,80;135,80;136,56;1124033;153498211,3;4971;
2017-07-21;137,90;138,10;139,10;139,90;137,30;137,90;138,423;1274882;176473317,85;3980;
2017-07-20;139,50;139,70;139,70;140,60;138,90;139,50;139,695;1108353;154831540,6;3534;
2017-07-19;139,50;139,60;139,30;139,90;137,40;139,50;138,932;1198320;166484608,05;3994;
2017-07-18;139,00;139,10;139,90;140,30;138,40;139,10;139,389;1160759;161798444,1;3282;
2017-07-17;140,00;140,10;140,10;140,50;139,40;140,20;140,018;563621;78917296,4;1824;
2017-07-14;140,10;140,20;140,00;140,60;139,50;140,20;140,072;599274;83941634,3;1648;
2017-07-13;139,80;139,90;140,90;140,90;139,60;140,00;139,969;872197;122080145,8;5067;
2017-07-12;140,70;140,90;139,20;141,10;139,10;140,90;140,328;834054;117041206,9;2247;
2017-07-11;138,80;139,00;140,60;140,70;138,40;139,00;139,005;1141050;158612149,1;3897;
2017-07-10;139,90;140,00;140,40;140,50;138,70;140,20;139,706;940947;131456252,2;2570;
2017-07-07;139,80;139,90;139,90;140,20;138,90;140,00;139,803;618290;86438550,2;1712;
2017-07-06;139,90;140,00;141,10;141,40;139,10;140,20;139,998;971223;135969564,6;2893;
2017-07-05;141,20;141,30;140,60;141,40;139,60;141,40;140,692;955406;134417749,2;2533;
2017-07-04;140,80;140,90;141,00;141,60;140,10;140,80;140,783;898226;126455339;2397;
2017-07-03;141,80;142,00;142,10;143,40;141,60;141,90;142,416;1030868;146811793,9;3182;
2017-06-30;142,10;142,20;141,00;143,20;140,40;142,00;142,116;1479958;210325512;3996;
2017-06-29;140,80;141,00;144,00;144,00;140,20;141,00;141,653;1325711;187794547,1;4066;
2017-06-28;143,80;143,90;143,20;144,20;142,30;143,80;143,36;967585;138712279,5;2892;
2017-06-27;143,60;143,80;145,80;145,80;143,20;143,80;144,004;1332250;191849652,8;4086;
2017-06-26;145,70;145,90;147,00;147,40;145,50;146,00;146,452;1313367;192348451,75;3811;
2017-06-22;146,70;146,90;148,30;148,40;146,40;147,00;147,095;970049;142689030,5;3405;
2017-06-21;148,40;148,50;150,80;150,80;148,10;148,60;148,912;1387739;206651164,15;4113;
2017-06-20;151,00;151,20;150,50;151,80;150,40;150,90;151,097;1825773;275970047,45;3074;
2017-06-19;150,50;150,60;148,60;150,90;148,40;150,50;149,971;1379892;206133084,95;3159;
2017-06-16;148,00;148,10;146,40;148,10;146,30;148,10;147,741;1431529;211495035;2977;
2017-06-15;146,10;146,30;148,20;148,20;144,90;146,20;146,074;1637860;239246921,25;4080;
2017-06-14;148,80;149,00;148,00;149,20;147,60;148,80;148,576;1454088;216043173,8;3876;
2017-06-13;147,80;147,90;145,50;149,40;145,40;147,90;148,321;2584130;383258205,95;5857;
2017-06-12;145,90;146,10;144,70;146,10;143,80;145,60;145,301;1877938;272866203,2;4904;
2017-06-09;145,60;145,70;142,90;145,70;142,80;145,30;144,436;1436584;207498424,25;3839;
2017-06-08;142,90;143,00;143,80;144,10;142,70;143,00;143,34;1072639;153750895,05;2965;
2017-06-07;144,10;144,30;143,50;144,40;142,80;143,80;143,773;1025814;147484540,2;2829;
2017-06-05;143,40;143,50;144,00;144,70;143,20;143,20;143,989;984013;141686650,2;2583;
2017-06-02;144,20;144,30;144,40;145,80;143,10;144,00;144,409;1708793;246753230,82;4628;
2017-06-01;143,80;143,90;138,80;145,50;138,80;143,70;143,757;3649027;524571968;7617;
2017-05-31;138,20;138,40;138,00;138,70;137,10;138,50;138,195;2104138;290779191,55;4325;
2017-05-30;137,70;137,90;137,70;138,50;137,30;137,80;137,854;789615;108851292,3;2830;
2017-05-29;138,50;138,70;138,00;138,80;137,80;138,50;138,272;766600;105999447,15;2387;
2017-05-26;137,70;137,80;138,20;138,40;137,20;138,00;137,937;1039359;143366162,4;3081;
2017-05-24;138,20;138,30;138,70;138,70;137,50;138,70;138,256;521185;72056735,5;1504;
2017-05-23;138,40;138,60;137,70;138,70;137,30;138,70;138,251;1001876;138509864,05;2764;
2017-05-22;137,70;137,80;138,60;138,70;137,10;137,70;137,736;1065912;146860619,4;3413;
2017-05-19;138,20;138,30;138,30;138,70;137,10;138,20;137,935;1209708;166865141,55;3669;
2017-05-18;137,90;138,10;139,50;140,10;136,90;138,30;138,258;1508798;208605548,85;4560;
2017-05-17;139,70;139,90;139,60;140,90;139,40;139,70;140,159;1568118;219782074,65;4557;
2017-05-16;139,90;140,00;139,00;140,30;138,90;140,20;139,739;1128317;157669590,5;3148;
2017-05-15;138,70;138,90;139,40;139,50;138,40;139,00;138,883;942122;130844246,95;2893;
2017-05-12;138,80;139,00;138,70;139,10;137,80;139,10;138,609;895897;124178806,15;2836;
2017-05-11;138,10;138,30;138,00;138,70;137,10;138,50;137,952;2607687;359736215,3;3822;
2017-05-10;137,90;138,00;138,00;138,60;137,30;138,00;137,951;1387683;191418310,7;3565;
2017-05-09;138,00;138,20;138,40;138,70;136,60;138,20;137,973;1894367;261371810,9;4615;
2017-05-08;138,20;138,40;137,60;138,60;136,80;138,40;137,609;1963621;270207802,36;4005;
2017-05-05;137,50;137,60;137,40;137,90;136,60;137,60;137,205;1831461;251285509,2;5406;
2017-05-04;137,20;137,40;139,00;139,20;136,40;137,50;137,741;2442770;336468815,55;6117;
2017-05-03;139,90;140,10;148,50;148,80;139,60;140,80;143,287;3942557;564926565,05;11044;
2017-05-02;148,50;148,60;146,70;148,90;146,70;148,90;147,925;1983879;293448601,45;5302;
2017-04-28;146,50;146,60;147,00;147,30;145,60;146,40;146,366;1319992;193201762,65;3443;
2017-04-27;147,00;147,20;146,50;147,40;145,00;146,90;146,716;1538473;225755580,3;3682;
2017-04-26;146,00;146,20;144,50;146,50;143,90;146,30;145,857;1449786;211460750,6;4570;
2017-04-25;144,10;144,20;144,70;145,10;143,90;144,30;144,413;1041604;150421593,3;3267;
2017-04-24;144,50;144,60;144,00;145,00;141,80;144,70;143,707;1339920;192192763,3;3175;
2017-04-21;141,90;142,00;143,40;143,70;141,80;142,10;142,209;1274112;181194827,55;2750;
2017-04-20;142,90;143,00;141,50;143,40;141,30;143,20;142,954;1479914;211559896,5;3584;
2017-04-19;141,60;141,80;141,10;142,50;140,20;141,60;141,412;1381737;195393451,2;3962;
2017-04-18;140,90;141,10;144,00;144,00;140,60;141,10;141,484;1144659;161950768,9;3254;
2017-04-13;143,10;143,20;142,60;143,30;141,80;143,00;142,827;545813;77955722,65;1530;
2017-04-12;142,60;142,70;142,50;143,20;141,90;142,80;142,752;1022562;145972050,4;2348;
2017-04-11;142,40;142,50;142,80;143,30;141,90;142,50;142,562;968241;138034400,65;2713;
2017-04-10;142,40;142,60;143,30;143,40;141,50;142,60;142,326;1327535;188938489,2;3587;
2017-04-07;143,10;143,20;139,40;143,20;138,60;143,10;141,286;1741412;246033448;4321;
2017-04-06;139,40;139,50;138,70;139,60;137,60;139,50;138,718;1768623;245340980,3;4166;
2017-04-05;138,70;138,80;139,30;139,50;138,70;138,70;138,882;542897;75397789,9;1530;
2017-04-04;138,80;139,00;139,50;140,20;138,80;138,80;139,339;1003710;139855716,4;3077;
2017-04-03;139,20;139,30;140,70;140,70;139,20;139,40;139,817;802043;112139510,35;2546;
2017-03-31;139,80;140,00;138,50;140,10;138,00;140,00;139,465;1174374;163783955,5;2824;
2017-03-30;138,60;138,70;137,60;138,80;137,30;138,50;138,322;693852;95975179,1;2221;
2017-03-29;137,70;137,80;136,50;137,80;136,30;137,80;137,215;792564;108751906;2354;
2017-03-28;136,20;136,30;136,60;136,80;135,65;136,40;136,214;1077295;146743020,9;2701;
2017-03-27;136,90;137,10;137,80;137,80;135,70;136,90;136,479;1075905;146838617,2;3346;
2017-03-24;138,20;138,40;138,50;138,80;137,90;138,40;138,363;902758;124828292,9;2024;
2017-03-23;138,60;138,70;136,90;138,80;136,70;138,50;137,97;829928;114506751,6;2494;
2017-03-22;136,70;136,90;137,00;137,00;135,50;136,70;136,442;1132037;154456787,3;3170;
2017-03-21;137,20;137,30;139,00;139,00;137,20;137,20;137,668;1139711;156904751,55;2923;
2017-03-20;138,30;138,40;138,60;139,10;138,30;138,50;138,653;1079710;149683774,6;2456;
2017-03-17;138,40;138,50;138,60;139,10;138,00;138,60;138,486;1031557;142856230,5;2926;
2017-03-16;138,40;138,50;139,40;139,60;137,90;138,60;138,727;1170192;162337526,9;3067;
2017-03-15;138,80;138,90;137,50;139,10;137,20;138,80;138,194;1002494;138539070,3;2693;
2017-03-14;137,10;137,20;138,00;138,00;136,20;137,10;137,04;1346466;184546539,25;3368;
2017-03-13;138,00;138,10;137,00;138,40;136,60;138,00;137,616;1372413;188865829,6;3694;
2017-03-10;136,50;136,70;138,90;138,90;136,40;136,70;137,319;1639092;225082901,99;4285;
2017-03-09;138,10;138,20;137,80;138,50;136,60;138,30;137,928;674198;92990812,1;2237;
2017-03-08;138,10;138,20;137,90;138,50;136,80;138,20;137,917;1323962;182595616,15;3517;
2017-03-07;137,90;138,00;138,30;138,80;137,40;137,90;137,991;943149;130146322,15;2990;
2017-03-06;138,30;138,40;138,50;138,60;137,10;138,30;138,048;960562;132603370,4;2823;
2017-03-03;138,40;138,50;138,40;139,00;138,10;138,50;138,553;1743573;241741262,89;3668;
2017-03-02;138,50;138,60;139,40;139,60;138,20;138,40;138,666;1088772;150975581,3;3227;
2017-03-01;139,30;139,40;138,30;139,80;138,00;139,30;139,188;1743984;242741159,6;5459;
2017-02-28;137,70;137,80;134,80;138,00;134,70;137,80;136,902;1655439;226589392,8;4109;
2017-02-27;134,40;134,50;135,90;136,40;134,10;134,20;134,628;999829;134605509,55;2941;
2017-02-24;133,90;134,00;135,50;135,80;133,70;133,90;134,274;760568;102124560,45;2232;
2017-02-23;135,40;135,50;134,20;135,80;133,80;135,40;135,291;1330484;180002969,8;3353;
2017-02-22;133,90;134,00;135,00;135,60;133,80;133,90;134,53;1047969;140983974,25;3021;
2017-02-21;135,30;135,40;135,00;135,80;134,50;135,30;135,336;1040437;140808182,5;2652;
2017-02-20;134,90;135,10;132,90;135,20;132,70;134,70;134,44;1332448;178756741,95;2838;
