sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;160,40;160,50;160,40;161,60;159,30;160,60;160,642;1518300;243902200,25;4469;
2017-08-02;160,50;160,60;163,50;163,80;159,90;160,80;161,456;1942201;313580450,2;4817;
2017-08-01;163,20;163,40;160,60;163,90;160,40;163,00;162,979;1970930;321220444,35;4784;
2017-07-31;160,80;161,00;161,90;161,90;160,60;160,60;161,119;1554692;250491065,85;3847;
2017-07-28;161,80;161,90;162,10;162,90;160,40;162,10;161,65;2465610;398550586,75;5531;
2017-07-27;162,40;162,60;163,30;164,70;162,30;162,40;163,261;2173527;354855319,05;5444;
2017-07-26;164,00;164,20;164,00;165,00;163,20;163,90;163,954;2645306;433709376;5582;
2017-07-25;164,20;164,30;163,50;164,80;162,60;164,40;163,916;2910218;477341852,8;7702;
2017-07-24;163,30;163,50;166,20;166,80;163,20;163,30;163,924;3481867;571010316,55;9471;
2017-07-21;165,30;165,40;177,20;177,20;162,30;165,90;166,639;8833663;1472639702,8;22775;
2017-07-20;173,60;173,70;176,80;177,70;172,40;173,80;174,836;3499505;611834932,45;9234;
2017-07-19;176,10;176,30;176,00;178,00;173,80;176,20;175,893;2608318;458784860,15;6910;
2017-07-18;176,10;176,30;173,10;176,50;172,50;176,20;175,136;2955440;517603878;7310;
2017-07-17;173,80;173,90;175,60;176,00;170,60;174,30;173,433;3292262;570985477,4;8309;
2017-07-14;175,20;175,30;175,60;176,30;174,60;175,50;175,314;1455850;255231526,2;3714;
2017-07-13;175,90;176,00;178,00;178,00;175,80;175,90;176,721;1478527;261289035;3681;
2017-07-12;177,80;178,00;174,70;179,70;174,70;178,00;177,677;2361042;419503950;6009;
2017-07-11;173,80;174,00;175,60;176,60;173,60;173,80;174,844;1806315;315825591,85;4983;
2017-07-10;175,30;175,40;173,00;175,70;172,20;175,40;174,898;2222506;388712845,1;5787;
2017-07-07;172,20;172,30;171,90;172,60;171,00;172,20;171,947;1260901;216808599,85;3388;
2017-07-06;171,40;171,60;171,40;172,00;169,70;172,00;171,125;1912907;327346097,3;4518;
2017-07-05;171,70;171,90;169,70;172,50;168,40;171,90;171,444;1956193;335392599,97;4235;
2017-07-04;169,60;169,70;171,10;172,00;169,00;169,50;169,986;1740290;295826013,35;4421;
2017-07-03;172,20;172,30;171,60;173,30;171,60;172,40;172,303;1494267;257466841,6;4255;
2017-06-30;171,10;171,30;171,00;173,30;170,50;170,70;171,612;2324605;399019497,2;5044;
2017-06-29;171,20;171,40;174,30;174,90;170,50;171,10;172,186;2522296;434304219,7;7017;
2017-06-28;173,30;173,50;173,50;175,40;169,70;173,90;172,78;3025881;522807844,65;8443;
2017-06-27;173,30;173,40;177,10;177,90;173,20;173,50;174,984;5505010;963312711,6;13093;
2017-06-26;180,50;180,60;182,60;184,20;180,30;180,40;181,632;2229091;404872605,95;6201;
2017-06-22;183,00;183,20;182,50;183,70;181,50;182,90;182,863;1510195;276158333,8;4260;
2017-06-21;182,50;182,60;181,10;183,60;179,70;182,50;181,524;1603024;290987644,4;4664;
2017-06-20;181,70;181,90;183,40;184,40;181,60;181,60;182,393;1399918;255334809,8;3820;
2017-06-19;183,40;183,60;183,10;184,50;182,70;183,50;183,846;1828134;336072467,5;5484;
2017-06-16;181,70;181,80;179,00;182,10;178,90;181,90;181,396;2912604;528334979,85;6789;
2017-06-15;178,00;178,10;179,00;179,20;176,80;177,90;177,911;2511202;446770146,75;7308;
2017-06-14;179,60;179,80;180,40;182,00;179,10;179,30;180,459;2027849;365945537,55;6282;
2017-06-13;180,40;180,60;179,20;180,90;179,10;180,50;180,123;2046110;368551739,55;6061;
2017-06-12;179,20;179,30;183,10;183,50;178,40;179,00;179,982;2411527;434034763,6;6514;
2017-06-09;184,40;184,60;180,20;185,40;180,10;184,10;183,532;2775689;509516757,45;6827;
2017-06-08;180,30;180,50;182,00;182,90;180,20;180,20;181,19;2573547;466304212,95;6531;
2017-06-07;182,40;182,60;179,40;182,80;178,60;182,00;181,627;2917900;529966099,3;7650;
2017-06-05;179,60;179,70;182,00;182,40;178,40;179,30;179,995;1526744;274805800,55;4226;
2017-06-02;182,00;182,10;179,60;184,20;179,50;181,90;182,475;3225624;588501613;9039;
2017-06-01;178,60;178,80;177,40;179,70;177,20;178,80;178,835;2050585;366713898,15;6460;
2017-05-31;177,40;177,50;178,00;178,60;176,40;177,80;177,651;3265819;580177014,7;6179;
2017-05-30;177,50;177,60;175,50;178,70;175,30;177,50;177,465;2058368;365288807,6;6110;
2017-05-29;176,00;176,20;176,50;176,80;175,50;176,10;176,00;845657;148835838,3;2770;
2017-05-26;176,20;176,30;177,10;178,00;176,10;176,60;176,795;2394601;423353555,5;6648;
2017-05-24;179,00;179,10;179,60;179,60;178,20;179,50;179,024;974827;174516042,95;2409;
2017-05-23;178,90;179,00;177,70;179,70;177,30;179,40;178,964;1946176;348294367,45;4919;
2017-05-22;177,70;177,80;179,20;179,70;177,10;177,90;178,264;3081499;549643833,65;7011;
2017-05-19;178,50;178,60;176,30;179,30;176,30;178,70;178,307;2521449;449594337,65;6777;
2017-05-18;175,90;176,10;176,00;177,10;172,70;176,20;175,171;5052814;885098024,65;11920;
2017-05-17;178,90;179,00;182,00;182,90;178,40;179,10;180,137;2410686;434258482,71;6703;
2017-05-16;182,40;182,50;181,60;184,10;180,70;182,60;182,72;3065428;560114356;6751;
2017-05-15;181,50;181,70;182,70;182,70;180,20;181,60;181,494;2733596;496128343,3;6676;
2017-05-12;181,80;181,90;185,50;185,70;181,10;182,20;182,869;2948050;539117474,8;7626;
2017-05-11;185,50;185,60;189,70;190,40;184,10;185,50;186,791;3909305;730167835,4;9877;
2017-05-10;189,50;189,70;189,30;190,10;187,80;189,70;189,162;2570309;485646159;5516;
2017-05-09;190,10;190,20;189,00;191,70;188,70;190,00;190,65;1982673;377996513,1;5245;
2017-05-08;189,00;189,20;191,00;191,00;186,70;189,10;188,271;2887597;543652740,85;8457;
2017-05-05;191,20;191,40;192,60;192,70;190,00;191,00;191,082;2906736;555424836,8;7112;
2017-05-04;192,80;192,90;194,00;194,40;192,00;193,20;193,351;2809753;543254831,01;6407;
2017-05-03;193,70;193,80;196,00;196,10;192,10;193,50;193,371;3573222;691115485,66;7364;
2017-05-02;195,20;195,40;194,70;196,00;193,70;196,00;195,157;3061210;597413459,15;6972;
2017-04-28;194,40;194,60;190,10;195,80;190,10;194,60;194,034;4234735;821801093,82;9167;
2017-04-27;191,30;191,50;195,70;203,20;191,20;191,20;195,655;6895672;1346354782,95;17474;
2017-04-26;188,70;188,80;186,80;188,80;184,30;188,80;186,976;4688521;876325478,05;10749;
2017-04-25;186,50;186,60;183,00;186,60;182,60;186,40;185,111;5713160;1058943175,84;7786;
2017-04-24;181,70;181,80;179,90;183,90;177,10;181,80;181,073;4271202;773681535,89;9478;
2017-04-21;176,90;177,10;174,40;177,70;174,40;176,60;176,546;2763382;487863422,94;7069;
2017-04-20;174,30;174,50;174,80;175,90;173,50;174,40;174,343;1796571;313217349,45;4974;
2017-04-19;174,90;175,10;172,70;175,20;172,60;174,60;174,139;2279476;396974326,6;5471;
2017-04-18;172,90;173,00;177,00;177,10;172,70;173,00;173,844;2539941;441875569,75;5963;
2017-04-13;176,50;176,60;177,70;178,10;176,10;176,50;176,80;1032221;182495794,65;2665;
