sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;40,25;40,29;39,86;40,35;39,57;40,19;40,035;3912428;156634359,79;5515;
2017-08-02;39,93;39,97;40,73;40,89;39,78;40,00;40,233;5005332;201379776,46;6172;
2017-08-01;40,75;40,79;41,06;41,37;40,65;40,72;40,989;3699031;151618638,59;5060;
2017-07-31;40,81;40,84;41,58;41,88;40,71;40,79;41,212;3588373;147881669,55;4699;
2017-07-28;41,43;41,46;42,08;42,11;41,15;41,44;41,443;5544921;229796523,08;6585;
2017-07-27;42,24;42,27;42,59;43,08;42,19;42,20;42,522;4346445;184819272,5;5448;
2017-07-26;42,48;42,52;43,16;43,22;41,88;42,57;42,299;6486315;274364365;11259;
2017-07-25;42,87;42,90;42,80;43,38;41,91;42,96;42,794;6832352;291935328,82;9493;
2017-07-24;42,20;42,22;42,58;42,75;41,69;42,15;42,265;5663202;238857524,61;8046;
2017-07-21;42,21;42,25;41,93;43,43;41,93;42,42;42,609;12249442;521947827,08;14648;
2017-07-20;41,62;41,63;44,00;44,36;41,09;41,48;42,31;11537194;488134617,93;13449;
2017-07-19;43,08;43,10;42,75;43,64;42,47;43,20;43,085;6505583;280290860,91;8717;
2017-07-18;42,69;42,73;43,97;44,37;42,33;42,68;42,924;7891178;338723416,24;9118;
2017-07-17;43,56;43,59;42,79;43,75;42,54;43,75;43,277;8651416;374382345,07;9773;
2017-07-14;42,08;42,10;41,62;42,28;41,53;42,22;42,038;4798904;201736750,31;5915;
2017-07-13;41,48;41,52;41,52;41,81;40,94;41,51;41,412;5254624;217612229,58;6120;
2017-07-12;41,32;41,35;41,00;41,64;41,00;41,48;41,393;6997630;289622620,23;8538;
2017-07-11;40,77;40,81;40,10;41,05;40,10;40,84;40,781;7253717;295813772,53;7601;
2017-07-10;40,05;40,07;39,99;40,14;39,48;40,10;39,832;4434764;176646516,13;5135;
2017-07-07;39,50;39,54;39,94;40,18;39,43;39,59;39,74;4073131;161866424,86;5320;
2017-07-06;39,82;39,86;39,82;40,15;39,41;39,95;39,786;5707381;227071940,99;8039;
2017-07-05;39,73;39,76;39,90;40,42;39,35;39,80;39,969;6288813;251355429,1;8398;
2017-07-04;39,88;39,90;39,33;40,33;39,23;39,91;39,849;7814103;311383818,68;8983;
2017-07-03;39,51;39,53;38,50;39,66;38,50;39,63;39,374;6372779;250902479,31;7057;
2017-06-30;38,44;38,46;38,36;38,82;37,88;38,45;38,396;5915824;227142530,94;7030;
2017-06-29;38,39;38,43;39,00;39,63;38,16;38,36;38,863;7899757;307007192,46;8863;
2017-06-28;38,91;38,95;38,58;39,00;37,88;39,00;38,521;6727570;259144269,28;8684;
2017-06-27;38,57;38,60;38,15;38,90;38,00;38,64;38,593;6375204;246037720,56;7558;
2017-06-26;37,95;37,99;37,98;38,48;37,92;37,94;38,209;6565132;250844258,27;8134;
2017-06-22;37,87;37,90;37,08;37,95;36,69;37,90;37,503;7420071;278285124,44;7949;
2017-06-21;37,11;37,14;36,65;37,48;36,23;37,23;36,978;8130234;300641261,01;8774;
2017-06-20;36,58;36,60;37,86;37,96;36,18;36,55;36,664;12402276;454732666,84;12944;
2017-06-19;37,70;37,72;36,82;37,85;36,80;37,78;37,446;6719745;251332499,75;6976;
2017-06-16;36,53;36,56;36,84;37,20;36,17;36,53;36,552;6671042;243842673,44;7665;
2017-06-15;36,76;36,79;38,05;38,05;36,48;36,79;37,179;10199464;380194082,96;9964;
2017-06-14;38,28;38,30;39,05;39,36;38,03;38,13;38,588;6657098;256884886,85;7659;
2017-06-13;38,87;38,90;38,30;39,17;38,26;38,93;38,853;6007319;233401428,55;7313;
2017-06-12;38,29;38,33;37,85;38,44;37,57;38,36;38,07;6535646;248810728,72;8334;
