sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;212,40;212,50;211,90;212,80;210,70;212,60;212,227;1782460;378284900,3;4102;
2017-08-02;212,00;212,10;213,90;214,40;211,70;212,50;212,477;1656925;352058540,4;4322;
2017-08-01;213,30;213,50;211,10;214,20;210,90;213,10;213,081;2364784;503889306;5825;
2017-07-31;210,40;210,60;212,00;215,50;210,40;210,80;211,632;2935812;621312236,85;6029;
2017-07-28;212,50;212,60;212,60;212,90;211,50;212,30;212,198;2371210;503164943,95;5439;
2017-07-27;212,70;212,80;211,70;214,20;211,40;212,80;213,084;1821785;388194120,6;4650;
2017-07-26;212,60;212,70;211,10;213,20;210,50;212,90;211,966;2374850;502946379,85;5389;
2017-07-25;211,80;211,90;211,30;213,50;211,30;211,70;212,107;1989585;421997538,7;5607;
2017-07-24;212,40;212,60;213,30;214,30;211,20;212,10;212,222;2786744;591506504,6;6295;
2017-07-21;213,40;213,50;212,50;215,50;212,50;213,60;213,845;3103793;663737518,55;6966;
2017-07-20;213,20;213,40;212,70;214,70;211,40;213,40;213,351;3233569;689881625,05;7875;
2017-07-19;212,60;212,80;213,80;215,80;208,20;212,50;212,189;3529628;748963776,35;8909;
2017-07-18;211,30;211,40;210,50;213,20;210,50;210,80;211,486;4072872;861519698,3;8138;
2017-07-17;212,80;212,90;213,70;213,70;211,10;213,40;212,865;2041511;434566038,7;5285;
2017-07-14;213,50;213,70;214,70;215,60;212,30;213,80;213,982;2670261;571387972,7;6429;
2017-07-13;214,30;214,40;214,50;215,00;213,70;214,40;214,458;1648620;353560444,6;4372;
2017-07-12;214,50;214,60;212,80;215,00;212,30;214,20;214,302;1789270;383444695,5;4464;
2017-07-11;212,70;212,80;212,40;213,90;212,20;212,40;212,909;2175401;463161659,9;5116;
2017-07-10;212,50;212,60;212,90;213,60;211,70;212,50;212,551;1706390;362694888,65;4642;
2017-07-07;212,30;212,40;213,00;213,20;211,60;212,50;212,358;1773767;376673353,65;4331;
2017-07-06;211,80;212,00;211,60;212,10;209,60;212,10;211,20;2164217;457081839,6;5499;
2017-07-05;211,90;212,00;213,00;213,10;211,20;212,20;212,014;2650339;561876206;5078;
