sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;286,70;286,80;285,30;287,10;283,50;286,50;285,601;651911;186158495,4;3824;
2017-08-02;285,30;285,50;287,00;287,00;284,40;285,60;285,393;763110;217767889,9;4310;
2017-08-01;285,90;286,10;284,70;287,40;282,50;286,30;285,483;762708;217739767,4;4587;
2017-07-31;284,50;284,60;288,00;288,50;283,40;284,00;285,236;1634717;466191823,05;8857;
2017-07-28;287,30;287,40;299,30;299,60;281,70;286,90;288,29;2270159;654573173,35;11907;
2017-07-27;298,80;298,90;297,70;304,40;297,30;298,50;299,851;792899;237685462,68;4820;
2017-07-26;298,20;298,40;298,70;300,30;297,70;297,70;298,838;508366;151919952,6;3306;
2017-07-25;298,30;298,50;301,80;304,00;298,00;298,00;300,06;1076737;322259894,49;4350;
2017-07-24;301,40;301,60;300,70;307,30;300,60;300,60;302,874;1423803;431209233,55;6751;
2017-07-21;302,10;302,20;300,00;303,90;296,70;302,00;300,584;1213023;364621936,15;6966;
2017-07-20;294,50;294,60;295,60;297,40;293,60;295,00;294,799;781659;230431992,9;5103;
2017-07-19;294,70;294,80;294,10;295,60;292,70;294,70;294,428;722258;212657854,08;4068;
2017-07-18;292,40;292,60;293,80;294,40;291,50;292,40;292,645;645179;188808210,5;3733;
2017-07-17;293,80;294,00;295,50;295,90;293,30;293,90;294,592;688138;202718495,6;3614;
2017-07-14;294,20;294,40;295,60;295,60;293,20;294,40;294,364;477582;140585557;2638;
2017-07-13;294,60;294,80;295,30;295,60;294,00;294,60;294,85;594918;175411612,85;3432;
2017-07-12;294,70;294,90;291,00;295,20;290,30;294,70;293,227;681922;199953616,1;3924;
2017-07-11;290,30;290,60;293,00;293,40;289,60;290,50;290,655;660549;191990430,3;3826;
2017-07-10;292,20;292,40;294,90;295,10;291,10;292,40;292,74;771224;225768169,8;4729;
2017-07-07;292,80;293,00;295,10;295,10;292,30;293,40;293,155;784666;230029371,6;4168;
2017-07-06;294,30;294,50;296,30;297,50;291,30;294,70;293,928;849840;249773814,7;4432;
2017-07-05;294,00;294,20;295,50;295,70;292,90;294,40;294,193;573347;168674378,5;3274;
2017-07-04;295,60;295,70;296,70;296,80;294,40;295,40;295,207;483724;142798494,2;2767;
2017-07-03;297,50;297,70;297,00;297,70;295,30;297,60;296,753;490058;145426339,4;3320;
2017-06-30;297,50;297,70;296,50;298,80;296,50;296,70;297,292;661960;196795488,5;3304;
2017-06-29;297,30;297,40;303,50;303,50;296,20;297,10;298,351;705943;210618558;4168;
2017-06-28;302,50;302,60;305,00;305,20;301,50;302,70;303,034;543299;164638293,6;3555;
2017-06-27;305,20;305,40;307,50;307,50;304,50;304,80;305,461;505129;154297436,6;2974;
2017-06-26;308,60;308,80;307,60;310,10;307,10;308,30;309,001;548001;169332972,1;3275;
2017-06-22;306,90;307,10;308,70;309,00;306,60;306,70;307,297;486164;149396931,5;2765;
2017-06-21;308,60;308,70;310,40;310,50;307,90;308,80;308,948;564454;174387007,8;3236;
2017-06-20;310,10;310,30;307,00;311,90;306,20;310,20;310,338;699856;217192207,1;4055;
2017-06-19;306,00;306,30;306,80;307,80;305,10;306,60;306,128;605949;185352325,55;2616;
2017-06-16;305,60;305,80;303,30;306,70;303,10;306,70;305,861;927025;283540344,3;3465;
2017-06-15;302,20;302,40;303,60;304,00;300,10;302,90;301,914;595429;179768398,9;3348;
2017-06-14;303,40;303,70;302,50;305,00;302,20;303,30;303,447;706613;214419404,65;3809;
2017-06-13;301,90;302,00;303,00;303,50;301,00;302,50;302,101;595763;179980416,7;3767;
2017-06-12;302,90;303,10;303,00;303,60;301,60;302,40;302,555;530482;160499880,6;3261;
2017-06-09;304,40;304,60;302,00;304,70;300,80;304,50;303,66;712075;216220535,95;3382;
2017-06-08;301,90;302,10;302,80;303,70;301,20;301,70;301,992;840408;253785758,3;4467;
2017-06-07;303,10;303,20;300,00;304,50;297,80;302,80;301,294;1094091;329638944,75;6558;
2017-06-05;298,30;298,50;298,10;299,60;297,30;298,60;298,499;441076;131655905,65;2649;
2017-06-02;296,50;296,70;298,00;298,10;295,50;297,00;296,97;668066;198383938,2;3737;
2017-06-01;296,80;296,90;293,10;298,50;293,00;296,40;296,264;981543;290795419,7;6169;
2017-05-31;293,60;293,70;294,00;295,40;293,00;293,20;293,495;1591393;467056635,5;6322;
2017-05-30;293,00;293,20;293,30;294,30;292,00;293,20;292,752;747393;218800464;3800;
2017-05-29;293,30;293,50;296,50;297,00;292,40;293,40;293,876;213395;62711617,55;1483;
2017-05-26;294,90;295,10;294,70;296,40;293,10;295,60;295,184;578716;170827129,4;3118;
2017-05-24;294,30;294,40;294,10;294,80;291,40;294,80;293,778;396763;116462686,6;1565;
2017-05-23;293,50;293,70;294,50;294,90;292,50;293,90;293,678;477210;140137619,5;2758;
2017-05-22;294,00;294,10;294,00;295,20;293,00;294,70;294,363;747422;217168238,22;3192;
2017-05-19;293,70;293,90;292,40;294,60;291,50;293,40;293,134;791443;231998529,1;4040;
2017-05-18;292,40;292,50;295,00;296,20;291,90;292,20;293,854;1026160;301541183,05;6146;
2017-05-17;295,40;295,60;297,00;297,00;295,10;295,60;295,639;624954;184761888,45;4206;
2017-05-16;296,60;296,70;294,40;297,30;293,70;297,30;296,016;501777;148533865,1;3393;
2017-05-15;294,10;294,20;296,00;296,30;293,80;293,80;294,406;721958;212548763,15;3542;
2017-05-12;295,50;295,70;295,10;296,10;293,80;295,80;295,235;463717;136905245,1;3142;
2017-05-11;294,40;294,60;295,20;297,00;293,70;294,80;295,059;770560;227411149,6;4134;
2017-05-10;295,20;295,40;298,70;299,00;294,80;295,20;295,741;900024;266200686,55;6430;
2017-05-09;298,00;298,20;290,00;300,10;289,00;298,40;296,917;1796270;532937851,55;9185;
2017-05-08;287,90;288,10;284,60;288,90;284,20;288,40;287,452;617291;177440602,65;3930;
2017-05-05;284,60;284,90;280,40;285,60;278,20;284,60;282,876;903387;255528150,65;4603;
2017-05-04;292,80;292,90;293,20;295,00;291,40;293,90;293,234;645502;189284023,7;3683;
2017-05-03;292,70;292,90;294,90;295,70;292,20;292,90;293,831;551124;161937537,95;3715;
2017-05-02;294,10;294,30;293,30;295,40;291,50;294,90;293,839;702162;206312783,6;4288;
2017-04-28;292,40;292,50;296,40;296,40;292,20;292,20;293,154;797906;233908632,15;4271;
2017-04-27;295,60;295,70;294,50;296,70;293,00;296,00;295,52;549968;162526318,3;3483;
2017-04-26;294,00;294,10;292,00;294,50;291,60;294,50;293,71;536007;157431128,25;3245;
2017-04-25;291,70;291,90;297,40;297,40;291,60;291,60;293,023;527180;154479748,9;3367;
2017-04-24;296,00;296,20;296,30;296,30;292,20;296,00;294,971;676394;199342979;3633;
2017-04-21;291,90;292,10;292,00;292,20;289,40;292,00;291,298;755663;220119575,2;3323;
2017-04-20;291,60;291,80;291,70;294,00;291,40;292,20;292,546;530827;155291107,8;3164;
2017-04-19;291,70;291,80;292,20;292,20;289,10;291,70;290,828;830147;241430291,35;4714;
2017-04-18;292,20;292,30;297,00;298,10;291,80;292,00;293,242;738718;216616609,2;3685;
2017-04-13;296,10;296,30;293,30;296,50;293,00;296,50;295,398;389297;114989683,8;1741;
2017-04-12;292,80;293,00;291,30;293,10;290,30;293,10;291,863;520075;151790544,5;3039;
2017-04-11;291,60;291,80;292,30;293,20;291,30;291,30;291,875;663556;193674806,4;3291;
2017-04-10;291,80;291,90;289,70;292,20;288,20;292,00;290,869;568643;165399588,9;3307;
2017-04-07;288,60;288,80;288,50;289,20;286,10;288,60;288,229;609271;175609334,65;3630;
2017-04-06;287,70;287,80;287,70;289,10;286,60;287,50;287,763;751194;216166062,4;4196;
2017-04-05;288,60;288,70;289,80;289,80;287,30;288,50;288,464;528254;152382457,2;3308;
2017-04-04;288,10;288,30;290,90;291,20;288,20;288,40;289,107;743706;215010655,2;3433;
2017-04-03;290,90;291,00;291,80;293,00;290,70;290,90;291,406;725580;211438374,8;4337;
2017-03-31;291,80;292,00;290,60;292,10;288,90;291,50;290,659;726086;211043293,7;3658;
2017-03-30;290,50;290,60;291,00;291,00;289,80;290,30;290,288;742331;215534637,6;3842;
2017-03-29;290,30;290,40;291,10;291,10;289,50;290,70;290,282;585713;170021626,9;3646;
2017-03-28;289,90;290,00;291,60;291,70;289,10;289,40;289,802;709204;205528997,25;3918;
2017-03-27;291,70;291,90;288,50;291,90;288,50;291,80;290,346;520820;151216308,3;2935;
2017-03-24;288,50;288,70;288,00;289,20;287,10;289,10;288,557;442038;127548020,5;2691;
2017-03-23;288,30;288,50;287,70;288,50;285,90;288,40;287,131;474445;136227424,85;3018;
2017-03-22;287,00;287,20;289,10;289,90;286,50;287,10;287,566;732695;210671471,96;3559;
2017-03-21;289,20;289,30;289,90;290,00;288,70;289,10;289,171;753706;217942906,87;3438;
2017-03-20;289,50;289,60;288,70;290,30;288,50;289,30;289,561;472705;136834206,15;3202;
2017-03-17;289,00;289,20;287,10;289,20;286,40;288,70;288,048;933589;268918201,35;4974;
2017-03-16;287,50;287,70;288,10;288,80;286,20;287,50;287,20;708144;203378802,05;3932;
2017-03-15;286,40;286,50;286,50;287,40;285,70;286,80;286,66;593742;170201999,9;3199;
2017-03-14;286,30;286,40;285,20;287,10;285,10;285,80;286,028;761500;217780224,8;3556;
2017-03-13;286,00;286,10;286,10;286,30;284,00;285,80;285,473;414760;118402526,65;2535;
2017-03-10;285,60;285,80;284,60;286,60;283,00;285,60;284,892;846919;241282030,65;3838;
2017-03-09;283,40;283,60;281,60;284,00;280,70;283,80;283,374;517785;146720787,53;3213;
2017-03-08;282,40;282,60;282,50;283,20;281,40;282,60;282,204;793923;224025561,09;4384;
2017-03-07;282,50;282,60;281,60;283,20;281,30;282,30;282,159;617148;174122778,35;3633;
2017-03-06;280,90;281,10;281,10;281,20;278,20;281,00;280,187;598632;167725821,7;3870;
2017-03-03;281,00;281,20;283,40;283,50;280,50;281,60;281,51;609385;171547124,95;3589;
2017-03-02;283,30;283,40;284,00;284,20;282,40;283,40;283,392;570988;161813406,95;3168;
2017-03-01;283,80;283,90;282,00;284,30;281,60;283,90;283,475;655793;185901109,5;3942;
2017-02-28;281,60;281,80;282,70;283,00;278,70;281,20;280,897;1021774;286998198,45;4294;
2017-02-27;282,50;282,70;284,20;284,90;280,60;282,60;282,273;682046;192522379,2;3161;
2017-02-24;284,30;284,50;284,00;284,80;283,50;284,30;284,328;701500;199458459,3;3479;
2017-02-23;284,10;284,20;283,00;284,30;281,60;283,90;283,135;717799;203233929,05;4141;
2017-02-22;281,80;281,90;280,50;282,20;277,60;282,20;280,343;1491096;418012684,45;6675;
2017-02-21;283,20;283,40;282,90;283,60;280,80;283,30;282,792;748213;211587664,75;3828;
2017-02-20;282,50;282,70;280,00;283,10;275,80;282,90;280,107;1036952;290449581,53;6277;
2017-02-17;278,30;278,50;275,00;278,90;271,70;277,20;275,801;1655285;456528274,45;9427;
2017-02-16;283,50;283,70;282,00;284,50;281,10;283,30;282,847;790146;223489180,45;4115;
2017-02-15;282,40;282,50;283,10;284,20;280,70;282,70;282,421;771654;217929642,75;3851;
2017-02-14;283,10;283,30;286,40;286,90;282,80;283,10;284,35;564395;160485260,1;3072;
2017-02-13;286,40;286,60;289,90;290,10;284,80;286,10;287,257;675405;194014508,2;3655;
2017-02-10;289,70;289,90;294,70;296,20;288,90;289,70;290,688;651693;189439072,85;3683;
2017-02-09;293,40;293,50;294,50;295,30;291,80;293,60;293,305;486586;142711254,1;2518;
2017-02-08;294,30;294,50;290,80;295,00;288,10;294,30;293,202;575383;168703239,2;2859;
2017-02-07;291,40;291,60;288,00;292,10;287,60;290,80;290,727;559446;162645987,1;2665;
2017-02-06;287,30;287,50;289,20;289,20;285,70;287,80;287,544;474537;136448971,8;2814;
2017-02-03;289,30;289,50;286,00;290,70;285,90;289,20;288,993;897836;259469188,3;3646;
2017-02-02;285,90;286,10;285,00;287,10;284,30;285,70;285,995;463345;132514375,1;2457;
2017-02-01;284,80;285,00;285,00;287,70;282,50;285,00;285,498;655996;187397691,2;3086;
2017-01-31;284,80;285,00;283,50;285,80;281,70;284,60;284,579;856791;243824691,3;3452;
2017-01-30;283,70;283,90;284,70;284,70;280,30;283,80;282,648;807155;228138806,9;4463;
2017-01-27;289,00;289,20;286,70;290,90;286,20;289,60;289,039;527070;152345026,75;3030;
2017-01-26;285,90;286,10;285,00;286,40;284,10;285,80;285,478;453122;129356358,6;2562;
2017-01-25;285,10;285,20;285,00;285,60;283,70;285,60;285,045;540866;154170871,8;3006;
2017-01-24;283,50;283,70;283,00;284,50;280,40;284,00;283,606;481964;136688434,6;2685;
