sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;96,80;96,90;96,50;97,20;95,65;97,00;96,747;1255603;121475643,6;2746;
2017-08-02;96,65;96,70;96,85;97,30;96,45;96,75;96,881;1238082;119946141,8;2807;
2017-08-01;96,70;96,75;96,20;97,00;95,70;96,85;96,73;1427328;138066143,9;3027;
2017-07-31;96,15;96,25;95,55;96,95;95,55;96,10;96,303;2196523;211542276,95;3121;
2017-07-28;95,70;95,80;96,70;96,90;95,35;95,55;95,665;2198632;210331220,7;3911;
2017-07-27;96,70;96,75;96,70;98,10;96,55;96,70;96,984;2072520;201000324,95;3025;
2017-07-26;96,65;96,70;95,60;97,00;95,60;96,70;96,446;1417236;136686200,38;2856;
2017-07-25;95,90;96,00;96,00;96,65;95,80;95,90;96,165;2026766;194862719,4;4489;
2017-07-24;96,75;96,80;97,55;97,90;96,60;96,60;97,123;2200226;213590679,5;4441;
2017-07-21;97,65;97,70;99,00;99,60;97,10;97,55;98,017;2627346;257523976,82;5577;
2017-07-20;98,80;98,90;99,60;100,40;98,45;99,00;99,268;3740435;371281468,38;7164;
2017-07-19;99,65;99,75;96,45;101,50;96,35;99,70;99,312;9456675;939227699,74;15712;
2017-07-18;93,60;93,65;93,65;94,10;92,90;93,65;93,583;2968809;277836137,85;4686;
2017-07-17;93,65;93,70;91,40;93,95;91,40;93,80;93,09;2429945;226204860,86;4193;
2017-07-14;91,15;91,20;91,65;92,45;91,05;91,40;91,496;1316081;120416385,85;2422;
2017-07-13;91,30;91,40;91,30;91,95;91,15;91,30;91,449;1279919;117047529,35;2557;
2017-07-12;91,35;91,40;89,70;91,40;89,70;91,30;90,898;1499397;136292709,9;2716;
2017-07-11;89,75;89,85;90,05;90,40;89,55;89,75;89,909;1233448;110894952,83;2689;
2017-07-10;90,05;90,15;90,00;90,30;89,25;90,05;89,875;1179131;105973984,9;2311;
2017-07-07;89,80;89,85;88,65;89,95;88,50;89,90;89,609;1434948;128584551,23;2614;
2017-07-06;88,65;88,75;88,90;89,15;88,05;88,75;88,638;1297417;115000180,78;2711;
2017-07-05;88,85;88,95;88,70;89,20;87,95;88,90;88,776;1015198;90125428,63;2424;
2017-07-04;88,80;88,85;89,00;89,20;88,50;88,80;88,809;1141168;101346024,6;2334;
2017-07-03;88,95;89,00;88,80;89,30;88,75;89,10;89,034;1176456;104744197,05;2607;
2017-06-30;88,40;88,50;89,15;89,30;87,85;88,20;88,567;2329183;206289196,35;4158;
2017-06-29;88,80;88,90;90,00;90,00;88,70;88,95;89,163;1861667;165991810,48;3622;
2017-06-28;89,30;89,35;90,20;90,20;89,15;89,40;89,625;1789673;160399215,1;3717;
2017-06-27;90,40;90,50;90,85;92,45;90,35;90,35;90,979;2553752;232337860,95;4894;
2017-06-26;90,65;90,75;90,20;91,45;90,20;90,65;90,963;1562320;142112534,3;2920;
2017-06-22;90,35;90,45;90,30;90,60;89,95;90,30;90,294;1014989;91647635,75;2182;
2017-06-21;90,45;90,55;89,75;90,70;89,20;90,55;90,158;1793956;161739542,53;3217;
2017-06-20;89,95;90,05;90,35;90,85;89,85;89,85;90,265;1484779;134024301,49;2611;
2017-06-19;90,50;90,55;90,00;90,80;89,70;90,40;90,293;1611396;145111927,1;2896;
2017-06-16;89,65;89,70;88,85;89,90;88,80;89,75;89,666;2624739;235348925,05;3543;
2017-06-15;88,80;88,85;89,35;89,50;88,55;88,80;88,916;2027671;180293017,76;3586;
2017-06-14;89,85;89,95;89,35;90,45;89,20;89,80;89,944;1281721;115283596,75;2250;
2017-06-13;89,45;89,55;88,80;89,95;88,70;89,35;89,397;1581628;141419754,84;2428;
2017-06-12;88,90;89,00;89,40;89,40;88,35;89,05;88,882;2160580;192037482,25;4481;
2017-06-09;89,85;89,95;89,50;90,95;89,45;89,95;90,133;3337855;301362339,75;4485;
2017-06-08;89,30;89,35;90,35;90,50;89,30;89,55;89,832;1669578;149992925,61;2883;
2017-06-07;90,50;90,60;89,90;91,00;89,65;90,45;90,526;1862120;168570339,05;3270;
2017-06-05;90,20;90,25;90,40;90,60;89,80;90,10;90,113;1373573;123776338,6;2821;
2017-06-02;90,35;90,40;90,00;90,70;89,95;90,40;90,392;1888704;170699851,29;3429;
2017-06-01;89,60;89,70;89,25;90,25;89,05;89,65;89,789;1345288;120792645,2;2962;
2017-05-31;89,65;89,75;89,80;90,50;89,45;89,45;89,72;2851958;255876680,85;4145;
2017-05-30;89,90;90,00;89,55;90,50;89,50;89,90;90,088;1535611;138340469,35;3333;
2017-05-29;90,25;90,35;90,00;90,40;89,80;90,20;90,167;1030954;92957888,6;2101;
2017-05-26;90,10;90,20;89,30;90,30;89,30;90,20;89,982;1624741;146196208,55;3195;
2017-05-24;89,55;89,60;89,00;89,70;88,75;89,55;89,395;1065471;95247014,41;1719;
2017-05-23;88,85;88,95;88,30;89,05;87,80;89,05;88,62;1656945;146838538,55;2710;
2017-05-22;88,25;88,30;87,00;88,40;86,60;88,30;87,907;2019182;177498577,95;3717;
2017-05-19;86,30;86,40;86,60;87,15;86,30;86,50;86,69;1951934;169212659,36;3498;
2017-05-18;86,60;86,65;87,45;87,95;85,70;86,65;86,642;3119598;270288080,03;5875;
2017-05-17;87,65;87,75;89,25;89,35;87,60;87,80;88,424;2891343;255665719,29;5111;
2017-05-16;89,30;89,40;89,40;89,95;89,25;89,45;89,635;2527782;226578560,25;5006;
2017-05-15;89,20;89,25;88,90;89,40;88,55;89,40;89,108;2102542;187350725,91;4105;
2017-05-12;88,80;88,85;87,95;88,90;87,90;88,90;88,466;2403999;212669085,76;4382;
2017-05-11;87,35;87,40;88,40;88,70;87,40;87,60;87,879;3023934;265739307,26;5224;
2017-05-10;88,20;88,25;88,75;88,80;87,75;88,25;88,253;4620712;406758784,53;7853;
