sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;38,27;38,28;38,26;38,49;38,06;38,31;38,292;6889244;263800233,52;5066;
2017-08-02;38,32;38,34;38,45;38,61;38,24;38,28;38,389;5952267;228502458,21;4565;
2017-08-01;38,45;38,47;38,04;38,54;37,95;38,45;38,346;6866098;263285339,19;4971;
2017-07-31;37,98;38,01;37,97;38,39;37,93;37,95;38,086;8893281;338705940,76;5039;
2017-07-28;37,97;37,99;38,39;38,42;37,88;37,94;38,039;7947287;302309841,77;6185;
2017-07-27;38,27;38,28;38,20;38,68;38,20;38,30;38,415;6853666;263279862,1;4866;
2017-07-26;38,18;38,20;37,86;38,25;37,71;38,25;38,136;6601347;251748928,69;4874;
2017-07-25;37,93;37,95;38,31;38,35;37,90;37,94;38,084;10190671;388098400,12;6942;
2017-07-24;38,28;38,30;38,79;38,91;38,25;38,25;38,481;8766859;337313078,09;6019;
2017-07-21;38,80;38,82;38,98;39,25;38,63;38,79;38,888;13535075;526342202,11;9842;
2017-07-20;38,85;38,87;39,05;39,08;38,32;38,95;38,765;22771659;882659729,74;15019;
2017-07-19;40,11;40,12;39,53;40,20;39,35;40,07;39,898;17971251;717018670,3;11312;
2017-07-18;39,46;39,49;39,40;39,81;39,28;39,43;39,561;19299720;763223248,51;9821;
2017-07-17;39,37;39,38;38,91;39,47;38,90;39,42;39,299;14789888;581225218,27;9248;
2017-07-14;38,79;38,81;38,96;39,10;38,67;38,78;38,811;6940128;269355318,49;4980;
2017-07-13;39,03;39,05;38,60;39,18;38,50;38,96;38,959;10579389;412165964,62;6839;
2017-07-12;38,49;38,51;38,11;38,62;38,04;38,49;38,413;9377123;360200880,82;5466;
2017-07-11;38,12;38,13;38,46;38,53;38,05;38,05;38,208;8962480;342440846,36;6002;
2017-07-10;38,44;38,46;38,39;38,49;38,20;38,44;38,366;7354889;282179488,96;4309;
2017-07-07;38,27;38,28;38,36;38,56;38,21;38,32;38,342;7600571;291424724,54;5474;
2017-07-06;38,26;38,28;38,50;38,54;38,13;38,26;38,304;9352629;358222467,56;6106;
2017-07-05;38,42;38,44;38,90;38,90;38,36;38,42;38,543;13004384;501180268,42;7166;
2017-07-04;38,92;38,94;38,85;38,97;38,70;38,89;38,855;7447267;289362749,33;5314;
2017-07-03;38,92;38,95;38,88;39,16;38,83;38,94;38,95;9184203;357724010,26;6351;
2017-06-30;38,84;38,85;39,01;39,13;38,79;38,79;38,912;13521779;526168652,68;7703;
2017-06-29;39,07;39,10;39,25;39,62;39,02;39,07;39,296;19349831;760379877,9;12547;
2017-06-28;38,57;38,58;38,59;38,89;38,41;38,65;38,63;8874332;342811327,28;5934;
2017-06-27;38,65;38,68;38,93;39,03;38,58;38,59;38,735;8866592;343443154,09;5482;
2017-06-26;39,01;39,03;38,98;39,24;38,96;39,00;39,099;8107514;316994092,03;5726;
2017-06-22;39,05;39,07;38,88;39,28;38,67;39,04;39,046;8584809;335199867,63;6407;
2017-06-21;38,85;38,88;39,16;39,30;38,37;38,95;38,772;12126852;470149417,96;8673;
2017-06-20;39,20;39,23;39,34;39,70;39,15;39,15;39,373;7674180;302038930,96;4170;
2017-06-19;39,27;39,29;39,30;39,43;39,14;39,33;39,297;8355169;325074268,91;4835;
2017-06-16;39,10;39,11;38,84;39,22;38,84;39,18;39,134;13707958;536448155,91;6762;
2017-06-15;38,78;38,80;39,39;39,39;38,67;38,78;38,865;11652984;452893004,88;7140;
2017-06-14;39,41;39,43;39,27;39,61;39,19;39,40;39,44;9952480;392525727,55;5284;
2017-06-13;39,30;39,32;39,29;39,45;39,18;39,27;39,316;8999666;353829823,29;6243;
2017-06-12;39,18;39,19;39,01;39,26;38,88;39,16;39,091;7983700;312089786,21;6241;
2017-06-09;39,13;39,15;39,10;39,37;39,04;39,11;39,165;8939561;350181014,52;5929;
2017-06-08;39,11;39,13;39,33;39,52;39,11;39,14;39,286;7462035;293150191,54;5800;
2017-06-07;39,37;39,39;39,46;39,61;39,24;39,33;39,409;10412040;410330628,29;6649;
2017-06-05;39,51;39,52;39,90;39,90;39,46;39,54;39,581;6158192;243736708,04;4556;
2017-06-02;39,77;39,79;40,20;40,33;39,75;39,86;39,973;11190446;447344303,45;6861;
2017-06-01;40,06;40,07;39,80;40,19;39,71;40,06;40,07;11287434;452287480,39;8175;
2017-05-31;39,88;39,91;39,86;40,05;39,78;39,78;39,838;19247438;766772188,21;8051;
2017-05-30;39,78;39,79;39,70;40,12;39,63;39,79;39,884;11609762;463042171,57;7647;
2017-05-29;39,79;39,80;39,71;40,15;39,70;39,77;39,854;6002926;239242308,39;4677;
2017-05-26;39,71;39,73;39,46;40,01;39,45;39,71;39,731;15425561;612958857,33;9217;
2017-05-24;39,20;39,21;39,20;39,25;39,00;39,25;39,15;3938194;154180449,03;2801;
2017-05-23;39,22;39,24;39,25;39,26;38,96;39,26;39,142;8275991;323940709,88;5088;
2017-05-22;39,19;39,20;38,48;39,27;38,48;39,21;39,00;15702122;609633267,16;8497;
2017-05-19;38,36;38,37;38,25;38,49;38,12;38,46;38,377;10937679;419759924,65;6819;
2017-05-18;38,29;38,30;38,43;38,59;37,96;38,27;38,262;13420873;513500697,88;7925;
2017-05-17;38,55;38,56;38,57;38,69;38,42;38,55;38,561;12811620;494032647,9;7449;
