sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-08-03;138,30;138,50;138,50;139,20;137,40;138,60;138,54;3887360;538554317,5;5751;
2017-08-02;138,00;138,10;139,50;139,50;137,70;138,30;138,352;3701998;512180154,4;6259;
2017-08-01;139,10;139,20;137,60;140,50;137,60;138,90;139,413;4593423;640382662,8;7077;
2017-07-31;137,20;137,40;138,80;139,60;137,10;137,20;138,152;4341341;599779742,45;6678;
2017-07-28;138,60;138,80;140,60;141,00;137,70;139,00;138,838;5475452;760199453,25;8497;
2017-07-27;140,70;140,90;142,20;143,40;140,70;140,90;141,675;3588635;508419100,9;6085;
2017-07-26;143,00;143,10;141,80;143,30;141,10;143,00;142,339;4974923;708123804,55;7309;
2017-07-25;141,30;141,50;140,00;142,10;140,00;141,60;141,291;5080723;717934157,55;7096;
2017-07-24;140,10;140,20;139,40;140,90;138,40;139,90;139,804;6332055;885372270,25;8785;
2017-07-21;139,20;139,40;142,00;142,20;137,10;139,40;139,418;8559466;1193340669,85;12784;
2017-07-20;142,20;142,40;142,60;145,20;140,90;142,30;143,161;9388645;1344097343,85;13878;
2017-07-19;140,30;140,50;141,70;142,70;134,20;140,50;139,125;17537932;2439987323,55;27270;
2017-07-18;145,10;145,20;147,00;147,70;143,70;145,50;145,269;8485818;1232554130,65;11977;
2017-07-17;146,80;147,00;150,00;150,90;146,70;147,10;147,982;7250731;1072939569,15;10789;
2017-07-14;149,70;149,80;149,20;150,00;148,10;150,00;149,448;3808181;568918798,3;5032;
2017-07-13;148,40;148,60;150,20;150,80;148,40;148,60;149,407;4116828;615080875,7;6398;
2017-07-12;150,30;150,50;149,00;150,50;147,60;150,40;149,601;4906921;734078311,7;7206;
2017-07-11;148,30;148,40;149,50;149,60;147,90;148,60;148,613;3713191;551825210,8;5101;
2017-07-10;148,90;149,00;148,80;149,30;148,10;149,00;148,836;3358889;499922375,5;5344;
2017-07-07;147,60;147,70;148,30;148,90;147,40;147,80;147,974;3545876;524698487,15;5523;
2017-07-06;148,50;148,60;147,00;149,60;146,80;148,60;148,336;6507807;965339437,4;9305;
2017-07-05;146,60;146,80;145,40;147,30;145,00;146,80;146,602;3758709;551035776,1;6142;
2017-07-04;145,60;145,70;145,40;146,30;145,10;145,30;145,696;3204408;466870428,05;5134;
2017-07-03;146,20;146,40;145,00;146,50;144,30;146,30;145,426;3705440;538969781,99;5954;
2017-06-30;144,00;144,10;143,20;145,60;143,20;143,60;144,175;6757680;974290082,7;9188;
2017-06-29;143,10;143,30;149,00;149,10;142,80;143,40;145,044;6942501;1006961670,2;10233;
2017-06-28;148,20;148,40;147,50;148,70;145,30;148,60;147,312;5689729;838160733,9;7743;
2017-06-27;147,50;147,60;148,50;148,70;146,30;147,70;147,508;4875187;719129291,95;6908;
2017-06-26;148,50;148,60;150,60;152,00;148,40;148,50;149,868;5862520;878617472,45;9106;
2017-06-22;150,40;150,50;147,80;150,80;146,90;150,40;149,191;7119445;1062151762,9;9346;
2017-06-21;146,90;147,10;146,60;147,60;145,60;147,00;146,639;4642995;680841059,85;6425;
2017-06-20;147,10;147,30;148,00;149,10;146,90;147,00;147,942;5669964;838974490,6;7207;
2017-06-19;147,40;147,50;146,20;147,80;146,10;147,40;147,112;4792946;699955624,2;5930;
2017-06-16;145,40;145,60;144,10;146,20;144,00;145,70;145,429;6272821;912252502,35;7516;
2017-06-15;143,80;143,90;145,00;145,10;142,00;143,90;143,525;6107495;876577792;8581;
2017-06-14;144,80;145,00;148,60;149,80;144,70;145,20;146,26;5717996;836317795,5;7667;
2017-06-13;148,50;148,60;146,50;149,50;146,30;148,10;147,965;7692241;1138135832,4;9905;
2017-06-12;144,90;145,00;147,00;147,30;144,00;145,10;145,207;6360696;923619600,1;8722;
2017-06-09;147,40;147,50;146,30;148,20;146,20;147,60;147,429;6171573;909861937,95;7917;
2017-06-08;146,20;146,40;147,90;148,20;146,00;146,50;146,98;5883501;864610431,25;8621;
2017-06-07;147,80;148,00;144,50;148,00;144,20;147,40;146,77;5949575;873219994,6;7709;
2017-06-05;145,00;145,10;145,30;145,90;144,40;144,80;145,00;4078674;591406905,55;6336;
2017-06-02;146,60;146,70;145,70;146,90;144,70;146,90;146,179;6852911;1001546811,3;7988;
2017-06-01;144,90;145,10;142,40;145,40;142,30;144,80;144,495;6126490;885236293,4;8659;
2017-05-31;142,30;142,50;143,50;144,80;142,10;142,10;142,756;8409429;1200499384,7;8122;
2017-05-30;143,40;143,60;140,10;144,10;139,90;143,50;142,508;5294542;754512289,9;7459;
2017-05-29;141,10;141,20;142,10;142,40;140,70;141,30;141,304;2434808;344047921,8;3930;
2017-05-26;142,00;142,20;143,70;143,70;141,70;142,50;142,496;4674799;666139272;7198;
2017-05-24;143,30;143,40;143,40;143,70;142,10;143,70;143,103;2797447;400322363;3807;
2017-05-23;143,40;143,50;141,70;143,80;141,70;143,30;143,13;4728446;676780633,25;6563;
2017-05-22;141,70;141,80;143,60;144,10;141,60;141,70;142,328;5953263;845165316,25;7315;
2017-05-19;142,70;142,90;140,00;143,60;140,00;142,80;142,375;5957776;848241093,4;8486;
2017-05-18;139,90;140,00;141,90;142,90;137,70;139,90;139,648;12537333;1751059794,3;16360;
2017-05-17;142,70;142,90;144,10;145,00;142,30;143,10;143,731;6223842;894579683,64;7921;
2017-05-16;144,50;144,60;143,90;145,50;143,40;144,90;144,292;5178474;747213844,1;6813;
2017-05-15;144,10;144,20;144,90;145,00;143,50;144,50;144,317;3833684;553272503,55;5492;
2017-05-12;144,60;144,80;145,40;145,60;143,60;144,70;144,509;4165642;601973342,85;6115;
2017-05-11;145,40;145,50;146,10;146,60;144,60;145,40;145,527;4447654;647252152,1;6732;
2017-05-10;145,80;145,90;145,70;146,80;144,90;146,00;145,849;5191670;757201626;6603;
2017-05-09;145,40;145,50;144,50;146,10;144,50;145,70;145,542;5369096;781394938,2;7305;
2017-05-08;143,90;144,00;145,00;145,50;143,20;144,20;143,98;5346757;769827450,25;7187;
2017-05-05;144,80;145,00;145,40;145,60;144,30;145,00;144,846;3944708;571374057,65;5228;
2017-05-04;145,60;145,70;146,30;146,30;145,20;146,00;145,827;5057200;737476788,15;5262;
2017-05-03;145,50;145,60;146,30;147,10;144,10;145,60;145,414;5325311;774370787,85;6381;
2017-05-02;145,80;146,00;145,80;146,30;144,90;146,20;145,896;7510181;1095657520,25;8511;
2017-04-28;144,70;144,80;145,00;146,80;144,40;144,90;145,281;7277624;1057325042,65;8597;
2017-04-27;145,60;145,70;147,60;147,80;145,30;145,40;146,425;6793775;995019676,7;8526;
2017-04-26;147,50;147,70;146,00;148,40;144,20;147,80;146,316;10671570;1561427582,13;12415;
2017-04-25;143,80;144,00;143,50;146,80;141,30;144,00;144,037;22328649;3218113260,73;21016;
2017-04-24;133,30;133,50;131,30;134,00;131,10;133,80;132,729;7782018;1032255390,4;10818;
2017-04-21;129,70;129,80;128,50;129,90;128,40;129,40;129,357;5624889;727615855,45;6883;
2017-04-20;128,60;128,70;128,40;129,40;127,70;128,80;128,542;3855751;495625868,3;5620;
2017-04-19;128,50;128,60;125,70;128,90;125,50;128,50;127,842;5577730;713332714,3;6231;
2017-04-18;125,70;125,80;127,20;127,40;124,40;125,90;125,713;5303396;667168859,9;6360;
2017-04-13;126,70;126,80;128,20;128,30;126,20;126,80;126,857;3272476;415070836,75;3209;
2017-04-12;128,40;128,50;128,40;129,60;128,30;128,50;128,713;3948335;508201636,8;5238;
2017-04-11;128,10;128,20;127,20;129,60;126,60;128,00;128,499;5771558;741887795,85;6731;
2017-04-10;127,20;127,40;127,30;127,80;126,40;127,50;127,457;4685426;597194471,6;5754;
2017-04-07;127,10;127,30;127,00;127,50;125,50;127,30;126,661;6680811;846719285,75;7315;
2017-04-06;127,00;127,10;124,00;127,70;123,70;127,30;126,45;7750429;979458576,7;9703;
2017-04-05;124,10;124,30;125,20;125,50;123,40;124,30;124,514;7517119;934384326,25;8677;
2017-04-04;128,10;128,20;128,00;128,90;126,50;128,10;127,80;8125783;1037071411,05;9577;
2017-04-03;128,40;128,50;131,80;132,00;128,40;128,50;129,519;7684280;995234499,3;10086;
2017-03-31;132,00;132,20;131,50;132,50;130,40;132,30;131,531;5290871;695911893,45;5662;
2017-03-30;131,50;131,70;130,50;131,70;129,80;131,70;131,054;3984431;522127599,8;4458;
2017-03-29;130,20;130,30;130,80;131,30;130,10;130,50;130,549;3916832;511321103,05;5298;
2017-03-28;130,30;130,40;129,00;130,70;128,20;130,30;129,471;4000461;517943315,65;5214;
2017-03-27;129,00;129,10;129,10;129,40;127,80;128,90;128,552;5551879;713708009;7942;
2017-03-24;129,60;129,70;129,80;130,50;129,20;129,90;129,845;4050224;525901275,55;5376;
2017-03-23;129,70;129,80;128,20;129,90;127,80;129,90;129,177;5352782;691451569,6;6850;
2017-03-22;127,40;127,50;127,30;128,10;125,30;127,60;126,792;6301856;799021916,9;7817;
2017-03-21;127,30;127,40;127,60;128,60;126,20;127,40;127,305;7194706;915670243,95;7474;
2017-03-20;127,60;127,70;128,50;128,50;127,50;127,80;127,869;5815226;722279543,3;4531;
2017-03-17;128,00;128,10;128,30;128,50;127,00;127,90;127,974;6083792;778565234,2;7155;
2017-03-16;127,30;127,40;128,00;129,20;126,80;127,60;127,896;7517093;961417509,8;10006;
2017-03-15;126,40;126,50;125,00;126,60;125,00;126,50;126,056;9041555;1134467461,9;5039;
2017-03-14;124,70;124,80;126,20;126,20;124,10;124,60;124,795;5639696;704345551,55;6169;
2017-03-13;125,60;125,80;124,90;126,40;123,80;125,90;125,414;6965348;873553770,95;9023;
2017-03-10;122,80;123,00;124,30;125,40;122,50;122,90;123,797;5124698;634428338,95;6503;
2017-03-09;123,70;123,80;123,40;124,00;122,80;123,80;123,526;6099171;753260190,7;7053;
2017-03-08;122,70;122,80;122,60;123,50;122,20;122,80;122,828;4648144;570922932,85;5632;
2017-03-07;122,70;122,80;120,10;122,80;119,50;122,60;121,834;5906349;719487196,55;6100;
2017-03-06;120,10;120,20;120,00;120,30;119,40;120,00;119,907;2369177;284075075,05;3295;
2017-03-03;120,20;120,30;120,40;121,40;119,90;120,40;120,602;4901682;591164978,85;5386;
2017-03-02;120,00;120,10;120,10;120,40;119,60;120,10;120,045;3875087;465183124,3;4708;
2017-03-01;119,90;120,00;118,60;120,50;118,40;120,20;119,835;4991397;598152606,95;5867;
2017-02-28;117,90;118,00;117,90;118,30;117,60;117,90;117,967;4488083;529424570,1;4850;
2017-02-27;117,80;117,90;118,00;118,40;117,50;117,70;117,876;3876349;456929179,85;4552;
2017-02-24;117,70;117,80;119,00;119,30;116,60;117,70;117,784;4407228;519102426,15;6361;
2017-02-23;119,10;119,20;119,90;120,20;119,10;119,10;119,649;3983671;476642492,95;4073;
2017-02-22;119,30;119,40;120,60;120,80;119,10;119,60;119,91;4731381;567337857,95;4972;
2017-02-21;120,40;120,50;118,80;120,80;118,60;120,30;120,176;6499784;781123562,6;6325;
2017-02-20;119,10;119,20;119,40;119,80;118,90;118,90;119,234;3567718;421655921,5;4046;
2017-02-17;118,90;119,00;119,20;119,60;118,40;118,80;118,926;5879674;699355763,45;6246;
2017-02-16;119,00;119,10;119,10;119,50;118,50;119,20;119,102;5657597;673776683,05;5456;
2017-02-15;118,70;118,80;118,40;119,10;117,80;118,80;118,483;4466416;529194790,65;5192;
2017-02-14;118,00;118,10;117,40;118,40;116,60;118,00;117,811;3484918;410562754,9;4203;
